MonthSeq,Month,Year,Rainfall,Season,MonthText,Duringstudy,Month2
1,July,2015,0,NA,July 2015,no,July
2,August,2015,0.5,NA,Aug 2015,no,Aug
3,September,2015,17,NA,Sept 2015,no,Sept
4,October,2015,1,NA,Oct 2015,no,Oct
5,November,2015,98,NA,Nov 2015,no,Nov
6,December,2015,97,NA,Dec 2015,no,Dec
7,January,2016,99,NA,Jan 2016,no,Jan
8,February,2016,17,NA,Feb 2016,no,Feb
9,March,2016,240,NA,Mar 2016,no,Mar
10,April,2016,55.4,NA,Apr 2016,no,Apr
11,May,2016,19.2,NA,May 2016,no,May
12,June,2016,19,NA,Jun 2016,no,June
13,July,2016,11,Dry,July 2016,yes,July
14,August,2016,0.2,Dry,Aug 2016,yes,Aug
15,September,2016,2.2,Dry,Sept 2016,yes,Sept
16,October,2016,27.4,NA,Oct 2016,yes,Oct
17,November,2016,84,NA,Nov 2016,yes,Nov
18,December,2016,180.8,Wet,Dec 2016,yes,Dec
19,January,2017,122.8,Wet,Jan 2017,yes,Jan
20,February,2017,63.4,Wet,Feb 2017,yes,Feb
21,March,2017,136.6,Wet,Mar 2017,yes,Mar
22,April,2017,26.6,NA,Apr 2017,yes,Apr
23,May,2017,21,NA,May 2017,yes,May
24,June,2017,7.6,NA,June 2017,yes,June
25,July,2017,12.4,Dry,July 2017,yes,July
26,August,2017,2.6,Dry,Aug 2017,yes,Aug
27,September,2017,0,Dry,Sept 2017,yes,Sept
28,October,2017,90.2,NA,Oct 2017,yes,Oct
29,November,2017,36.8,NA,Nov 2017,yes,Nov
30,December,2017,16.4,Wet,Dec 2017,yes,Dec
31,January,2018,401,Wet,Jan 2018,yes,Jan
32,February,2018,280.5,Wet,Feb 2018,yes,Feb
33,March,2018,285.3,Wet,Mar 2018,yes,Mar
34,April,2018,105.5,NA,Apr 2018,no,Apr
