StudySite,Operation
A06,31
A08,62
A10,21
B05,79
B07,121
B09,40
C06,37
C08,121
D03,27
D05,51
D07,121
D09,24
E02,82
E04,121
E06,59
E08,47
E10,121
E12,121
F01,4
F03,26
F05,37
F07,96
F09,26
F11,34
G02,0
G04,121
G06,121
G08,114
G10,121
G12,97
H03,121
H05,121
H07,26
H09,121
H11,121
H13,64
I04,121
I06,26
I08,39
I10,29
I12,24
I14,40
J03,18
J05,70
J07,42
J09,54
J11,0
J13,45
K04,73
K06,121
K08,25
K10,121
K12,39
L05,35
L07,121
L09,0
L11,121
L13,121
M08,79
M10,93
