StudySite,AEME,ALBU,ATPA,BDCR,CEAL,CENA,CHPY,CICI,COTA,GASA,GEGE,Guineafowl_crested,Guineafowl_helmeted,HEIC,HEPA,HIAM,HINI,Hornbill_ground,Human,HYAF,ICAL,KOEL,LEMI,LESE,LOAF,MATE,MECA,MUMU,ORAF,OTCR,OUOU,PACY,PALE,PHAF,POLA,RERE,SYCA,SYGR,TAOR,TRAN,TRST,TRSY
A06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,6,1,0,0,0,0,0,0,1
A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B05,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,8,2,0,14,1,1,1,0,0,1,2,1
B07,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
B09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
C06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
C08,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,3,0,0,0,0,0,5,21,0,19,10,0,0,1,0,11,0,8
D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,6,0,0
D07,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,49,0,0,9,0,1,0,0,0,9,20,0,71,0,7,0,0,0,17,3,38
D09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,0,0,6,0,0,0,0,0,25,10,0,13,1,17,3,0,0,0,0,15
E04,39,0,0,0,0,0,13,7,0,0,0,0,3,0,0,0,0,2,0,2,0,33,0,0,6,0,0,0,0,0,5,26,0,48,6,1,0,0,0,1,1,21
E06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,7,0,16,3,0,0,0,0,7,3,8
E08,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,4
E12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,32,0,9,23,0,0,0,0,0,0,18
F01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0
F07,19,12,0,0,0,0,0,3,0,0,4,0,0,0,0,0,5,5,0,2,0,40,2,0,6,0,0,0,0,0,13,55,0,47,3,4,4,0,0,9,6,18
F09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,2,0,0,0,0,0,2,6,0,7,0,1,0,0,0,0,5,3
G02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G04,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,2,0,0,0,0,0,6,12,0,29,0,0,0,0,0,0,0,7
G06,14,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,0,0,0,0,30,0,0,1,0,0,0,0,0,0,33,0,46,15,0,1,0,0,11,1,8
G08,1,0,8,0,0,0,0,4,0,0,9,0,1,1,0,0,0,0,0,0,0,15,0,0,2,0,1,1,0,0,1,44,0,16,6,0,1,0,0,0,0,10
G10,4,1,0,1,0,43,7,8,0,0,36,0,0,0,0,0,7,3,0,3,0,14,0,0,13,0,0,0,0,0,0,79,0,20,10,0,0,0,0,20,11,19
G12,1,1,0,0,0,8,0,2,0,0,3,0,3,0,0,0,2,0,0,3,0,17,0,0,4,0,0,0,0,0,0,37,0,7,5,0,1,0,0,1,0,13
