"StudySite","Operation"
"A06",0
"A08",0
"A10",0
"B05",0
"B07",0
"B09",0
"C06",0
"C08",0
"D03",0
"D05",0
"D07",0
"D09",0
"E02",0
"E04",0
"E06",0
"E08",0
"E10",0
"E12",0
"F01",0
"F03",14
"F05",0
"F07",77
"F09",0
"F11",0
"G02",0
"G04",0
"G06",0
"G08",77
"G10",0
"G12",0
"H03",0
"H05",77
"H07",0
"H09",0
"H11",0
"H13",0
"I04",0
"I06",0
"I08",0
"I10",0
"I12",0
"I14",0
"J03",0
"J05",0
"J07",0
"J09",0
"J11",0
"J13",0
"K04",0
"K06",0
"K08",74
"K10",74
"K12",0
"L05",0
"L07",0
"L09",0
"L11",0
"L13",0
"M08",0
"M10",0
