"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A08",6,0,0,0,0,0,0,1,3,0,9,0,0,0,0,2,0,26,0,0,2,1,3,1,0,0,3,72,0,10,7,6,0,0,0,3,2,4
"A10",5,0,0,0,0,0,3,1,0,0,2,1,0,0,2,2,0,65,0,0,6,0,1,1,0,0,0,58,0,14,6,0,0,0,0,39,1,21
"B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B07",6,0,0,0,0,0,5,2,5,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,6,20,0,27,0,2,0,0,0,3,3,8
"B09",10,0,1,0,0,0,6,1,0,0,21,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,5,48,0,7,1,0,1,0,0,5,1,0
"C06",7,0,1,0,0,2,0,0,0,3,10,1,0,0,0,5,0,13,0,0,7,0,1,0,2,0,12,37,0,53,13,7,0,0,0,4,1,37
"C08",3,0,0,1,4,2,3,0,0,0,4,0,0,0,0,1,1,3,1,0,0,0,1,0,0,0,0,28,0,16,16,0,0,0,0,9,3,4
"D03",2,0,2,0,0,0,3,5,0,0,1,1,0,0,0,2,0,28,0,1,3,0,5,1,0,0,0,12,0,5,2,0,0,0,0,0,6,39
"D05",16,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,7,1,0,2,0,0,0,0,0,0,16,1,9,0,0,0,1,0,3,5,18
"D07",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,26,0,0,0,0,1,0,0,0,1,66,1,42,2,0,0,2,0,34,5,43
"D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02",31,0,0,2,0,0,3,3,1,0,2,0,0,0,0,0,1,7,6,1,0,0,1,0,0,0,63,26,0,14,6,7,0,0,0,0,0,24
"E04",27,0,0,0,0,0,15,3,0,0,15,0,0,0,0,4,2,18,0,0,2,0,0,2,1,0,14,45,0,24,1,5,0,0,0,2,1,5
"E06",4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,6,6,0,0,2,0,0,0,0,0,5,10,0,11,1,2,0,0,0,11,2,15
"E08",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,5,0,11,2,0,0,1,0,2,0,7
"E10",12,0,0,0,0,0,2,3,1,0,10,0,0,0,2,0,2,30,0,1,1,0,0,0,1,0,8,38,0,20,1,0,0,0,0,5,1,5
"E12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F01",46,0,0,0,1,0,1,8,0,0,1,0,0,0,0,4,2,24,4,0,0,0,0,1,2,0,35,43,2,63,3,19,0,0,0,0,0,28
"F03",40,0,0,0,1,0,8,2,0,0,21,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,3,50,0,19,3,0,0,0,0,6,1,14
"F05",33,0,4,0,0,1,7,3,0,0,14,0,0,0,0,1,0,7,0,0,1,0,2,0,1,0,6,20,0,40,2,0,0,0,0,6,1,9
"F07",41,0,0,0,0,0,0,7,1,0,21,1,0,0,0,1,1,11,0,0,0,0,0,0,1,0,6,55,0,38,6,4,0,0,0,31,13,15
"F09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
