StudySite,AEME,ALBU,ATPA,BDCR,CEAL,CENA,CHPY,CICI,COTA,GASA,GEGE,Guineafowl_crested,Guineafowl_helmeted,HEIC,HEPA,HIAM,HINI,Hornbill_ground,Human,HYAF,ICAL,KOEL,LEMI,LESE,LOAF,MATE,MECA,MUMU,ORAF,OTCR,OUOU,PACY,PALE,PHAF,POLA,RERE,SYCA,SYGR,TAOR,TRAN,TRST,TRSY
A06,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,4,0,6,0,0,0,0,0,0,0,0
A08,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,14,0,1,1,0,0,0,0,0,0,1
A10,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1,0,0,0,7,0,2,3,0,0,0,0,4,0,5
B05,4,0,0,0,0,0,5,2,0,0,3,0,0,0,0,0,1,0,0,1,0,10,1,0,1,0,0,0,1,0,5,5,0,13,1,0,0,0,0,0,3,1
B07,14,1,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,1,0,0,0,1,0,3,9,0,12,0,1,0,0,0,0,2,3
B09,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,14,0,6,4,0,1,0,0,1,0,2
C06,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,20,0,3,0,0,3,0,0,0,0,0,7,4,0,9,3,1,0,0,0,1,0,22
C08,6,0,1,0,0,0,3,3,0,1,7,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,1,3,10,0,1,1,0,0,5,0,9,1,12
D03,0,0,2,0,0,0,9,0,0,0,4,0,2,0,0,0,0,0,1,2,0,13,0,0,1,0,0,0,0,0,0,4,3,4,0,0,4,0,0,2,0,10
D05,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,10,0,5,0,0,0,1,0,20,3,11
D07,11,0,0,0,0,1,4,1,0,0,10,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,1,0,0,6,16,0,15,4,1,0,2,0,10,8,26
D09,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,6,0,2,1,0,0,0,0,0,1,1
E02,11,0,4,0,0,0,0,4,0,0,2,0,0,1,0,0,0,2,0,0,0,20,10,1,0,0,0,0,0,0,12,10,0,16,0,1,0,0,0,0,0,8
E04,13,0,1,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,6,10,0,8,1,1,0,0,0,0,0,11
E06,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,10,1,0,1,0,0,0,1,0,0,1,0,12,0,0,0,0,0,8,5,14
E08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1
E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,2
E12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5
F01,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,6,9,0,15,2,7,0,0,0,0,0,4
F03,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,1,0,0,2,0,2,9,0,19,0,3,0,0,0,1,1,15
F05,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,2,12,0,14,1,0,0,0,0,6,1,3
F07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2,0,0,0,1,0,0,0,0,11,0,13,0,1,1,1,0,4,1,7
F09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,2,3,0,2,1,1,1,0,0,0,0,6
G02,12,0,5,0,0,0,11,3,0,0,4,0,2,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,3,5,0,7,0,0,0,0,0,0,0,9
G04,10,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,12,0,5,1,0,0,0,0,0,0,4
G06,1,0,0,1,0,0,0,1,0,11,4,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,0,1,19,0,3,4,0,0,0,0,4,2,7
G08,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0
G10,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,12,0,1,2,0,0,0,0,0,0,6
G12,1,0,1,0,0,0,0,1,0,5,6,0,0,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,1,0,4,0,1,6,1,0,0,0,1,0,3
H03,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,2,12,1,14,1,0,1,0,0,1,0,4
H05,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,17,0,4,0,0,0,0,0,1,2,2
H07,0,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,10,1,0,3,0,0,0,0,0,0,7,0,7,1,0,0,0,0,4,0,9
H09,0,0,1,0,0,0,0,4,0,1,1,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,4
H11,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2
H13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I04,1,0,1,0,0,0,0,4,0,0,1,0,5,2,0,0,0,0,0,10,1,21,8,1,5,0,1,0,0,0,6,9,0,14,3,1,0,0,0,0,0,17
I06,5,0,2,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,8,1,0,7,1,2,0,0,0,7,4,0,9,0,0,0,0,0,0,1,6
I08,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,5,0,2,1,3,0,0,0,1,1,5
I10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5
I12,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,2
I14,3,1,4,0,0,0,2,5,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,8,0,4,0,1,0,0,0,0,2,5
J03,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,10
J05,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,1,0,10,3,0,4,0,0,0,0,0,0,17,0,9,5,0,1,0,0,0,0,7
J07,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,9,0,0,1,0,0,0,0,0,5,1,0,13,1,0,0,0,0,0,0,3
J09,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,2
J11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,4
J13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,8,4,0,2,1,0,0,0,0,1,1,3
K04,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,4,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,4
K06,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,2,0,0,8,0,17,0,0,1,3,0,0,0,13
K08,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,5,3,0,5,0,1,0,0,0,0,0,1
K10,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,2,0,3
K12,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
