StudySite,AEME,ALBU,ATPA,BDCR,CEAL,CENA,CHPY,CICI,COTA,GASA,GEGE,Guineafowl_crested,Guineafowl_helmeted,HEIC,HEPA,HIAM,HINI,Hornbill_ground,Human,HYAF,ICAL,KOEL,LEMI,LESE,LOAF,MATE,MECA,MUMU,ORAF,OTCR,OUOU,PACY,PALE,PHAF,POLA,RERE,SYCA,SYGR,TAOR,TRAN,TRST,TRSY
A06,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,0,9,0,1,0,0,0,0,0,3
A08,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,6,0,0,3,0,1,0,0,0,6,16,0,10,1,0,0,0,0,0,0,6
A10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,8,0,3
B05,9,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,11,0,0,0,0,8,1,0,1,0,0,0,2,0,21,3,0,30,2,9,4,0,0,1,4,3
B07,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,12,4,0,16,2,1,0,0,0,2,0,1
B09,8,0,0,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,15,0,3,0,0,0,0,0,0,0,8
C06,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,5,0,14,0,3,0,0,0,0,0,6
C08,13,2,0,0,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0,7,0,22,0,0,4,0,0,0,0,0,9,26,0,32,13,1,0,1,0,15,0,14
D03,1,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,3,4,0,5,1,1,1,0,0,1,0,17
D05,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,25,0,0,4,0,0,0,0,0,9,9,0,20,0,0,0,0,0,16,4,10
