"Camera","Operation"
"A06",0
"A08",0
"A10",0
"B05",27
"B07",18
"B09",16
"C06",9
"C08",9
"D03",0
"D05",0
"D07",9
"D09",0
"E02",0
"E04",12
"E06",0
"E08",10
"E10",13
"E12",29
"F01",0
"F03",0
"F05",0
"F07",0
"F09",30
"F11",13
"G02",0
"G04",11
"G06",10
"G08",30
"G10",29
"G12",0
"H03",12
"H05",10
"H07",17
"H09",17
"H11",0
"H13",0
"I04",10
"I06",17
"I08",0
"I10",22
"I12",13
"I14",0
"J03",0
"J05",0
"J07",22
"J09",30
"J11",0
"J13",0
"K04",0
"K06",30
"K08",30
"K10",30
"K12",0
"L05",0
"L07",30
"L09",0
"L11",25
"L13",25
"M08",0
"M10",0
