2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Longitude,Latitude,study_site,latest_fire_thru2015,latest_fire_thru2016,latest_fire_thru2017,days_since_burn2016,days_since_burn2017,days_since_burn2018
287,280,234,283,242,259,NA,233,250,295,228,234,NA,266,241,NA,233,638055.6577,7904361.198,A06,8/29/15,8/29/15,8/21/17,125,491,133
289,NA,NA,283,244,260,NA,NA,NA,NA,NA,NA,NA,NA,248.7257203,NA,NA,638045.9089,7901917.535,A08,9/5/15,9/5/15,9/5/15,118,484,849
NA,NA,NA,NA,288,261,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,638072.0057,7899483.559,A10,8/28/15,8/28/15,8/28/15,126,492,857
291,278,NA,216,242,261,NA,248,256,296,NA,236,249,NA,241.0005307,NA,232.9728131,640129.751,7905548.727,B05,8/29/15,8/29/15,8/21/17,125,491,133
286,NA,131,221,242,260,NA,200,258,NA,NA,NA,254,NA,243.0228801,NA,NA,640060.8662,7903117.669,B07,8/31/15,8/31/15,8/31/15,123,489,854
295,NA,250,287,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640136.5979,7900736.425,B09,10/17/05,10/17/05,10/17/05,3728,4094,4459
286,278,140,216,242,261,NA,201,256,299,NA,NA,256,NA,251.6370325,NA,NA,642272.8619,7904296.172,C06,9/9/15,9/9/15,9/9/15,114,480,845
295,NA,249,NA,244,262,NA,201,256,NA,NA,NA,NA,234,249,249.9987937,NA,642197.6499,7901901.671,C08,9/6/16,9/6/16,9/6/16,-249,117,482
NA,NA,237,NA,255,295,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,644249.4186,7907942.181,D03,2/27/12,2/27/12,2/27/12,1404,1770,2135
287,NA,NA,216,256,262,NA,NA,256,NA,NA,NA,NA,NA,NA,NA,NA,644294.8273,7905513.538,D05,9/13/09,9/13/09,9/13/09,2301,2667,3032
316,278,247,282,242,293,252,279,285,307,240,238,267,237.0349294,210.9792583,247.9993244,NA,644274.2966,7900839.718,D07,7/30/15,9/4/16,9/4/16,155,119,484
295,280,249,218,253,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,644295.3496,7903140.576,D09,7/16/11,7/16/11,7/16/11,1630,1996,2361
NA,354,NA,NA,252,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,646396.0875,7909143.999,E02,2/22/12,2/22/12,2/22/12,1409,1775,2140
313,NA,248,NA,253,NA,166,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,646398.1729,7906731.168,E04,6/13/09,6/13/09,6/13/09,2393,2759,3124
NA,NA,251,283,252,295,NA,279,NA,NA,194,NA,266,NA,208.0339731,NA,NA,646422.4683,7904333.652,E06,7/27/15,7/27/15,7/27/15,158,524,889
313,NA,248,282,256,293,251,279,285,305,241,238,267,240.0779971,208,248.1902864,233.9821449,646384.3728,7901906.739,E08,7/27/15,9/5/16,8/22/17,158,118,132
310,277,248,282,242,296,249,279,283,312,250,243,NA,273.428638,228.1642099,247.0185926,234.5679654,646371.9214,7899529.423,E10,8/16/15,9/3/16,8/23/17,138,120,131
NA,276,270,NA,285,296,251,279,NA,NA,250,NA,265,NA,249,248.0178551,NA,646390.7826,7897120.864,E12,9/6/16,9/4/16,9/4/16,-249,119,484
NA,353,259,NA,258,NA,NA,NA,NA,NA,NA,55,NA,243.3525352,NA,NA,NA,648438.4484,7910307.681,F01,8/31/14,8/31/14,8/31/14,488,854,1219
NA,354,NA,NA,255,NA,171,NA,162,NA,NA,59,NA,NA,NA,NA,NA,648438.1726,7908026.562,F03,2/28/12,2/28/12,2/28/12,1403,1769,2134
NA,NA,250,NA,252,NA,NA,286,NA,NA,NA,NA,268,NA,208.9416379,NA,NA,648410.2911,7905456.782,F05,7/28/15,7/28/15,7/28/15,157,523,888
NA,NA,248,NA,252,295,248,279,NA,NA,NA,245,268,240,207.0396598,252.0748092,233,648450.222,7903073.504,F07,7/26/15,9/8/16,8/21/17,159,115,133
313,NA,248,282,251,293,251,279,285,304,251,236,266,239.1767351,211.080481,250.05648,233,648442.0657,7900738.197,F09,7/30/15,9/6/16,8/21/17,155,117,133
NA,NA,NA,281,NA,300,253,279,NA,NA,250,242,NA,242,NA,253,234,648447.9686,7898320.868,F11,8/30/14,9/9/16,8/22/17,489,114,132
NA,353,255,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,650533.7909,7909128.718,G02,8/31/14,8/31/14,8/31/14,488,854,1219
310,NA,250,NA,253,215,NA,227,NA,NA,NA,NA,NA,241,NA,NA,NA,650507.0552,7906734.895,G04,8/29/14,8/29/14,8/29/14,490,856,1221
313,NA,251,NA,NA,292,NA,283,NA,NA,NA,237,NA,NA,NA,NA,NA,650486.7352,7904355.404,G06,8/24/12,8/24/12,8/24/12,1225,1591,1956
313,NA,256,286,251,301,252,279,NA,NA,240,237,NA,241.9611073,210.0602275,254.9619221,233,650514.5428,7901940.099,G08,7/29/15,9/11/16,8/21/17,156,112,133
NA,NA,249,282,252,NA,252,279,NA,312,NA,NA,268,NA,211,NA,234,650513.6656,7899497.349,G10,7/30/15,7/30/15,8/22/17,155,521,132
NA,278,NA,266,251,301,250,281,286,NA,250,NA,267,242,NA,254.97948,233,650541.238,7897190.503,G12,8/30/14,9/11/16,8/21/17,489,112,133
