Species,Floodplain,Savanna,Total,Floodplain.pct,Savanna.pct,SppCode,Hempsen_mass_kg,Floodplain.biomass,Savanna.biomass,Total.biomass,count.pct.of.total,biomass.pct.of.total,biomass.pct.of.total.noele
Blue_wildebeest,80,216,296,0.27027027,0.72972973,COTA,220.1,17608,47541.6,65149.6,0.003845704,0.004362995,0.005161183
Buffalo,78,381,459,0.169934641,0.830065359,SYCA,486.3,37931.4,185280.3,223211.7,0.00596344,0.014948235,0.017682939
Bushbuck,1058,939,1997,0.529794692,0.470205308,TRSY,42.3,44753.4,39719.7,84473.1,0.025945511,0.005657068,0.006692
Bushpig,55,53,108,0.509259259,0.490740741,POLA,76.6,4213,4059.8,8272.8,0.001403162,0.00055402,0.000655375
Common reedbuck,8739,1760,10499,0.832364987,0.167635013,RERE,53.5,467536.5,94160,561696.5,0.136405566,0.037616179,0.044497868
Duiker grey,4,28,32,0.125,0.875,SYGR,16.9,67.6,473.2,540.8,0.000415752,3.62E-05,4.28E-05
Duiker red,4,16,20,0.2,0.8,CENA,11.9,47.6,190.4,238,0.000259845,1.59E-05,1.89E-05
Eland,0,92,92,0,1,TAOR,511.2,0,47030.4,47030.4,0.001195286,0.003149573,0.003725771
Elephant,284,279,563,0.504440497,0.495559503,LOAF,4101.8,1164911.2,1144402.2,2309313.4,0.007314633,0.154652106,0.182944923
Hartebeest,155,372,527,0.294117647,0.705882353,ALBU,150.3,23296.5,55911.6,79208.1,0.006846912,0.005304477,0.006274904
Hippo,440,0,440,1,0,HIAM,1866.9,821436,0,821436,0.005716587,0.05501064,0.065074557
Impala,2245,2270,4515,0.497231451,0.502768549,AEME,49.1,110229.5,111457,221686.5,0.05865998,0.014846094,0.017562112
Kudu,348,1055,1403,0.248039914,0.751960086,TRST,202.3,70400.4,213426.5,283826.9,0.018228118,0.019007566,0.022484904
Nyala,187,1067,1254,0.149122807,0.850877193,TRAN,85.7,16025.9,91441.9,107467.8,0.016292274,0.007196997,0.008513651
Oribi,2850,985,3835,0.74315515,0.25684485,OUOU,15.2,43320,14972,58292,0.049825254,0.003903749,0.00461792
Sable,170,569,739,0.230040595,0.769959405,HINI,210.5,35785,119774.5,155559.5,0.009601268,0.010417644,0.012323499
Warthog,3442,1875,5317,0.647357532,0.352642468,PHAF,75.9,261247.8,142312.5,403560.3,0.069079759,0.027025977,0.031970242
Waterbuck,34190,10670,44860,0.762148908,0.237851092,KOEL,211.8,7241442,2259906,9501348,0.582832049,0.636294526,0.752701379
Zebra,9,4,13,0.692307692,0.307692308,EQQU,NA,NA,NA,NA,0.000168899,NA,NA
