Site,SppCode1,SppCode2,Spp1Det,Spp2Det,num.nights
A06,COTA,AEME,3,14,61
A06,HYAF,AEME,0,14,61
A06,TRAN,AEME,0,14,61
A06,PHAF,AEME,14,14,61
A06,TRST,AEME,0,14,61
A06,ICAL,AEME,0,14,61
A06,PALE,AEME,0,14,61
A06,GASA,AEME,0,14,61
A06,OUOU,AEME,7,14,61
A06,HINI,AEME,0,14,61
A06,MUMU,AEME,0,14,61
A06,CHPY,AEME,1,14,61
A06,CEAL,AEME,0,14,61
A06,BDCR,AEME,0,14,61
A06,MATE,AEME,0,14,61
A06,HEIC,AEME,0,14,61
A06,ATPA,AEME,0,14,61
A06,RERE,AEME,3,14,61
A06,LESE,AEME,0,14,61
A06,KOEL,AEME,9,14,61
A08,HYAF,AEME,1,2,92
A08,COTA,AEME,0,2,92
A08,CHPY,AEME,0,2,92
A08,RERE,AEME,1,2,92
A08,ICAL,AEME,0,2,92
A08,MATE,AEME,0,2,92
A08,PHAF,AEME,20,2,92
A08,LESE,AEME,0,2,92
A08,OUOU,AEME,6,2,92
A08,HEIC,AEME,0,2,92
A08,KOEL,AEME,11,2,92
A08,PALE,AEME,0,2,92
A08,TRST,AEME,1,2,92
A08,ATPA,AEME,0,2,92
A08,BDCR,AEME,0,2,92
A08,TRAN,AEME,0,2,92
A08,HINI,AEME,0,2,92
A08,MUMU,AEME,0,2,92
A08,GASA,AEME,0,2,92
A08,CEAL,AEME,0,2,92
A10,MATE,AEME,0,0,51
A10,OUOU,AEME,0,0,51
A10,CEAL,AEME,0,0,51
A10,HINI,AEME,0,0,51
A10,CHPY,AEME,0,0,51
A10,TRAN,AEME,16,0,51
A10,HYAF,AEME,1,0,51
A10,PALE,AEME,0,0,51
A10,ATPA,AEME,0,0,51
A10,KOEL,AEME,3,0,51
A10,HEIC,AEME,0,0,51
A10,MUMU,AEME,1,0,51
A10,GASA,AEME,0,0,51
A10,PHAF,AEME,5,0,51
A10,COTA,AEME,0,0,51
A10,LESE,AEME,0,0,51
A10,RERE,AEME,0,0,51
A10,TRST,AEME,0,0,51
A10,ICAL,AEME,0,0,51
A10,BDCR,AEME,0,0,51
B05,KOEL,AEME,21,20,109
B05,ATPA,AEME,1,20,109
B05,ICAL,AEME,0,20,109
B05,COTA,AEME,7,20,109
B05,HEIC,AEME,0,20,109
B05,TRAN,AEME,1,20,109
B05,GASA,AEME,0,20,109
B05,HYAF,AEME,0,20,109
B05,MATE,AEME,0,20,109
B05,LESE,AEME,0,20,109
B05,PALE,AEME,0,20,109
B05,RERE,AEME,14,20,109
B05,CHPY,AEME,0,20,109
B05,BDCR,AEME,0,20,109
B05,PHAF,AEME,44,20,109
B05,TRST,AEME,5,20,109
B05,CEAL,AEME,0,20,109
B05,MUMU,AEME,0,20,109
B05,HINI,AEME,15,20,109
B05,OUOU,AEME,37,20,109
B07,GASA,AEME,0,6,151
B07,PALE,AEME,0,6,151
B07,TRAN,AEME,3,6,151
