StudySite,ORAF,PACY,SYCA,OTCR,TRSY,POLA,CICI,SYGR,CENA,TAOR,LOAF,GEGE,LEMI,ALBU,HIAM,MECA,AEME,TRST,PALE,MUMU,BDCR,HEPA,HEIC,ATPA,GASA,ICAL,TRAN,OUOU,MATE,HYAF,RERE,HINI,CEAL,LESE,CHPY,PHAF,KOEL,COTA
A06,0,31,1,2,6,4,3,0,0,0,1,21,1,0,0,1,38,4,0,0,0,0,0,0,0,1,0,29,0,1,12,0,0,0,5,38,29,5
A08,0,95,0,0,24,6,0,0,0,0,7,49,1,0,0,1,19,5,0,1,0,0,0,0,0,2,0,7,3,2,3,1,0,0,0,36,51,0
A10,0,89,1,0,45,12,3,0,1,0,12,18,0,0,0,0,0,1,0,2,0,0,0,0,0,0,36,0,0,10,3,0,1,0,18,17,11,0
B05,11,37,6,0,12,7,9,0,0,0,5,10,9,16,0,0,44,13,0,0,0,0,0,1,0,1,1,60,0,3,23,21,0,1,13,104,55,9
B07,1,44,0,0,31,6,11,10,1,0,2,8,7,8,0,0,59,9,0,0,0,0,0,1,0,3,10,37,0,0,9,2,0,0,3,80,55,60
B09,0,97,2,0,19,5,3,0,0,0,7,47,1,6,0,0,36,4,0,0,0,0,0,0,1,0,7,9,0,9,2,3,2,0,7,51,36,1
C06,6,58,1,0,81,9,6,32,1,1,5,24,3,1,0,0,20,7,0,1,0,0,1,5,0,2,5,93,0,33,15,3,2,0,0,85,12,0
C08,0,108,0,3,70,21,12,11,0,0,7,47,2,8,0,5,64,5,0,1,0,0,0,1,7,1,50,33,0,18,1,0,15,1,10,71,56,0
D03,0,31,5,0,93,4,12,0,0,0,2,38,0,1,0,6,12,3,4,1,0,0,0,4,0,1,7,14,0,17,1,1,0,0,20,24,58,0
D05,0,84,0,0,53,5,8,2,8,0,4,7,1,0,0,0,72,18,0,2,0,0,0,0,0,2,61,26,1,12,1,1,1,0,6,57,58,0
D07,0,111,0,2,167,8,5,2,1,0,19,27,3,0,0,1,112,27,0,1,0,0,0,4,1,1,79,32,0,10,24,12,0,0,5,206,135,5
D09,0,12,0,0,6,3,1,0,0,0,1,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,2,2,3,0,0,0,14,4,0
E02,0,62,3,0,65,4,13,0,0,0,10,5,34,1,0,0,115,4,2,0,5,0,1,12,0,1,0,136,0,0,51,0,0,1,1,95,152,0
E04,0,161,1,0,75,15,15,0,0,0,12,22,0,0,1,2,136,3,0,0,0,0,0,1,1,1,13,46,0,11,10,1,0,0,59,133,126,0
E06,1,74,0,0,86,12,6,8,0,0,12,13,1,0,0,0,37,32,0,0,0,0,0,1,1,0,66,5,0,8,6,2,0,0,0,81,77,0
E08,0,12,1,0,15,3,1,3,0,0,4,3,0,10,0,0,7,0,0,0,0,0,0,0,0,0,2,8,0,0,1,2,0,0,0,14,44,2
E10,1,42,0,0,21,4,0,0,1,0,12,20,0,1,0,1,8,5,0,0,0,0,0,0,0,0,0,22,0,0,23,5,0,0,0,43,17,0
E12,0,101,0,0,52,50,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,0,0,5,40,48,0
F01,6,39,0,0,61,11,19,0,0,0,7,3,1,0,0,3,100,4,2,0,0,0,0,0,0,7,0,75,0,8,26,0,0,0,0,116,123,0
F03,2,47,2,0,37,1,3,0,0,0,5,8,0,0,0,0,61,7,0,0,0,0,0,0,0,0,4,8,1,0,3,0,0,0,26,44,48,0
F05,1,27,1,0,11,2,2,0,0,0,1,6,0,0,0,0,24,1,0,0,0,0,1,1,0,1,21,11,0,10,0,0,0,0,5,45,30,0
F07,0,151,6,1,67,16,10,2,0,0,11,9,6,20,0,3,68,24,0,0,0,0,2,0,0,2,43,45,0,12,15,9,0,0,0,117,126,6
F09,0,5,0,0,9,0,1,0,0,0,2,8,0,0,0,3,2,3,0,0,0,0,0,0,2,0,0,1,0,1,6,1,0,0,0,18,6,1
F11,7,63,1,0,53,5,6,1,0,0,11,15,0,0,0,0,5,22,0,0,0,0,1,1,0,2,1,20,0,2,9,17,0,0,0,45,27,1
G02,0,63,0,0,48,1,24,0,0,0,2,22,1,0,0,0,53,4,0,0,0,0,0,6,0,0,1,44,0,1,0,0,15,0,17,43,69,0
G04,3,117,0,0,43,5,7,0,0,0,3,1,0,0,0,2,82,0,0,0,0,0,0,7,0,3,2,47,0,1,4,0,2,0,54,90,90,0
G06,4,199,1,0,49,74,15,1,0,0,9,49,0,2,0,2,63,8,0,4,4,13,0,0,35,1,56,7,0,5,1,4,0,0,2,101,83,2
G08,2,117,1,0,48,9,16,0,0,0,8,28,0,0,0,2,3,3,0,1,1,0,3,29,0,2,3,6,2,0,2,0,0,0,1,38,72,0
G10,2,175,0,0,75,29,25,0,109,0,15,89,0,1,0,0,6,15,0,0,5,0,2,3,2,2,54,6,0,7,0,11,1,1,12,35,32,0
G12,0,100,1,3,45,20,16,0,14,0,13,44,0,2,0,1,9,2,0,1,1,0,2,4,9,1,13,2,0,11,2,7,1,0,0,22,29,0
H03,0,121,2,0,30,3,57,0,0,0,21,7,0,0,0,5,158,3,1,0,0,0,0,0,0,0,1,54,0,0,4,0,0,0,4,225,233,0
