StudySite,ORAF,PACY,SYCA,OTCR,TRSY,POLA,CICI,SYGR,CENA,TAOR,LOAF,GEGE,LEMI,ALBU,HIAM,MECA,AEME,TRST,PALE,MUMU,BDCR,HEIC,ATPA,GASA,ICAL,TRAN,OUOU,MATE,HYAF,RERE,HINI,CEAL,LESE,CHPY,PHAF,KOEL,COTA
A06,0,25,0,1,3,3,2,0,0,0,0,12,0,0,0,1,24,4,0,0,0,0,0,0,1,0,22,0,1,9,0,0,0,4,24,20,2
A08,0,71,0,0,11,5,0,0,0,0,4,43,0,0,0,0,17,4,0,1,0,0,0,0,2,0,1,3,1,2,1,0,0,0,16,40,0
A10,0,67,0,0,36,9,3,0,0,0,12,10,0,0,0,0,0,1,0,1,0,0,0,0,0,20,0,0,9,3,0,1,0,18,12,8,0
B05,9,34,0,0,9,4,6,0,0,0,4,8,7,5,0,0,24,8,0,0,0,0,0,0,1,0,23,0,3,9,6,0,1,13,60,34,2
B07,1,36,0,0,26,3,10,10,1,0,2,5,7,5,0,0,53,7,0,0,0,0,1,0,3,7,18,0,0,7,1,0,0,3,55,22,38
B09,0,76,2,0,9,4,2,0,0,0,5,29,1,6,0,0,24,4,0,0,0,0,0,0,0,6,5,0,9,0,3,1,0,6,37,22,1
C06,4,48,0,0,72,9,4,32,1,1,4,20,2,0,0,0,15,6,0,1,0,1,3,0,1,4,89,0,30,8,1,2,0,0,60,6,0
C08,0,70,0,3,49,8,9,10,0,0,3,31,2,6,0,5,45,4,0,1,0,0,1,6,1,32,17,0,10,0,0,11,1,7,32,30,0
D03,0,26,4,0,57,2,9,0,0,0,1,32,0,0,0,5,9,2,4,1,0,0,3,0,0,4,6,0,14,0,0,0,0,19,11,34,0
D05,0,58,0,0,29,5,8,2,5,0,0,6,1,0,0,0,44,13,0,1,0,0,0,0,2,39,10,1,9,1,0,1,0,5,24,18,0
D07,0,69,0,2,83,6,4,2,1,0,5,23,3,0,0,0,62,16,0,1,0,0,4,1,1,55,9,0,9,6,2,0,0,5,86,57,1
D09,0,7,0,0,1,3,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0
E02,0,25,0,0,27,1,12,0,0,0,0,3,31,0,0,0,58,3,0,0,0,1,8,0,0,0,73,0,0,18,0,0,1,0,61,67,0
E04,0,119,1,0,33,8,5,0,0,0,4,15,0,0,1,2,81,2,0,0,0,0,1,1,0,9,25,0,9,6,0,0,0,26,60,63,0
E06,1,28,0,0,49,0,1,6,0,0,2,12,1,0,0,0,32,18,0,0,0,0,1,1,0,41,1,0,5,0,0,0,0,0,35,40,0
E08,0,7,0,0,9,1,1,2,0,0,1,3,0,3,0,0,7,0,0,0,0,0,0,0,0,2,8,0,0,1,0,0,0,0,11,36,2
E10,1,26,0,0,14,4,0,0,1,0,6,17,0,0,0,1,8,3,0,0,0,0,0,0,0,0,21,0,0,21,5,0,0,0,33,16,0
E12,0,65,0,0,25,12,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,0,0,5,30,38,0
F01,4,32,0,0,49,5,14,0,0,0,3,2,1,0,0,3,68,4,2,0,0,0,0,0,6,0,54,0,7,22,0,0,0,0,85,94,0
F03,2,39,0,0,24,1,3,0,0,0,4,7,0,0,0,0,51,3,0,0,0,0,0,0,0,2,4,1,0,3,0,0,0,21,35,35,0
F05,0,14,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,7,2,0,7,0,0,0,0,4,15,6,0
F07,0,66,1,0,33,7,1,2,0,0,4,0,3,4,0,1,29,11,0,0,0,1,0,0,1,19,10,0,4,5,3,0,0,0,40,52,5
F09,0,2,0,0,6,0,1,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,1,0
F11,7,50,1,0,46,4,5,1,0,0,5,15,0,0,0,0,5,15,0,0,0,1,1,0,2,0,17,0,2,7,11,0,0,0,35,20,1
G02,0,60,0,0,47,1,24,0,0,0,2,21,1,0,0,0,51,4,0,0,0,0,6,0,0,1,44,0,1,0,0,14,0,17,42,67,0
G04,2,94,0,0,29,4,3,0,0,0,1,1,0,0,0,1,52,0,0,0,0,0,4,0,3,1,34,0,0,2,0,2,0,41,45,46,0
G06,1,147,0,0,30,38,14,0,0,0,7,40,0,1,0,2,40,6,0,3,4,0,0,33,1,30,3,0,4,1,1,0,0,1,38,32,2
G08,2,62,0,0,28,3,12,0,0,0,5,17,0,0,0,0,2,2,0,0,1,2,18,0,2,3,3,1,0,2,0,0,0,1,17,46,0
G10,2,68,0,0,49,13,17,0,40,0,1,42,0,0,0,0,2,4,0,0,1,2,3,2,1,30,2,0,4,0,4,1,1,1,13,15,0
G12,0,29,0,2,6,13,5,0,5,0,6,24,0,0,0,1,5,2,0,1,0,1,1,9,0,4,0,0,6,1,5,1,0,0,9,10,0
H03,0,75,1,0,19,1,34,0,0,0,4,2,0,0,0,5,89,2,1,0,0,0,0,0,0,1,18,0,0,1,0,0,0,1,108,99,0
H05,1,142,0,0,17,2,2,0,0,0,12,1,0,0,0,1,143,8,0,0,0,0,0,0,0,1,16,0,1,0,0,0,0,5,61,96,0
H07,0,50,0,0,67,10,17,0,0,0,13,20,3,0,0,2,13,6,0,0,0,0,1,0,3,21,11,0,2,4,0,0,0,0,73,64,0
H09,2,73,2,0,37,1,5,0,0,0,5,16,0,0,0,0,1,8,0,0,0,0,1,3,0,8,5,0,6,12,8,0,0,0,58,76,0
H11,0,52,0,0,19,5,1,0,0,0,2,29,0,0,0,1,0,4,0,1,0,0,0,0,0,1,9,0,3,0,7,0,0,2,9,3,0
H13,0,30,0,1,5,1,3,1,1,0,3,7,0,0,0,0,4,2,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,4,2,0
I04,7,57,6,0,98,27,16,0,0,0,20,2,17,0,0,5,49,0,3,0,0,2,2,0,2,0,43,0,43,17,0,0,2,0,137,165,0
I06,0,28,0,0,12,0,5,0,0,0,9,8,1,0,0,2,24,1,0,0,0,0,3,1,1,0,14,1,0,0,0,0,0,0,37,22,0
I08,1,34,0,1,24,6,8,0,0,0,4,40,0,0,0,6,1,6,0,0,0,0,1,0,0,6,3,0,17,3,2,0,0,0,30,50,0
I10,0,39,0,0,33,2,1,0,0,0,2,15,1,0,0,1,1,7,0,3,2,0,0,0,0,16,13,0,6,0,2,0,0,2,37,20,2
I12,0,58,0,1,23,1,8,0,0,0,3,23,2,0,0,0,7,1,0,1,0,0,2,0,1,0,1,0,2,0,2,1,0,3,12,5,0
I14,0,36,0,0,34,5,16,0,0,0,1,55,0,1,0,1,7,4,0,2,0,0,12,0,0,0,10,0,0,1,0,0,0,9,25,6,0
J03,0,29,0,0,40,1,6,1,0,0,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,68,0
J05,0,55,2,0,23,8,2,0,0,0,7,32,6,0,0,5,1,0,0,0,0,2,1,0,0,0,0,0,7,2,0,0,0,2,47,45,0
J07,0,22,5,1,37,5,1,0,0,0,2,2,0,0,0,1,7,3,0,0,0,2,0,0,0,0,18,0,1,1,0,0,0,0,129,89,0
J09,0,41,0,2,35,3,17,3,0,0,4,56,0,0,0,1,0,1,0,0,2,3,2,1,0,5,0,0,0,0,3,0,0,2,41,38,0
J11,0,14,0,0,22,2,1,1,1,0,1,20,0,0,0,2,0,3,0,0,2,0,0,0,1,13,2,1,3,0,10,0,0,0,6,1,0
J13,0,51,0,0,47,2,6,3,0,0,7,0,0,0,0,3,16,4,0,0,0,0,2,1,0,5,20,0,4,0,8,0,1,0,36,11,0
K04,4,29,1,0,22,1,16,0,0,0,9,10,0,0,0,0,6,0,0,0,0,3,1,0,0,0,1,0,9,0,0,0,1,0,44,35,0
K06,4,126,3,1,128,3,34,4,0,1,11,31,0,0,0,7,38,12,0,0,0,0,0,0,0,1,4,0,37,0,0,0,0,24,188,110,0
K08,1,72,2,0,54,1,16,0,1,0,7,30,0,0,0,0,26,9,0,1,0,1,1,0,0,10,11,0,0,3,0,0,4,0,130,56,0
K10,0,28,0,0,15,9,5,0,59,0,1,14,0,0,0,1,0,0,0,0,8,0,5,0,0,29,0,0,1,0,3,0,0,5,44,21,0
K12,0,19,0,0,6,1,3,0,0,0,2,20,0,0,0,1,0,0,0,0,3,0,0,0,1,3,0,0,1,0,0,0,0,0,5,1,0
L05,7,50,15,0,104,14,81,0,0,2,21,22,6,0,0,0,2,0,3,1,0,7,8,0,1,0,12,0,98,4,0,0,11,0,110,101,0
