StudySite,ORAF,PACY,SYCA,OTCR,TRSY,POLA,CICI,SYGR,CENA,TAOR,LOAF,GEGE,LEMI,ALBU,HIAM,MECA,AEME,TRST,PALE,MUMU,BDCR,HEIC,ATPA,GASA,ICAL,TRAN,OUOU,MATE,HYAF,RERE,HINI,CEAL,LESE,CHPY,PHAF,KOEL,COTA
A06,0,6,1,1,3,1,1,0,0,0,1,9,1,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,1,14,9,3
A08,0,24,0,0,13,1,0,0,0,0,3,6,1,0,0,1,2,1,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,20,11,0
A10,0,22,1,0,9,3,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,0,5,3,0
B05,2,3,6,0,3,3,3,0,0,0,1,2,2,11,0,0,20,5,0,0,0,0,1,0,0,1,37,0,0,14,15,0,0,0,44,21,7
B07,0,8,0,0,5,3,1,0,0,0,0,3,0,3,0,0,6,2,0,0,0,0,0,0,0,3,19,0,0,2,1,0,0,0,25,33,22
B09,0,21,0,0,10,1,1,0,0,0,2,18,0,0,0,0,12,0,0,0,0,0,0,1,0,1,4,0,0,2,0,1,0,1,14,14,0
C06,2,10,1,0,9,0,2,0,0,0,1,4,1,1,0,0,5,1,0,0,0,0,2,0,1,1,4,0,3,7,2,0,0,0,25,6,0
C08,0,38,0,0,21,13,3,1,0,0,4,16,0,2,0,0,19,1,0,0,0,0,0,1,0,18,16,0,8,1,0,4,0,3,39,26,0
D03,0,5,1,0,36,2,3,0,0,0,1,6,0,1,0,1,3,1,0,0,0,0,1,0,1,3,8,0,3,1,1,0,0,1,13,24,0
D05,0,26,0,0,24,0,0,0,3,0,4,1,0,0,0,0,28,5,0,1,0,0,0,0,0,22,16,0,3,0,1,0,0,1,33,40,0
D07,0,42,0,0,84,2,1,0,0,0,14,4,0,0,0,1,50,11,0,0,0,0,0,0,0,24,23,0,1,18,10,0,0,0,120,78,4
D09,0,5,0,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,11,4,0
E02,0,37,3,0,38,3,1,0,0,0,10,2,3,1,0,0,57,1,2,0,5,0,4,0,1,0,63,0,0,33,0,0,0,1,34,85,0
E04,0,42,0,0,42,7,10,0,0,0,8,7,0,0,0,0,55,1,0,0,0,0,0,0,1,4,21,0,2,4,1,0,0,33,73,63,0
E06,0,46,0,0,37,12,5,2,0,0,10,1,0,0,0,0,5,14,0,0,0,0,0,0,0,25,4,0,3,6,2,0,0,0,46,37,0
E08,0,5,1,0,6,2,0,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,8,0
E10,0,16,0,0,7,0,0,0,0,0,6,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,10,1,0
E12,0,36,0,0,27,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
F01,2,7,0,0,12,6,5,0,0,0,4,1,0,0,0,0,32,0,0,0,0,0,0,0,1,0,21,0,1,4,0,0,0,0,31,29,0
F03,0,8,2,0,13,0,0,0,0,0,1,1,0,0,0,0,10,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,5,9,13,0
