StudySite,Height_cm,Angle,Detect_obscured,Cover_ground
A06,60,-6,0,10
A08,70,-5,0,30
A10,80,-6,1,75
B05,90,-1,0,20
B07,100,-1,0,75
B09,80,-3,0,5
C06,90,-3,0,5
C08,80,-5,0,10
D03,100,-4,0,50
D05,60,0,1,50
D07,90,1,0,10
D09,60,-2,1,80
E02,110,-4,0,80
E04,70,-1,0,25
E06,90,1,1,30
E08,70,-6,0,50
E10,90,-8,1,80
E12,80,-7,0,80
F01,60,3,0,10
F03,90,-6,0,10
F05,90,-6,0,50
F07,100,1,0,5
F09,80,-5,1,20
F11,70,1,0,50
G02,90,0,1,50
G04,90,-5,0,10
G06,90,0,0,50
G08,60,-4,0,10
G10,90,0,0,1
G12,70,-4,0,5
H03,70,0,1,5
H05,110,1,0,5
H07,70,-3,1,15
H09,80,-2,0,30
H11,90,0,1,10
H13,80,-2,0,1
I04,130,-1,1,15
I06,80,-3,0,30
I08,70,-1,0,40
I10,70,0,0,60
I12,90,-5,0,10
I14,60,-3,0,10
J03,120,-8,1,80
J05,90,-6,1,20
J07,90,-1,0,30
J09,70,-5,1,80
J11,60,-5,0,5
J13,70,0,0,10
K04,60,-7,0,40
K06,60,1,0,1
K08,70,-3,1,50
K10,90,-2,0,1
K12,70,-6,0,5
L05,70,-4,0,50
L07,120,-13,0,15
L09,60,-5,1,10
L11,90,-3,1,5
L13,60,-8,0,5
M08,90,0,0,20
M10,70,1,0,15
