StudySite,num.nights,Cover_ground,Termite_100m,Termite_50m,Termite_large_100m,Termite_50m_large,Habitat_type_number,Habitat_type,Dom_tree,Lake_dist_km,River_dist_km,Road_dist_km,Chit_dist_km,Border_dist_km
A06,177,10,1,1,1,1,2,2_OW,CA,16.731605,2.89207,1.514268,5.471422,5.866838
A08,208,30,2,0,2,0,2.5,2.5_OCW,AR,17.956181,3.47642,0.305773,4.290034,3.476438
A10,167,75,0,0,0,0,4,4_F,HY,19.374714,1.214626,0.081714,4.300579,1.214392
B05,316,20,4,3,4,3,1,1_SW,mix,14.345478,1.265417,2.058474,5.205236,6.344172
B07,348,75,3,3,3,3,1,1_SW,AR,15.613228,3.549281,0.979,3.166102,4.0774
B09,242,5,15,5,15,5,2,2_OW,AR,16.986483,1.828832,0.620502,2.041337,1.828511
C06,241,5,2,3,2,3,2,2_OW,HY,13.120481,2.074898,0.129265,3.534135,4.713007
C08,339,10,3,3,3,3,2,2_OW,AR,14.668317,2.321018,0.430391,1.138528,2.320927
D03,187,50,0,1,0,1,2,2_OW,HY,9.597375,0.053532,0.016171,7.471805,8.581808
D05,198,50,6,4,6,4,2.5,2.5_OCW,mix,10.765736,1.447345,0.627997,5.200633,6.254815
D07,314,10,7,5,7,5,2,2_OW,mix,14.011009,1.846167,1.0305,2.097931,1.846486
D09,68,80,1,1,0,0,2.5,2.5_OCW,CA,12.29116,3.549105,0.121317,3.183639,4.075684
E02,242,80,0,0,0,0,1,1_SW,AX_FA,7.149257,1.196869,0.128443,9.382438,10.398787
E04,341,25,6,5,6,5,2,2_OW,AR,8.348616,2.508115,1.003434,7.309388,8.108328
E06,217,30,3,1,3,1,2,2_OW,CA,9.95693,3.745712,0.846496,5.546608,5.909249
E08,277,50,0,1,0,1,3,3_CW,CA,11.781552,3.867222,0.663495,4.359246,3.867469
E10,340,80,0,0,0,0,2,2_OW,CA,13.576363,2.196131,0.326714,4.3719,2.195846
E12,350,80,1,0,1,0,4,4_F,mix,15.520818,1.007826,0.803274,5.569295,1.007203
F01,151,10,3,2,3,2,1,1_SW,AX_FA,4.824777,1.913832,0.693059,11.414514,12.181652
F03,184,10,9,2,9,2,1,1_SW,AR,5.942327,3.366395,0.343796,9.588927,10.115505
F05,89,50,9,2,9,2,2,2_OW,AR,7.826834,4.86344,0.744827,7.802121,7.90977
F07,244,5,2,2,2,2,1.5,1.5_SOW,AR,9.520182,6.10235,0.522112,6.684368,6.150722
F09,159,20,4,1,4,1,2,2_OW,mix,11.383194,4.538948,2.26181,6.264359,4.538773
F11,254,50,0,0,0,0,3,3_CW,CA,13.378763,3.198287,0.13921,6.729124,3.198436
G02,122,50,0,0,0,0,2,2_OW,AX_FA,3.645294,3.645294,0.489275,11.823841,12.136735
G04,351,10,11,2,11,2,1.5,1.5_SOW,AR,5.461317,5.461317,0.155354,10.248753,10.215882
G06,340,50,12,5,12,5,3,3_CW,AR,7.244831,7.191315,0.594951,9.052193,8.530157
G08,355,10,0,0,0,0,3,3_CW,CA,9.214597,6.908419,0.548396,8.41943,6.908456
G10,356,1,0,0,0,0,4,4_F,SF,11.350158,5.517971,1.958275,8.431491,5.517895
G12,240,5,1,2,1,2,2.5,2.5_OCW,CA,13.416704,4.352523,0.348115,9.094658,4.352678
H03,341,5,3,2,3,2,2,2_OW,AX_FA,3.122078,3.122078,0.306177,12.663294,12.524503
H05,340,5,0,3,0,3,2,2_OW,AX_FA,5.12004,5.12004,0.201047,11.423458,10.794276
H07,249,15,2,1,2,1,3,3_CW,CA,7.1703,7.1703,0.500517,10.709353,9.312003
H09,345,30,0,0,0,0,2.5,2.5_OCW,mix,9.300579,7.968924,1.862507,10.480373,7.968807
H11,311,10,0,0,0,0,3,3_CW,CA,11.539837,6.66185,1.328624,10.648057,6.661706
H13,207,1,2,1,2,1,3.5,3.5_CWF,SF,13.917371,4.840325,0.992498,11.49416,4.840509
I04,340,15,3,2,0,0,1,1_SW,HY,2.98668,2.98668,0.155528,13.849575,13.210573
I06,236,30,3,2,3,2,1.5,1.5_SOW,AR,5.216883,5.216883,0.000469,12.972241,11.661862
I08,180,40,0,0,0,0,3,3_CW,AR,7.514702,7.514702,0.568465,12.548154,10.286793
I10,254,60,3,1,3,1,3,3_CW,mix,9.846003,8.660942,0.197525,12.576089,8.661168
I12,215,10,0,1,0,1,2,2_OW,mix,12.246713,6.263378,0.175597,13.058215,6.263688
I14,181,10,4,1,4,1,1,1_SW,AR,14.344631,3.916925,0.090151,13.682178,3.917259
J03,166,80,0,0,0,0,1,1_SW,AX_FA,1.301047,1.301047,0.183741,16.282832,15.561507
J05,212,20,3,2,0,0,2,2_OW,HY,3.774683,3.774683,0.324627,15.311969,14.027129
J07,272,30,1,1,0,0,2,2_OW,mix,6.082979,5.530692,0.803825,14.795475,12.660582
J09,291,80,1,0,1,0,2,2_OW,mix,8.035145,6.29557,1.641974,14.542017,10.498707
J11,139,5,0,1,0,1,3.5,3.5_CWF,mix,10.000227,6.713985,0.664389,14.81763,8.211389
J13,187,10,2,0,2,0,2,2_OW,AR,12.044088,6.167507,0.430847,15.280681,6.167608
K04,173,40,0,0,0,0,1,1_SW,AX_FA,1.98179,1.855488,0.20608,17.514819,16.3663
K06,356,1,5,1,0,0,3,3_CW,SF,4.080692,3.438275,1.070898,17.039631,14.4996
K08,310,50,1,0,1,0,2,2_OW,mix,5.976942,3.998915,0.274659,16.660939,12.23748
K10,418,1,5,1,5,1,3.5,3.5_CWF,mix,8.021765,5.032657,0.071335,16.715896,10.212039
K12,181,5,3,1,3,1,3,3_CW,CA,10.26493,4.466758,0.166122,17.09663,8.245976
L05,177,50,0,0,0,0,1,1_SW,AX_FA,1.608089,1.899591,0.432992,19.457361,16.641958
L07,418,15,3,3,0,0,2,2_OW,HY,3.923711,1.509258,1.426579,18.945662,14.362534
L09,122,10,5,4,0,0,3,3_CW,CA,6.170237,2.617093,1.388509,18.754512,12.401711
