SppCode,GenusLatin,SpeciesLatin,CommName,Diet,Weight,Sociality,Family,Order,Activity_pattern,Sociality,Mass_category,Trophic_level,Guild_Pansu,Pansu_included,Pansu_percent_gras_RRA,Pansu_pop_niche_width,Pansu_indiv_niche_breadth,5-1_AdultBodyMass_g,5-1_AdultBodyMass_kg,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
AEME,Aepyceros,melampus,Impala,Herbivore,52591.69,group,Bovidae,Artiodactyla,diurnal,group,Large,1,mixed_feeder,1,10,3.11,9.8,52591.69,52.59169,1420,-999,730,-999,-999,2,196.74,1,1.97,2.36,365,0.98,-999,213,5238.4,-999,13.36,-999,498.97,15.25,4,1,150,14563.8,-999,543;730;854;869;1297;1525;1573;1763;1848;2338;2620;2629;2655;2693;3057,-999,1.1,-999,-999,3926868.66,2.58,-28.42,-12.91,40.84,11.71,26.27,0,37.6,1,0.15,73.05,216.36,841.64,1480.32
ALBU,Alcelaphus,buselaphus,Hartebeest,Herbivore,160937.86,group,Bovidae,Artiodactyla,diurnal,group,Very_large,1,grazer,1,91,2.55,9.5,160937.86,160.93786,1974.99,-999,927.7,-999,-999,2,242.66,1,2.73,1.59,345.5,1,-999,240,12500,-999,3.65,-999,827.69,20,2,1,188.73,47894.46,-999,543;730;869;1297;1525;1573;1763;1848;2629;2655;2693;2986,-999,1.13,-999,-999,4706770.4,17.65,-6.03,5.81,45.78,-15.68,15.05,0,35.08,1,0.12,93.92,247.1,957.29,1598.47
ATPA,Atilax,paludinosus,Mongoose_marsh,Omnivore,3600.16,solitary,Herpestidae,Carnivora,crepuscular,solitary,Small,1,NA,0,NA,NA,NA,3600.16,3.60016,499.01,11.5,-999,-999,-999,6,77.27,2,1.73,1.62,182.5,2,2,209,100,-999,-999,-999,234.83,-999,4,1,35.89,549.99,-999,543;1113;1297;1573;2655,-999,-999,-999,-999,14296320.45,17.06,-34.83,-8.88,41.88,-16.82,12.52,0,37.15,1,0.13,99.93,233.39,986.68,1518.76
BDCR,Bdeogale,crassicauda,Mongoose_bushy_tailed,Carnivore,1722.13,solitary,Herpestidae,Carnivora,nocturnal,solitary,Small,1,NA,0,NA,NA,NA,1722.13,1.72213,444.53,-999,-999,-999,-999,1,-999,1,-999,-999,-999,0.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1113;1297;2655,-999,-999,-999,-999,1654322.83,-1.38,-20.63,-11.01,41.24,25.81,33.53,1,38.56,3,0.18,82.89,229.26,902.39,1521.03
CEAL,Cercopithecus,albogularis,Samango,Omnivore,5041.29,group,Cercopithecidae,Primates,diurnal,group,Medium,-999,NA,0,NA,NA,NA,5041.29,5.04129,-999,-999,-999,-999,-999,4,-999,-999,0.13,-999,-999,1.02,-999,-999,-999,-999,-999,-999,-999,32.5,-999,-999,-999,-999,-999,1544;1748;2660,-999,-999,-999,-999,1057710.32,7.78,-33,-12.6,46.05,25.97,36.01,1,48.46,3,0.15,71.4,227.02,881.09,1537.26
CENA,Cephalophus,natalensis,Duiker_red,Herbivore,12724.51,solitary,Bovidae,Artiodactyla,diurnal,solitary,Medium,1,NA,0,NA,NA,NA,12724.51,12.72451,786.14,-999,-999,-999,-999,4,212.97,1,0.06,0.09,235,1,-999,180,954.89,-999,6.92,-999,-999,2,4,1,-999,-999,-999,730;869;1297;1525;1848;2629;2655;2693;2986;3046,-999,1.37,-999,-999,1208751.28,-7.38,-31.13,-19.25,40.84,29.23,35.03,1,37.4,2,0.17,79.36,228.97,924.61,1494.49
CHPY,Chlorocebus,pygerythrus,Vervet,Omnivore,3695.99,group,Cercopithecidae,Primates,diurnal,group,Medium,-999,NA,0,NA,NA,NA,3695.99,3.69599,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5187827.21,8.45,-34.83,-13.19,46.17,15.74,30.95,0,37.27,1,0.14,65.48,218.36,804.67,1478.27
CICI,Civettictis,civetta,Civet,Omnivore,12075.58,solitary,Viverridae,Carnivora,nocturnal,solitary,Medium,1,NA,0,NA,NA,NA,12075.58,12.07558,790.14,1.5,395.41,-999,-999,6,68.4,1,-999,-999,212.14,2.31,-999,336,317.3,206.56,-999,-999,286.24,-999,4,1,82.91,617.65,-999,543;1113;1297;2655,-999,1.44,-999,-999,14207678.6,17.04,-29.1,-6.02,43.47,-16.94,13.26,0,36.77,1,0.14,101.3,237.14,998.88,1537.22
COTA,Connochaetes,taurinus,Wildebeest,Herbivore,198619.68,group,Bovidae,Artiodactyla,crepuscular,group,Very_large,1,grazer,1,95,1.64,7,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986,-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
GASA,Galerella,sanguinea,Mongoose_slender,Omnivore,543.83,solitary,Herpestidae,Carnivora,diurnal,solitary,Small,1,NA,0,NA,NA,NA,543.83,0.54383,329.01,20,-999,372.6,490,6,61.27,1,0.66,0.79,182.5,2.5,2,72,-999,-999,1.32,-999,465.57,-999,-999,1,54.44,-999,-999,367;543;730;1113;1297;1822;2655,-999,-999,-999,-999,16368169.48,18.8,-32.93,-7.06,51.41,-17.53,16.93,0,33.39,1,0.13,84.92,233.27,878.9,1533.83
