,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
61327,J03,Baboon,1/11/16 4:18,1/11/16,4:18:25,38250,638,10.6,0.4,Merged_no_ghost/J03/Baboon,2016 11 01 04 18 25.JPG
61328,J03,Baboon,1/11/16 4:18,1/11/16,4:18:25,38250,638,10.6,0.4,Merged_no_ghost/J03/Baboon,2016 11 01 04 18 26.JPG
61329,J03,Baboon,1/11/16 4:22,1/11/16,4:22:58,273,5,0.1,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 22 58.JPG
61330,J03,Baboon,1/11/16 4:22,1/11/16,4:22:59,1,0,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 22 59.JPG
61331,J03,Baboon,1/11/16 4:23,1/11/16,4:23:31,32,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 23 31.JPG
61332,J03,Baboon,1/11/16 4:23,1/11/16,4:23:31,32,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 23 32.JPG
65042,J07,Baboon,7/11/16 4:24,7/11/16,4:24:00,124577,2076,34.6,1.4,Merged_no_ghost/J07/Baboon,2016 11 07 04 24 00.JPG
65043,J07,Baboon,7/11/16 4:24,7/11/16,4:24:01,1,0,0,0,Merged_no_ghost/J07/Baboon,2016 11 07 04 24 01.JPG
61333,J03,Baboon,1/11/16 4:25,1/11/16,4:25:53,142,2,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 25 53.JPG
61334,J03,Baboon,1/11/16 4:25,1/11/16,4:25:53,142,2,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 25 54.JPG
61335,J03,Baboon,1/11/16 4:26,1/11/16,4:26:54,61,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 26 54.JPG
61336,J03,Baboon,1/11/16 4:26,1/11/16,4:26:54,61,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 26 55.JPG
44950,H03,Baboon,1/11/16 4:27,1/11/16,4:27:05,231774,3863,64.4,2.7,Merged_no_ghost/H03/Baboon,2016 11 01 04 27 05.JPG
44951,H03,Baboon,1/11/16 4:27,1/11/16,4:27:05,231774,3863,64.4,2.7,Merged_no_ghost/H03/Baboon,2016 11 01 04 27 06.JPG
65044,J07,Baboon,7/11/16 4:28,7/11/16,4:28:55,294,5,0.1,0,Merged_no_ghost/J07/Baboon,2016 11 07 04 28 55.JPG
65045,J07,Baboon,7/11/16 4:28,7/11/16,4:28:56,1,0,0,0,Merged_no_ghost/J07/Baboon,2016 11 07 04 28 56.JPG
61337,J03,Baboon,1/11/16 4:32,1/11/16,4:32:26,332,6,0.1,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 32 26.JPG
61338,J03,Baboon,1/11/16 4:32,1/11/16,4:32:27,1,0,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 32 27.JPG
61339,J03,Baboon,1/11/16 4:33,1/11/16,4:33:39,72,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 33 39.JPG
61340,J03,Baboon,1/11/16 4:33,1/11/16,4:33:39,72,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 33 40.JPG
61341,J03,Baboon,1/11/16 4:34,1/11/16,4:34:58,79,1,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 34 58.JPG
61342,J03,Baboon,1/11/16 4:34,1/11/16,4:34:59,1,0,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 34 59.JPG
93983,L11,Baboon,10/25/16 04:36,10/25/16,4:36:26,42185,703,11.7,0.5,Merged_no_ghost/L11/Baboon,2016 10 25 04 36 26.JPG
93984,L11,Baboon,10/25/16 04:36,10/25/16,4:36:26,42185,703,11.7,0.5,Merged_no_ghost/L11/Baboon,2016 10 25 04 36 27.JPG
61343,J03,Baboon,1/11/16 4:37,1/11/16,4:37:26,147,2,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 37 26.JPG
61344,J03,Baboon,1/11/16 4:37,1/11/16,4:37:27,1,0,0,0,Merged_no_ghost/J03/Baboon,2016 11 01 04 37 27.JPG
93985,L11,Baboon,10/25/16 04:37,10/25/16,4:37:34,68,1,0,0,Merged_no_ghost/L11/Baboon,2016 10 25 04 37 34.JPG
93986,L11,Baboon,10/25/16 04:37,10/25/16,4:37:34,68,1,0,0,Merged_no_ghost/L11/Baboon,2016 10 25 04 37 35.JPG
65989,J09,Baboon,1/11/16 4:39,1/11/16,4:39:35,429304,7155,119.2,5,Merged_no_ghost/J09/Baboon,2016 11 01 04 39 35.JPG
65990,J09,Baboon,1/11/16 4:39,1/11/16,4:39:35,429304,7155,119.2,5,Merged_no_ghost/J09/Baboon,2016 11 01 04 39 36.JPG
