"","X","Camera","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","Sunrise","Sunset","Time.Numeric","Sunrise.Numeric","Sunset.Numeric","TimePeriod"
"1",61327,"J03","Baboon","1/11/16 4:18","1/11/16","4:18:25",38250,638,10.6,0.4,"Merged_no_ghost/J03/Baboon","2016 11 01 04 18 25.JPG","05:14:23","18:25:26",4.30694444444444,5.23972222222222,18.4238888888889,"Night"
"2",61328,"J03","Baboon","1/11/16 4:18","1/11/16","4:18:25",38250,638,10.6,0.4,"Merged_no_ghost/J03/Baboon","2016 11 01 04 18 26.JPG","05:14:23","18:25:26",4.30694444444444,5.23972222222222,18.4238888888889,"Night"
"3",61329,"J03","Baboon","1/11/16 4:22","1/11/16","4:22:58",273,5,0.1,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 22 58.JPG","05:14:23","18:25:26",4.38277777777778,5.23972222222222,18.4238888888889,"Night"
"4",61330,"J03","Baboon","1/11/16 4:22","1/11/16","4:22:59",1,0,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 22 59.JPG","05:14:23","18:25:26",4.38305555555556,5.23972222222222,18.4238888888889,"Night"
"5",61331,"J03","Baboon","1/11/16 4:23","1/11/16","4:23:31",32,1,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 23 31.JPG","05:14:23","18:25:26",4.39194444444444,5.23972222222222,18.4238888888889,"Night"
"6",61332,"J03","Baboon","1/11/16 4:23","1/11/16","4:23:31",32,1,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 23 32.JPG","05:14:23","18:25:26",4.39194444444444,5.23972222222222,18.4238888888889,"Night"
"7",65042,"J07","Baboon","7/11/16 4:24","7/11/16","4:24:00",124577,2076,34.6,1.4,"Merged_no_ghost/J07/Baboon","2016 11 07 04 24 00.JPG","06:15:54","17:19:41",4.4,6.265,17.3280555555556,"Night"
"8",65043,"J07","Baboon","7/11/16 4:24","7/11/16","4:24:01",1,0,0,0,"Merged_no_ghost/J07/Baboon","2016 11 07 04 24 01.JPG","06:15:54","17:19:41",4.40027777777778,6.265,17.3280555555556,"Night"
"9",61333,"J03","Baboon","1/11/16 4:25","1/11/16","4:25:53",142,2,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 25 53.JPG","05:14:23","18:25:26",4.43138888888889,5.23972222222222,18.4238888888889,"Night"
"10",61334,"J03","Baboon","1/11/16 4:25","1/11/16","4:25:53",142,2,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 25 54.JPG","05:14:23","18:25:26",4.43138888888889,5.23972222222222,18.4238888888889,"Night"
"11",61335,"J03","Baboon","1/11/16 4:26","1/11/16","4:26:54",61,1,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 26 54.JPG","05:14:23","18:25:26",4.44833333333333,5.23972222222222,18.4238888888889,"Night"
"12",61336,"J03","Baboon","1/11/16 4:26","1/11/16","4:26:54",61,1,0,0,"Merged_no_ghost/J03/Baboon","2016 11 01 04 26 55.JPG","05:14:23","18:25:26",4.44833333333333,5.23972222222222,18.4238888888889,"Night"
"13",44950,"H03","Baboon","1/11/16 4:27","1/11/16","4:27:05",231774,3863,64.4,2.7,"Merged_no_ghost/H03/Baboon","2016 11 01 04 27 05.JPG","05:14:23","18:25:26",4.45138888888889,5.23972222222222,18.4238888888889,"Night"
"14",44951,"H03","Baboon","1/11/16 4:27","1/11/16","4:27:05",231774,3863,64.4,2.7,"Merged_no_ghost/H03/Baboon","2016 11 01 04 27 06.JPG","05:14:23","18:25:26",4.45138888888889,5.23972222222222,18.4238888888889,"Night"
