,X,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,Sunrise,Sunset,Time.Numeric,Sunrise.Numeric,Sunset.Numeric,TimePeriod
2588,5143,A08,Baboon,1/7/17 5:51,1/7/17,5:51:41,72811,1214,20.2,0.8,Complete/A08/Baboon,01070562.JPG,5:12:16,18:24:51,5.861388889,5.204444444,18.41416667,Day
2589,5144,A08,Baboon,1/7/17 5:51,1/7/17,5:51:42,1,0,0,0,Complete/A08/Baboon,01070563.JPG,5:12:16,18:24:51,5.861666667,5.204444444,18.41416667,Day
2607,5145,A08,Baboon,1/7/17 5:52,1/7/17,5:52:17,35,1,0,0,Complete/A08/Baboon,01070564.JPG,5:12:16,18:24:51,5.871388889,5.204444444,18.41416667,Day
2610,5146,A08,Baboon,1/7/17 5:52,1/7/17,5:52:19,2,0,0,0,Complete/A08/Baboon,01070565.JPG,5:12:16,18:24:51,5.871944444,5.204444444,18.41416667,Day
2001,5070,A08,Baboon,11/22/16 5:29,11/22/16,5:29:48,486142,8102,135,5.6,Complete/A08/Baboon,11220053.JPG,4:55:30,18:01:23,5.496666667,4.925,18.02305556,Day
2003,5071,A08,Baboon,11/22/16 5:29,11/22/16,5:29:49,1,0,0,0,Complete/A08/Baboon,11220054.JPG,4:55:30,18:01:23,5.496944444,4.925,18.02305556,Day
2435,5072,A08,Baboon,11/24/16 5:47,11/24/16,5:47:43,173874,2898,48.3,2,Complete/A08/Baboon,11240061.JPG,4:55:25,18:02:36,5.795277778,4.923611111,18.04333333,Day
2437,5073,A08,Baboon,11/24/16 5:47,11/24/16,5:47:45,2,0,0,0,Complete/A08/Baboon,11240062.JPG,4:55:25,18:02:36,5.795833333,4.923611111,18.04333333,Day
2770,5096,A08,Baboon,12/17/16 5:57,12/17/16,5:57:02,330880,5515,91.9,3.8,Complete/A08/Baboon,12170177.JPG,5:00:29,18:16:34,5.950555556,5.008055556,18.27611111,Day
2772,5097,A08,Baboon,12/17/16 5:57,12/17/16,5:57:04,2,0,0,0,Complete/A08/Baboon,12170178.JPG,5:00:29,18:16:34,5.951111111,5.008055556,18.27611111,Day
2791,5098,A08,Baboon,12/17/16 5:57,12/17/16,5:57:39,35,1,0,0,Complete/A08/Baboon,12170179.JPG,5:00:29,18:16:34,5.960833333,5.008055556,18.27611111,Day
2793,5099,A08,Baboon,12/17/16 5:57,12/17/16,5:57:41,2,0,0,0,Complete/A08/Baboon,12170180.JPG,5:00:29,18:16:34,5.961388889,5.008055556,18.27611111,Day
2813,5100,A08,Baboon,12/17/16 5:58,12/17/16,5:58:14,33,1,0,0,Complete/A08/Baboon,12170181.JPG,5:00:29,18:16:34,5.970555556,5.008055556,18.27611111,Day
2816,5101,A08,Baboon,12/17/16 5:58,12/17/16,5:58:18,4,0,0,0,Complete/A08/Baboon,12170182.JPG,5:00:29,18:16:34,5.971666667,5.008055556,18.27611111,Day
2839,5102,A08,Baboon,12/17/16 5:59,12/17/16,5:59:09,51,1,0,0,Complete/A08/Baboon,12170183.JPG,5:00:29,18:16:34,5.985833333,5.008055556,18.27611111,Day
2840,5103,A08,Baboon,12/17/16 5:59,12/17/16,5:59:09,51,1,0,0,Complete/A08/Baboon,12170184.JPG,5:00:29,18:16:34,5.985833333,5.008055556,18.27611111,Day
2233,5112,A08,Baboon,12/20/16 5:40,12/20/16,5:40:58,77242,1287,21.4,0.9,Complete/A08/Baboon,12200219.JPG,5:01:51,18:18:09,5.682777778,5.030833333,18.3025,Day
2234,5113,A08,Baboon,12/20/16 5:41,12/20/16,5:41:00,2,0,0,0,Complete/A08/Baboon,12200220.JPG,5:01:51,18:18:09,5.683333333,5.030833333,18.3025,Day
2265,5114,A08,Baboon,12/20/16 5:42,12/20/16,5:42:18,78,1,0,0,Complete/A08/Baboon,12200221.JPG,5:01:51,18:18:09,5.705,5.030833333,18.3025,Day
2590,5115,A08,Baboon,12/20/16 5:51,12/20/16,5:51:47,569,9,0.2,0,Complete/A08/Baboon,12200223.JPG,5:01:51,18:18:09,5.863055556,5.030833333,18.3025,Day
2591,5116,A08,Baboon,12/20/16 5:51,12/20/16,5:51:47,569,9,0.2,0,Complete/A08/Baboon,12200224.JPG,5:01:51,18:18:09,5.863055556,5.030833333,18.3025,Day
1854,11683,A10,Baboon,11/11/16 5:21,11/11/16,5:21:11,0,0,0,0,Complete/A10/Baboon,11110091.JPG,4:57:31,17:55:00,5.353055556,4.958611111,17.91666667,Day
1855,11684,A10,Baboon,11/11/16 5:21,11/11/16,5:21:13,2,0,0,0,Complete/A10/Baboon,11110092.JPG,4:57:31,17:55:00,5.353611111,4.958611111,17.91666667,Day
1942,11685,A10,Baboon,11/11/16 5:25,11/11/16,5:25:53,280,5,0.1,0,Complete/A10/Baboon,11110093.JPG,4:57:31,17:55:00,5.431388889,4.958611111,17.91666667,Day
1943,11686,A10,Baboon,11/11/16 5:25,11/11/16,5:25:54,1,0,0,0,Complete/A10/Baboon,11110094.JPG,4:57:31,17:55:00,5.431666667,4.958611111,17.91666667,Day
2082,11707,A10,Baboon,11/12/16 5:33,11/12/16,5:33:22,48265,804,13.4,0.6,Complete/A10/Baboon,11120131.JPG,4:57:14,17:55:32,5.556111111,4.953888889,17.92555556,Day
2083,11708,A10,Baboon,11/12/16 5:33,11/12/16,5:33:22,48265,804,13.4,0.6,Complete/A10/Baboon,11120132.JPG,4:57:14,17:55:32,5.556111111,4.953888889,17.92555556,Day
2297,11709,A10,Baboon,11/12/16 5:43,11/12/16,5:43:59,637,11,0.2,0,Complete/A10/Baboon,11120133.JPG,4:57:14,17:55:32,5.733055556,4.953888889,17.92555556,Day
2299,11710,A10,Baboon,11/12/16 5:44,11/12/16,5:44:00,1,0,0,0,Complete/A10/Baboon,11120134.JPG,4:57:14,17:55:32,5.733333333,4.953888889,17.92555556,Day
2321,11711,A10,Baboon,11/12/16 5:44,11/12/16,5:44:40,40,1,0,0,Complete/A10/Baboon,11120135.JPG,4:57:14,17:55:32,5.744444444,4.953888889,17.92555556,Day
2322,11712,A10,Baboon,11/12/16 5:44,11/12/16,5:44:41,1,0,0,0,Complete/A10/Baboon,11120136.JPG,4:57:14,17:55:32,5.744722222,4.953888889,17.92555556,Day
2429,11713,A10,Baboon,11/13/16 5:47,11/13/16,5:47:34,86573,1443,24.1,1,Complete/A10/Baboon,11130175.JPG,4:56:58,17:56:06,5.792777778,4.949444444,17.935,Day
