SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
AEME,ALBU,1.08,None,0.1,0.84,1.27,1,0.84,0.05,0.74,0.92,1,0.18,0.06,0.09,0.3,1,0.1,0.09,0,0.32,1,0.17,0.05,0.08,0.27,1,0.16,0,0.16,0.17,1,0.02,0,0.01,0.03,1
AEME,CENA,0.95,None,0.11,0.71,1.14,1,0.84,0.05,0.74,0.92,1,0.21,0.06,0.11,0.33,1,0.27,0.13,0.07,0.56,1,0.22,0.05,0.13,0.33,1,0.16,0,0.15,0.17,1,0.06,0.01,0.05,0.07,1
AEME,CICI,1,None,0.02,0.97,1.04,1,0.84,0.05,0.74,0.92,1,0.92,0.04,0.83,0.98,1,0.91,0.08,0.69,1,1,0.92,0.04,0.84,0.97,1,0.16,0,0.16,0.17,1,0.06,0,0.06,0.07,1
AEME,GEGE,1.02,None,0.02,0.99,1.08,1,0.84,0.05,0.74,0.92,1,0.93,0.04,0.85,0.98,1,0.82,0.11,0.56,0.97,1,0.91,0.04,0.83,0.97,1,0.16,0,0.16,0.17,1,0.11,0,0.11,0.12,1
AEME,HIAM,0.93,None,0.22,0.34,1.22,1,0.84,0.05,0.74,0.92,1,0.37,0.28,0.02,0.95,1,0.38,0.28,0.01,0.95,1,0.37,0.25,0.04,0.88,1,0.16,0,0.16,0.17,1,0,0,0,0.01,1
AEME,LEMI,1.11,None,0.07,0.99,1.25,1,0.84,0.05,0.74,0.92,1,0.44,0.07,0.31,0.58,1,0.18,0.11,0.03,0.45,1,0.4,0.06,0.28,0.53,1,0.16,0,0.15,0.17,1,0.04,0,0.03,0.05,1
AEME,LOAF,1,None,0.02,0.98,1.05,1,0.84,0.05,0.74,0.92,1,0.92,0.04,0.83,0.98,1,0.91,0.08,0.69,1,1,0.92,0.03,0.84,0.97,1,0.16,0,0.15,0.17,1,0.05,0,0.04,0.05,1
AEME,MECA,0.94,None,0.05,0.83,1.03,1,0.84,0.05,0.74,0.92,1,0.55,0.08,0.4,0.7,1,0.78,0.13,0.48,0.98,1,0.59,0.07,0.45,0.72,1,0.16,0,0.15,0.17,1,0.02,0,0.01,0.02,1
AEME,ORAF,1.11,None,0.06,0.99,1.25,1,0.84,0.05,0.74,0.92,1,0.5,0.08,0.35,0.66,1,0.2,0.13,0.03,0.5,1,0.46,0.07,0.32,0.6,1,0.16,0,0.15,0.17,1,0.02,0,0.01,0.02,1
AEME,OTCR,1,None,0.09,0.8,1.16,1,0.84,0.05,0.74,0.92,1,0.4,0.11,0.22,0.64,1,0.4,0.19,0.1,0.83,1,0.4,0.1,0.23,0.63,1,0.16,0,0.16,0.17,1,0.01,0,0,0.01,1
