SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
CHPY,HINI,0.67,Negative,0.16,0.37,0.98,1,0.57,0.06,0.44,0.69,1,0.25,0.08,0.12,0.41,1,0.52,0.1,0.32,0.73,1,0.36,0.06,0.24,0.5,1,0.06,0,0.05,0.07,1,0.03,0,0.03,0.04,1
GASA,LEMI,0.31,Negative,0.27,0.01,1,1,0.29,0.09,0.15,0.49,1,0.1,0.1,0,0.35,1,0.42,0.11,0.23,0.67,1,0.33,0.08,0.19,0.5,1,0.01,0,0.01,0.02,1,0.02,0,0.01,0.02,1
ICAL,GASA,0.35,Negative,0.28,0.01,1,1,0.63,0.15,0.35,0.91,1,0.1,0.09,0,0.34,1,0.61,0.2,0.24,0.97,1,0.29,0.08,0.15,0.46,1,0.01,0,0,0.01,1,0.01,0,0.01,0.02,1
MECA,ALBU,0.45,Negative,0.21,0.11,0.91,1,0.5,0.1,0.33,0.71,1,0.14,0.07,0.03,0.31,1,0.48,0.12,0.27,0.76,1,0.31,0.06,0.19,0.44,1,0.01,0,0.01,0.02,1,0.03,0,0.02,0.04,1
OUOU,BDCR,0.68,Negative,0.16,0.35,0.96,1,0.83,0.05,0.72,0.91,1,0.14,0.05,0.05,0.25,1,0.5,0.16,0.2,0.82,1,0.2,0.06,0.1,0.32,1,0.12,0,0.11,0.13,1,0.03,0.01,0.02,0.04,1
OUOU,CENA,0.67,Negative,0.16,0.35,0.95,1,0.83,0.05,0.73,0.92,1,0.12,0.04,0.04,0.21,1,0.46,0.15,0.18,0.75,1,0.17,0.05,0.09,0.27,1,0.12,0,0.11,0.13,1,0.11,0.01,0.09,0.13,1
RERE,CENA,0.56,Negative,0.2,0.2,0.96,1,0.67,0.06,0.54,0.79,1,0.1,0.05,0.03,0.2,1,0.33,0.1,0.15,0.55,1,0.17,0.05,0.09,0.28,1,0.05,0,0.04,0.06,1,0.11,0.01,0.09,0.13,1
RERE,MUMU,0.46,Negative,0.17,0.16,0.81,1,0.67,0.06,0.54,0.79,1,0.15,0.08,0.04,0.34,1,0.69,0.16,0.37,0.97,1,0.33,0.09,0.18,0.52,1,0.05,0,0.04,0.06,1,0.01,0,0.01,0.02,1
TRAN,LEMI,0.61,Negative,0.17,0.29,0.93,1,0.65,0.06,0.52,0.77,1,0.2,0.08,0.08,0.38,1,0.56,0.15,0.3,0.87,1,0.33,0.08,0.19,0.5,1,0.08,0,0.07,0.09,1,0.02,0,0.01,0.02,1
AEME,ALBU,0.97,None,0.13,0.71,1.21,1,0.73,0.06,0.61,0.83,1,0.3,0.07,0.17,0.45,1,0.33,0.12,0.12,0.58,1,0.31,0.06,0.19,0.44,1,0.17,0.01,0.16,0.18,1,0.03,0,0.02,0.04,1
AEME,CENA,0.88,None,0.17,0.52,1.19,1,0.73,0.06,0.61,0.83,1,0.15,0.05,0.07,0.27,1,0.23,0.1,0.07,0.45,1,0.17,0.05,0.09,0.28,1,0.17,0.01,0.16,0.18,1,0.11,0.01,0.09,0.13,1
AEME,GEGE,1.01,None,0.04,0.94,1.1,1,0.73,0.06,0.61,0.83,1,0.81,0.06,0.68,0.9,1,0.77,0.1,0.56,0.93,1,0.8,0.05,0.69,0.89,1,0.17,0.01,0.16,0.18,1,0.13,0,0.12,0.14,1
AEME,HIAM,1.07,None,0.23,0.53,1.44,1,0.73,0.06,0.61,0.83,1,0.48,0.27,0.06,0.97,1,0.34,0.27,0.01,0.93,1,0.44,0.23,0.07,0.87,1,0.17,0.01,0.16,0.18,1,0,0,0,0.01,1
AEME,LEMI,1.09,None,0.13,0.82,1.35,1,0.73,0.06,0.61,0.83,1,0.36,0.09,0.19,0.56,1,0.25,0.13,0.06,0.54,1,0.33,0.08,0.19,0.5,1,0.17,0.01,0.16,0.18,1,0.02,0,0.01,0.02,1
AEME,LOAF,1.02,None,0.03,0.97,1.1,1,0.73,0.06,0.61,0.83,1,0.94,0.04,0.85,0.99,1,0.86,0.09,0.65,0.99,1,0.92,0.04,0.83,0.98,1,0.17,0.01,0.16,0.18,1,0.06,0,0.05,0.06,1
AEME,MECA,1.01,None,0.1,0.8,1.21,1,0.73,0.06,0.61,0.83,1,0.49,0.1,0.3,0.71,1,0.47,0.15,0.2,0.8,1,0.49,0.09,0.32,0.68,1,0.17,0.01,0.16,0.18,1,0.01,0,0.01,0.02,1
AEME,ORAF,1.09,None,0.13,0.82,1.35,1,0.73,0.06,0.61,0.83,1,0.33,0.08,0.18,0.51,1,0.23,0.12,0.05,0.49,1,0.3,0.07,0.18,0.45,1,0.17,0.01,0.16,0.18,1,0.02,0,0.01,0.03,1
AEME,OTCR,0.9,None,0.19,0.5,1.24,1,0.73,0.06,0.61,0.83,1,0.22,0.11,0.08,0.48,1,0.31,0.17,0.07,0.74,1,0.24,0.1,0.1,0.49,1,0.17,0.01,0.16,0.18,1,0.01,0,0,0.02,1
AEME,PACY,1.01,None,0.02,0.99,1.05,1,0.73,0.06,0.61,0.83,1,0.98,0.02,0.92,1,1,0.94,0.05,0.8,1,1,0.97,0.02,0.92,1,1,0.17,0.01,0.16,0.18,1,0.31,0.01,0.29,0.32,1
AEME,POLA,1.04,None,0.05,0.96,1.15,1,0.73,0.06,0.61,0.83,1,0.83,0.06,0.7,0.94,1,0.7,0.11,0.46,0.9,1,0.8,0.06,0.68,0.9,1,0.17,0.01,0.16,0.18,1,0.05,0,0.05,0.06,1
AEME,SYCA,1.12,None,0.09,0.95,1.31,1,0.73,0.06,0.61,0.83,1,0.67,0.1,0.47,0.88,1,0.41,0.15,0.16,0.74,1,0.6,0.09,0.43,0.79,1,0.17,0.01,0.16,0.18,1,0.01,0,0.01,0.02,1
AEME,SYGR,1.01,None,0.19,0.58,1.34,1,0.73,0.06,0.61,0.83,1,0.43,0.23,0.1,0.94,1,0.4,0.25,0.05,0.94,1,0.42,0.2,0.12,0.86,1,0.17,0.01,0.16,0.18,1,0,0,0,0.01,1
AEME,TAOR,1.1,None,0.22,0.59,1.46,1,0.73,0.06,0.61,0.83,1,0.32,0.24,0.05,0.91,1,0.2,0.21,0,0.81,1,0.29,0.2,0.05,0.78,1,0.17,0.01,0.16,0.18,1,0.01,0.01,0,0.02,1
AEME,TRSY,1.01,None,0.02,0.99,1.05,1,0.73,0.06,0.61,0.83,1,0.98,0.02,0.92,1,1,0.94,0.05,0.8,1,1,0.97,0.02,0.92,1,1,0.17,0.01,0.16,0.18,1,0.26,0.01,0.25,0.27,1
ALBU,CENA,1.32,None,0.48,0.48,2.34,1,0.3,0.06,0.18,0.43,1,0.23,0.1,0.07,0.44,1,0.15,0.06,0.06,0.27,1,0.17,0.05,0.09,0.28,1,0.03,0,0.02,0.04,1,0.11,0.01,0.09,0.13,1
ALBU,CICI,1.02,None,0.12,0.76,1.25,1,0.3,0.06,0.18,0.43,1,0.78,0.1,0.55,0.95,1,0.76,0.07,0.62,0.89,1,0.77,0.06,0.65,0.87,1,0.03,0,0.02,0.04,1,0.05,0,0.04,0.05,1
ALBU,GEGE,1.12,None,0.09,0.93,1.3,1,0.3,0.06,0.18,0.43,1,0.89,0.07,0.71,0.99,1,0.76,0.06,0.62,0.87,1,0.8,0.05,0.69,0.88,1,0.03,0,0.02,0.04,1,0.13,0,0.12,0.14,1
ALBU,LEMI,1.16,None,0.37,0.5,1.94,1,0.3,0.06,0.18,0.43,1,0.37,0.14,0.14,0.67,1,0.3,0.09,0.15,0.51,1,0.32,0.08,0.19,0.5,1,0.03,0,0.02,0.04,1,0.02,0,0.01,0.02,1
ALBU,LOAF,0.91,None,0.08,0.73,1.04,1,0.3,0.06,0.18,0.43,1,0.84,0.09,0.63,0.98,1,0.96,0.04,0.87,1,1,0.92,0.04,0.84,0.98,1,0.03,0,0.02,0.04,1,0.06,0,0.05,0.06,1
ALBU,ORAF,0.94,None,0.35,0.33,1.68,1,0.3,0.06,0.18,0.43,1,0.28,0.12,0.09,0.54,1,0.31,0.09,0.16,0.5,1,0.3,0.07,0.18,0.45,1,0.03,0,0.02,0.04,1,0.02,0,0.01,0.03,1
ALBU,OTCR,1.17,None,0.5,0.33,2.27,1,0.3,0.06,0.18,0.43,1,0.28,0.16,0.06,0.69,1,0.23,0.12,0.07,0.52,1,0.24,0.1,0.1,0.51,1,0.03,0,0.02,0.04,1,0.01,0,0,0.02,1
ALBU,PACY,0.98,None,0.04,0.87,1.04,1,0.3,0.06,0.18,0.43,1,0.95,0.05,0.81,1,1,0.98,0.02,0.92,1,1,0.97,0.02,0.92,1,1,0.03,0,0.02,0.04,1,0.31,0.01,0.29,0.32,1
ALBU,POLA,0.9,None,0.12,0.64,1.12,1,0.3,0.07,0.18,0.44,1,0.72,0.11,0.47,0.91,1,0.83,0.07,0.69,0.95,1,0.8,0.06,0.68,0.9,1,0.03,0,0.02,0.04,1,0.05,0,0.05,0.06,1
ALBU,SYCA,1.24,None,0.22,0.82,1.69,1,0.3,0.06,0.18,0.43,1,0.72,0.13,0.44,0.96,1,0.53,0.11,0.33,0.75,1,0.59,0.09,0.42,0.77,1,0.03,0,0.02,0.04,1,0.02,0,0.01,0.02,1
ALBU,SYGR,1.9,None,0.67,0.76,3.37,1,0.3,0.06,0.18,0.43,1,0.58,0.23,0.17,0.97,1,0.23,0.18,0.02,0.73,1,0.33,0.16,0.1,0.74,1,0.03,0,0.02,0.04,1,0,0,0,0.01,1
ALBU,TAOR,0.69,None,0.55,0.02,2.02,1,0.3,0.06,0.18,0.43,1,0.2,0.21,0,0.8,1,0.33,0.24,0.05,0.91,1,0.29,0.2,0.05,0.77,1,0.03,0,0.02,0.04,1,0.01,0.01,0,0.02,1
ALBU,TRSY,0.98,None,0.04,0.87,1.04,1,0.3,0.06,0.18,0.43,1,0.95,0.05,0.82,1,1,0.98,0.02,0.92,1,1,0.97,0.02,0.91,1,1,0.03,0,0.02,0.04,1,0.26,0.01,0.25,0.27,1
ATPA,AEME,0.93,None,0.11,0.7,1.14,1,0.41,0.07,0.27,0.56,1,0.67,0.1,0.47,0.85,1,0.76,0.08,0.6,0.89,1,0.72,0.06,0.61,0.83,1,0.02,0,0.02,0.03,1,0.17,0.01,0.16,0.18,1
ATPA,ALBU,1.24,None,0.28,0.71,1.83,1,0.4,0.07,0.27,0.55,1,0.37,0.11,0.18,0.59,1,0.26,0.08,0.12,0.43,1,0.3,0.06,0.19,0.43,1,0.02,0,0.02,0.03,1,0.03,0,0.02,0.04,1
ATPA,BDCR,1.29,None,0.38,0.59,2.08,1,0.41,0.07,0.27,0.56,1,0.26,0.1,0.1,0.48,1,0.16,0.07,0.05,0.32,1,0.2,0.06,0.11,0.32,1,0.02,0,0.02,0.03,1,0.03,0.01,0.02,0.04,1
ATPA,CENA,1,None,0.36,0.36,1.75,1,0.41,0.07,0.27,0.56,1,0.17,0.08,0.05,0.35,1,0.18,0.06,0.07,0.32,1,0.17,0.05,0.09,0.28,1,0.02,0,0.02,0.03,1,0.11,0.01,0.09,0.13,1
ATPA,GEGE,1.03,None,0.09,0.86,1.2,1,0.41,0.07,0.27,0.56,1,0.82,0.08,0.65,0.95,1,0.78,0.07,0.63,0.9,1,0.8,0.05,0.69,0.89,1,0.02,0,0.02,0.03,1,0.13,0,0.12,0.14,1
ATPA,HEIC,1.53,None,0.4,0.81,2.39,1,0.41,0.07,0.27,0.56,1,0.63,0.21,0.24,0.98,1,0.29,0.19,0.04,0.79,1,0.43,0.16,0.17,0.8,1,0.02,0,0.02,0.03,1,0,0,0,0.01,1
ATPA,HIAM,0.66,None,0.46,0.03,1.7,1,0.41,0.07,0.27,0.56,1,0.29,0.26,0.01,0.91,1,0.51,0.27,0.07,0.97,1,0.42,0.21,0.07,0.83,1,0.02,0,0.02,0.03,1,0,0,0,0.01,1
ATPA,LEMI,1.26,None,0.31,0.69,1.9,1,0.41,0.07,0.27,0.56,1,0.41,0.13,0.18,0.69,1,0.27,0.1,0.1,0.48,1,0.32,0.08,0.19,0.5,1,0.02,0,0.02,0.03,1,0.02,0,0.01,0.02,1
ATPA,LOAF,1.04,None,0.05,0.94,1.14,1,0.41,0.07,0.27,0.56,1,0.95,0.05,0.83,1,1,0.9,0.06,0.77,0.98,1,0.92,0.04,0.83,0.98,1,0.02,0,0.02,0.03,1,0.06,0,0.05,0.06,1
ATPA,MECA,1.36,None,0.24,0.92,1.87,1,0.41,0.07,0.27,0.55,1,0.64,0.14,0.38,0.91,1,0.36,0.11,0.17,0.6,1,0.48,0.09,0.32,0.66,1,0.02,0,0.02,0.03,1,0.02,0,0.01,0.02,1
ATPA,MUMU,1.28,None,0.34,0.66,1.98,1,0.41,0.07,0.27,0.56,1,0.44,0.16,0.17,0.81,1,0.28,0.12,0.09,0.56,1,0.34,0.1,0.18,0.59,1,0.02,0,0.02,0.03,1,0.01,0,0.01,0.02,1
ATPA,ORAF,1.46,None,0.32,0.87,2.14,1,0.41,0.07,0.27,0.55,1,0.43,0.12,0.21,0.68,1,0.21,0.08,0.07,0.39,1,0.3,0.07,0.17,0.45,1,0.02,0,0.02,0.03,1,0.02,0,0.01,0.03,1
ATPA,OTCR,1.23,None,0.41,0.48,2.09,1,0.41,0.07,0.27,0.56,1,0.3,0.15,0.08,0.68,1,0.21,0.12,0.05,0.5,1,0.24,0.1,0.1,0.5,1,0.02,0,0.02,0.03,1,0.01,0,0,0.02,1
ATPA,PACY,0.99,None,0.03,0.92,1.05,1,0.4,0.07,0.27,0.55,1,0.96,0.04,0.86,1,1,0.97,0.03,0.9,1,1,0.97,0.02,0.91,1,1,0.02,0,0.02,0.03,1,0.31,0.01,0.29,0.32,1
ATPA,PALE,1.75,None,0.51,0.79,2.8,1,0.4,0.07,0.27,0.55,1,0.42,0.23,0.1,0.93,1,0.14,0.13,0.01,0.51,1,0.25,0.14,0.07,0.6,1,0.02,0,0.02,0.03,1,0.01,0,0,0.02,1
ATPA,POLA,1.06,None,0.1,0.86,1.25,1,0.4,0.07,0.27,0.55,1,0.84,0.09,0.65,0.98,1,0.77,0.08,0.6,0.91,1,0.8,0.06,0.68,0.9,1,0.02,0,0.02,0.03,1,0.05,0,0.05,0.06,1
ATPA,SYCA,1.3,None,0.19,0.96,1.7,1,0.41,0.07,0.28,0.56,1,0.77,0.12,0.51,0.98,1,0.47,0.12,0.25,0.7,1,0.59,0.09,0.43,0.77,1,0.02,0,0.02,0.03,1,0.01,0,0.01,0.02,1
ATPA,SYGR,0.75,None,0.38,0.13,1.57,1,0.41,0.07,0.27,0.55,1,0.32,0.23,0.03,0.89,1,0.5,0.24,0.12,0.96,1,0.43,0.2,0.12,0.83,1,0.02,0,0.02,0.03,1,0,0,0,0.01,1
ATPA,TAOR,1.16,None,0.55,0.22,2.3,1,0.41,0.07,0.27,0.56,1,0.31,0.24,0.03,0.9,1,0.26,0.22,0.02,0.84,1,0.28,0.19,0.05,0.75,1,0.02,0,0.02,0.03,1,0.01,0.01,0,0.02,1
ATPA,TRST,0.87,None,0.13,0.6,1.13,1,0.41,0.07,0.27,0.56,1,0.57,0.11,0.36,0.78,1,0.71,0.09,0.54,0.87,1,0.66,0.07,0.52,0.78,1,0.02,0,0.02,0.03,1,0.03,0,0.03,0.04,1
ATPA,TRSY,0.99,None,0.03,0.92,1.05,1,0.4,0.07,0.27,0.55,1,0.96,0.04,0.86,1,1,0.97,0.03,0.9,1,1,0.97,0.02,0.92,1,1,0.02,0,0.02,0.03,1,0.26,0.01,0.25,0.27,1
BDCR,AEME,0.87,None,0.18,0.5,1.2,1,0.19,0.06,0.1,0.31,1,0.63,0.14,0.34,0.88,1,0.75,0.06,0.61,0.86,1,0.72,0.06,0.61,0.83,1,0.03,0.01,0.02,0.04,1,0.17,0.01,0.16,0.18,1
BDCR,ALBU,1.36,None,0.48,0.51,2.39,1,0.19,0.06,0.1,0.31,1,0.41,0.16,0.14,0.73,1,0.28,0.07,0.15,0.43,1,0.3,0.06,0.19,0.44,1,0.03,0.01,0.02,0.04,1,0.03,0,0.02,0.04,1
BDCR,CICI,1.02,None,0.16,0.66,1.31,1,0.19,0.06,0.1,0.31,1,0.79,0.13,0.48,0.98,1,0.77,0.06,0.63,0.88,1,0.77,0.06,0.65,0.87,1,0.03,0.01,0.02,0.04,1,0.05,0,0.04,0.05,1
BDCR,GEGE,1.15,None,0.11,0.91,1.36,1,0.19,0.06,0.1,0.32,1,0.91,0.08,0.7,1,1,0.77,0.06,0.64,0.87,1,0.8,0.05,0.69,0.88,1,0.03,0.01,0.02,0.04,1,0.13,0,0.12,0.14,1
BDCR,HIAM,1.03,None,0.83,0.04,3.14,1,0.19,0.06,0.1,0.31,1,0.38,0.28,0.01,0.95,1,0.44,0.27,0.05,0.96,1,0.43,0.23,0.07,0.89,1,0.03,0.01,0.02,0.04,1,0,0,0,0.01,1
