Camera	Lat	Long	Start	End	Problem1_from	Problem1_to	Notes
A06	18.94847	34.31120	7/7/16	11/10/16			
A08	18.97055	34.31128	7/7/16	11/10/16			
A10	18.99254	34.31170	7/7/16	11/10/16			
B05	18.93760	34.33081	7/5/16	11/13/16			
B07	18.95957	34.33033	7/5/16	11/13/16			
B09	18.98108	34.33122	7/7/16	11/10/16			
C06	18.94877	34.35125	7/5/16	11/13/16			
C08	18.97041	34.35071	7/5/16	11/13/16			
D03	18.91569	34.36975	6/23/16	11/4/16			
D05	18.93763	34.37036	7/6/16	11/4/16			
D07	18.95907	34.37054	6/23/16	11/4/16	9/21/16	10/28/16	wasn't working (poachers)
D09	18.98033	34.37106	7/11/16	8/7/16			cam stolen between Aug and Nov
E02	18.90468	34.39004	6/23/16	11/4/16			
E04	18.92648	34.39024	7/6/16	11/4/16			
E06	18.94814	34.39065	6/25/16	11/4/16			
E08	18.97007	34.39047	6/25/16	11/4/16			
E10	18.99155	34.39053	7/8/16	11/7/16			
E12	19.01331	34.39089	7/14/16	11/13/16			
F01	18.89402	34.40934	7/6/16	11/5/16			
F03	18.91463	34.40951	6/25/16	11/5/16			
F05	18.93785	34.40944	7/6/16	8/2/16			SD card failed between Aug and Nov
F07	18.95938	34.41000	7/5/16	11/4/16			
F09	18.98049	34.41016	7/8/16	11/15/16	7/8/16	9/9/16	no photos recorded in this time
F11	19.00232	34.41034	7/8/16	11/6/16			
G02	18.90452	34.42932	7/6/16	11/5/16			
G04	18.92615	34.42925	6/25/16	11/5/16			
G06	18.94765	34.42924	7/5/16	11/4/16			
G08	18.96947	34.42969	7/12/16	11/11/16			
G10	18.99154	34.42987	7/8/16	8/7/16			did not check Nov
G12	19.01238	34.43031	7/10/16	9/5/17			tree fallen in front
H03	18.91520	34.44920	7/6/16	11/5/16			
H05	18.93732	34.44904	7/5/16	11/4/16			
H07	18.95859	34.44962	7/7/16	11/11/16			
H09	18.98036	34.44969	7/7/16	11/14/16			
H11	19.00162	34.44932	7/10/16	8/9/16			did not check Nov
H13	19.02429	34.44970	7/10/16	11/11/16			
I04	18.92486	34.46830	7/5/16	11/4/16			
I06	18.94756	34.46877	7/7/16	8/23/16			tree fallen in front
I08	18.96937	34.46918	7/12/16	11/11/16			
I10	18.99097	34.46956	7/12/16	11/11/16			
I12	19.01319	34.46984	7/10/16	11/6/16			
I14	19.03467	34.46753	7/12/16	11/6/16			
J03	18.91491	34.48890	7/5/16	11/5/16			
J05	18.93744	34.48872	7/11/16	11/7/16			
J07	18.95831	34.48913	7/7/16	11/12/16			
J09	18.98038	34.48722	7/12/16	11/14/16			
J11	19.00152	34.48963	7/12/16	11/11/16			
J13	19.02231	34.48900	7/11/16	11/6/16			
K04	18.92439	34.50628	7/11/16	9/24/17			camera knocked to ground
K06	18.94731	34.50857	7/13/16	11/12/16			
K08	18.96980	34.50842	7/13/16	11/12/16			
K10	18.99110	34.50899	7/13/16	11/12/16			
K12	19.01297	34.50941	7/11/16	11/6/16			
L05	18.93517	34.52907	7/11/16	11/7/16			
L07	18.95881	34.52905	7/13/16	10/2/16			battery died early
L09	18.97978	34.52872	7/13/16	11/12/16			
L11	19.00148	34.52897	7/11/16	11/6/16			
L13	19.02311	34.52930	7/13/16	11/6/16			
M08	18.96881	34.54853	7/11/16	11/7/16			
M10	18.99093	34.54668	7/11/16	11/7/16			
