Camera,Start_Nov16,End_Jun17,Problem1_from,Problem1_to,Trap_nights,Latitude,Longitude
A06,11/10/16,12/31/16,,,51,-18.94847,34.3112
A08,11/10/16,1/31/17,,,82,-18.97055,34.31128
A10,11/10/16,12/21/16,,,41,-18.99254,34.3117
B05,11/13/16,6/27/17,1/13/17,2/23/17,185,-18.9376,34.33081
B07,11/13/16,6/18/17,,,217,-18.95957,34.33033
B09,11/10/16,6/16/17,1/10/17,4/22/17,116,-18.98108,34.33122
C06,11/13/16,6/9/17,1/7/17,4/15/17,110,-18.94877,34.35125
C08,11/13/16,6/9/17,,,208,-18.97041,34.35071
D03,11/4/16,12/27/16,,,418,-18.91569,34.36975
D05,11/4/16,1/20/17,,,77,-18.93763,34.37036
D07,11/4/16,6/9/17,,,217,-18.95907,34.37054
D09,11/13/16,12/24/16,,,406,-18.98033,34.37106
E02,11/4/16,1/5/17,,,62,-18.90468,34.39004
E04,11/4/16,6/12/17,,,220,-18.92648,34.39024
E06,11/4/16,1/28/17,,,85,-18.94814,34.39065
E08,11/4/16,6/10/17,12/5/16,2/16/17,145,-18.97007,34.39047
E10,11/7/16,6/13/17,,,218,-18.99155,34.39053
E12,11/13/16,6/29/17,,,228,-19.01331,34.39089
F01,11/5/16,12/4/16,,,29,-18.89402,34.40934
F03,11/5/16,12/26/16,,,51,-18.91463,34.40951
F05,11/5/16,1/6/17,,,62,-18.93785,34.40944
F07,11/4/16,3/6/17,,,122,-18.95938,34.41
F09,11/15/16,7/6/17,12/27/16,5/17/17,92,-18.98049,34.41016
F11,11/6/16,6/13/17,12/20/16,3/16/17,133,-19.00232,34.41034
G04,11/5/16,6/11/17,,,218,-18.92615,34.42925
G06,11/4/16,6/10/17,,,218,-18.94765,34.42924
G08,11/11/16,6/17/17,12/29/16,1/11/17,205,-18.96947,34.42969
G10,8/7/16,6/29/17,,,326,-18.99154,34.42987
G12,11/6/16,3/7/17,,,121,-19.01238,34.43031
H03,11/5/16,6/12/17,,,219,-18.9152,34.4492
H05,11/4/16,6/10/17,,,218,-18.93732,34.44904
H07,11/11/16,6/17/17,12/27/16,4/2/17,122,-18.95859,34.44962
H09,11/14/16,6/17/17,,,215,-18.98036,34.44969
H11,8/9/16,5/17/17,,,281,-19.00162,34.44932
H13,11/11/16,2/2/17,,,83,-19.02429,34.4497
I04,11/4/16,6/10/17,,,218,-18.92486,34.4683
I06,11/5/16,6/17/17,12/27/16,4/15/17,480,-18.94756,34.46877
I08,11/11/16,1/8/17,,,58,-18.96937,34.46918
I10,11/11/16,6/22/17,12/26/16,3/27/17,132,-18.99097,34.46956
I12,11/6/16,6/13/17,12/25/16,6/13/17,49,-19.01319,34.46984
I14,11/6/16,1/9/17,,,64,-19.03467,34.46753
J03,11/5/16,12/18/16,,,43,-18.91491,34.4889
J05,11/7/16,2/8/17,,,93,-18.93744,34.48872
J07,11/12/16,6/22/17,12/27/16,3/15/17,144,-18.95831,34.48913
J09,11/14/16,7/4/17,12/25/16,3/1/17,166,-18.98038,34.48722
J11,11/11/16,11/28/16,,,382,-19.00152,34.48963
J13,11/6/16,1/14/17,,,69,-19.02231,34.489
K04,11/5/16,2/11/17,,,98,-18.92439,34.50628
K06,11/12/16,7/4/17,,,234,-18.94731,34.50857
K08,11/12/16,9/4/17,12/26/16,4/13/17,553,-18.9698,34.50842
K10,11/12/16,9/4/17,,,296,-18.9911,34.50899
K12,11/6/16,1/8/17,,,63,-19.01297,34.50941
L05,11/7/16,1/4/17,,,58,-18.93517,34.52907
L07,11/12/16,9/4/17,,,296,-18.95881,34.52905
L11,11/6/16,6/25/17,,,231,-19.00148,34.52897
L13,11/6/16,6/25/17,,,231,-19.02311,34.5293
M08,11/7/16,2/10/17,,,95,-18.96881,34.54853
M10,11/7/16,3/3/17,,,116,-18.99093,34.54668
