StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,habitat.type,dominant.tree,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,fire2015,fire2016,fire2017
A06,-18.94847,34.3112,638055.6577,7904361.198,60,-6,0,10,1,1,1,1,2,2_OW,CA,14.06763268,1,0,5866.970215,1514.415771,1514.415771,16731.62891,163.1207123,2891.995605,3.1345222,0.233508438,0.706394196,0.28860113,1.308909297,0.019876415,0.255218178,0.08339712,241.0129852,NA,NA,0,0.00284576,0.022840908,1,0,0
A08,-18.97055,34.31128,638045.9089,7901917.535,70,-5,0,30,2,0,2,0,2.5,2.5_OCW,AR,8.370493889,0,0,3476.922119,307.7037659,307.7037964,17956.125,178.3482971,3476.903564,4.238297939,0.462234944,1.796139598,0.494163781,2.248126507,0.042705011,0.78940016,0.18269144,244.3223419,NA,NA,0,0.00094249,0.032964796,1,0,0
A10,-18.99254,34.3117,638072.0057,7899483.559,80,-6,1,75,0,0,0,0,4,4_F,HY,1.204053283,0,0,1215.533936,206.422226,206.422226,19374.58594,282.186676,1215.768066,8.380311966,0.937327802,3.704920769,0.82345593,0.047460448,0.012613496,0.144886583,0.061133672,240,NA,NA,0,0,0.067776702,1,0,0
B05,-18.9376,34.33081,640129.751,7905548.727,90,-1,0,20,4,3,4,3,1,1_SW,mix,12.24129963,0,0,6344.958984,2059.258789,2059.258789,14345.6377,87.22070313,1265.074585,0.510744512,0.072298676,0.51737839,0.19592762,0.16569525,0.005613524,0.173711523,0.075239442,241.4348755,NA,232.5502625,0.103247292,0.001271877,0.033286799,1,0,1
B07,-18.95957,34.33033,640060.8662,7903117.669,100,-1,0,75,3,3,3,3,1,1_SW,AR,9.695158958,0,0,4077.856689,978.2200317,978.2200317,15613.77051,145.0441132,3549.379883,0.733599603,0.169611126,0.903705001,0.429066092,0.344712734,0.025792725,0.436643869,0.106388114,243.2588959,NA,NA,0,0.002066773,0.034840718,1,0,0
B09,-18.98108,34.33122,640136.5979,7900736.425,80,-3,0,5,15,5,15,5,2,2_OW,AR,9.440723419,0,0,1827.738037,620.881897,620.8818359,16986.43555,73.16529083,1828.059204,2.10125494,0.253674328,0.915770769,0.443697155,0.81099087,0.029067613,0.434135973,0.141828209,NA,NA,NA,0.043297254,0.001529874,0.023914794,0,0,0
C06,-18.94877,34.35125,642272.8619,7904296.172,90,-3,0,5,2,3,2,3,2,2_OW,HY,10.62749958,0,0,4712.924316,137.1408691,137.1408234,13121.14648,92.24648285,2074.799805,1.716116071,0.208486006,1.137672186,0.276521236,0.989175677,0.026167227,0.511499822,0.126961946,247.4421082,NA,NA,0.026644463,0.003697307,0.025284287,1,0,0
C08,-18.97041,34.35071,642197.6499,7901901.671,80,-5,0,10,3,3,3,3,2,2_OW,AR,7.553421497,0,0,2321.447754,432.7802124,432.7802124,14668.47266,218.535965,2321.539551,3.321752787,0.376540244,1.53728044,0.388177991,1.741881728,0.045912169,0.759384751,0.174836159,245.4664764,NA,NA,0,0.001911469,0.024999604,1,0,0
D03,-18.91569,34.36975,644249.4186,7907942.181,100,-4,0,50,0,1,0,1,2,2_OW,HY,5.497811317,0,0,8580.866211,94.27841949,94.27842712,9598.172852,25.04351807,55.98794937,6.086621284,0.450219959,1.138081551,0.203578487,0.320566207,0.008880443,0.214631513,0.04204886,NA,NA,NA,0.425424904,0.009402997,0.129149899,0,0,0
D05,-18.93763,34.37036,644294.8273,7905513.538,60,0,1,50,6,4,6,4,2.5,2.5_OCW,mix,4.622369766,0,0,6254.927734,599.0967407,599.0967407,10765.93652,84.32523346,1446.874756,3.390577078,0.371278316,1.533814907,0.385423958,1.749375463,0.042728912,0.63233918,0.175298229,NA,NA,NA,0.0355439,0.001163342,0.036489651,0,0,0
