Species,SpeciesCode,Cameras detected,Naive occupancy,Psi
Aardvark,ORAF,24,0.4,0.443000413
Baboon,PACY,60,1,0.998256671
Buffalo,SYCA,34,0.5667,0.667295067
Bushbaby,OTCR,17,0.2833,0.347252098
Bushbuck,TRSY,60,1,0.997412307
Bushpig,POLA,58,0.9667,0.96555398
Civet,CICI,57,0.95,0.959598927
Duiker_common,SYGR,16,0.2667,0.28156513
Duiker_red,CENA,16,0.2667,0.270941444
Eland,TAOR,6,0.1,0.126862794
Elephant,LOAF,60,1,0.984069253
Genet,GEGE,59,0.9833,0.988009713
Hare,LEMI,26,0.4333,0.469556427
Hartebeest,ALBU,17,0.2833,0.303552036
Hippo,HIAM,3,0.05,0.057513355
Honey_badger,MECA,38,0.6333,0.721948623
Impala,AEME,54,0.9,0.962455279
Kudu,TRST,49,0.8167,0.887192992
Lion,PALE,10,0.1667,0.132165188
Mongoose_banded,MUMU,24,0.4,0.539930395
Mongoose_bushy_tailed,BDCR,15,0.25,0.230743351
Mongoose_dwarf,HEPA,4,0.0667,0.078757926
Mongoose_large_grey,HEIC,18,0.3,0.347287989
Mongoose_marsh,ATPA,41,0.6833,0.762418637
Mongoose_slender,GASA,23,0.3833,0.417372703
Mongoose_white_tailed,ICAL,33,0.55,0.748020365
Nyala,TRAN,45,0.75,0.799479957
Oribi,OUOU,54,0.9,0.966758407
Pangolin,MATE,7,0.1167,0.15635371
Porcupine,HYAF,50,0.8333,0.869695187
Reedbuck,RERE,46,0.7667,0.835603412
Sable_antelope,HINI,32,0.5333,0.614733471
Samango,CEAL,12,0.2,0.219628801
Serval,LESE,12,0.2,0.204728423
Vervet,CHPY,41,0.6833,0.725775349
Warthog,PHAF,60,1,0.998404968
Waterbuck,KOEL,60,1,0.997726525
Wildebeest,COTA,13,0.2167,0.235414674
