"StudySite","raster.values.hansen"
"A06",22.9380702972412
"A08",49.0277976989746
"A10",58.9777755737305
"B05",12
"B07",12
"B09",15.5480146408081
"C06",22.0763778686523
"C08",32.1435394287109
"D03",27.645357131958
"D05",14.6604595184326
"D07",8.77497863769531
"D09",43.2901229858398
"E02",12
"E04",16
"E06",27.3694038391113
"E08",50.8872604370117
"E10",27.5047264099121
"E12",53.905086517334
"F01",15.1615962982178
"F03",11.6894092559814
"F05",19.1813621520996
"F07",5.91116666793823
"F09",20.2963981628418
"F11",27.8955554962158
"G02",15.9421758651733
"G04",6.17936134338379
"G06",18.2732715606689
"G08",53.7911682128906
"G10",49.5934753417969
"G12",44.2379608154297
"H03",29.4711742401123
"H05",16
"H07",41.5971412658691
"H09",45.9544143676758
"H11",50.4208602905273
"H13",59
"I04",12
"I06",15.4322690963745
"I08",28.8752040863037
"I10",51.8570976257324
"I12",39.3472671508789
"I14",29.3309192657471
"J03",28.3036136627197
"J05",16.3360958099365
"J07",30.6199512481689
"J09",42.8199348449707
"J11",43.2438278198242
"J13",30.2449378967285
"K04",17.3018264770508
"K06",37.8772811889648
"K08",15.4186000823975
"K10",54.165771484375
"K12",32.8922843933105
"L05",24.023681640625
"L07",4.55142164230347
"L09",20.6254558563232
"L11",44.8362617492676
"L13",51.4605407714844
"M08",42.2881889343262
"M10",21.4312133789062
