StudySite,Year,Season
A06_D1,0,0
A08_D1,0,0
A10_D1,0,0
B05_D1,0,0
B07_D1,0,0
B09_D1,0,0
C06_D1,0,0
C08_D1,0,0
D03_D1,0,0
D05_D1,0,0
D07_D1,0,0
D09_D1,0,0
E02_D1,0,0
E04_D1,0,0
E06_D1,0,0
E08_D1,0,0
E10_D1,0,0
E12_D1,0,0
F01_D1,0,0
F03_D1,0,0
F05_D1,0,0
F07_D1,0,0
F09_D1,0,0
F11_D1,0,0
G02_D1,0,0
G04_D1,0,0
G06_D1,0,0
G08_D1,0,0
G10_D1,0,0
G12_D1,0,0
H03_D1,0,0
H05_D1,0,0
H07_D1,0,0
H09_D1,0,0
H11_D1,0,0
H13_D1,0,0
I04_D1,0,0
I06_D1,0,0
I08_D1,0,0
I10_D1,0,0
I12_D1,0,0
I14_D1,0,0
J03_D1,0,0
J05_D1,0,0
J07_D1,0,0
J09_D1,0,0
J11_D1,0,0
J13_D1,0,0
K04_D1,0,0
K06_D1,0,0
K08_D1,0,0
K10_D1,0,0
K12_D1,0,0
L05_D1,0,0
L07_D1,0,0
L09_D1,0,0
L11_D1,0,0
L13_D1,0,0
M08_D1,0,0
M10_D1,0,0
A06_W1,0,1
A08_W1,0,1
A10_W1,0,1
B05_W1,0,1
B07_W1,0,1
B09_W1,0,1
C06_W1,0,1
C08_W1,0,1
D03_W1,0,1
D05_W1,0,1
D07_W1,0,1
D09_W1,0,1
E02_W1,0,1
E04_W1,0,1
E06_W1,0,1
E08_W1,0,1
E10_W1,0,1
E12_W1,0,1
F03_W1,0,1
F05_W1,0,1
F07_W1,0,1
F09_W1,0,1
F11_W1,0,1
G04_W1,0,1
G06_W1,0,1
G08_W1,0,1
G10_W1,0,1
G12_W1,0,1
H03_W1,0,1
H05_W1,0,1
H07_W1,0,1
H09_W1,0,1
H11_W1,0,1
H13_W1,0,1
I04_W1,0,1
I06_W1,0,1
I08_W1,0,1
I10_W1,0,1
I12_W1,0,1
I14_W1,0,1
J03_W1,0,1
J05_W1,0,1
J07_W1,0,1
J09_W1,0,1
J13_W1,0,1
K04_W1,0,1
K06_W1,0,1
K08_W1,0,1
K10_W1,0,1
K12_W1,0,1
L05_W1,0,1
L07_W1,0,1
L11_W1,0,1
L13_W1,0,1
M08_W1,0,1
M10_W1,0,1
A08_D2,1,0
A10_D2,1,0
B07_D2,1,0
B09_D2,1,0
C06_D2,1,0
C08_D2,1,0
D03_D2,1,0
D05_D2,1,0
D07_D2,1,0
E02_D2,1,0
E04_D2,1,0
E06_D2,1,0
E08_D2,1,0
E10_D2,1,0
F01_D2,1,0
F03_D2,1,0
F05_D2,1,0
F07_D2,1,0
F11_D2,1,0
G02_D2,1,0
G04_D2,1,0
G06_D2,1,0
G08_D2,1,0
H03_D2,1,0
H05_D2,1,0
H07_D2,1,0
I04_D2,1,0
I06_D2,1,0
I08_D2,1,0
I10_D2,1,0
I12_D2,1,0
J03_D2,1,0
J05_D2,1,0
J07_D2,1,0
J11_D2,1,0
J13_D2,1,0
K04_D2,1,0
K06_D2,1,0
K08_D2,1,0
K10_D2,1,0
K12_D2,1,0
L05_D2,1,0
L07_D2,1,0
L11_D2,1,0
M10_D2,1,0
A08_W2,1,1
B07_W2,1,1
B09_W2,1,1
C06_W2,1,1
C08_W2,1,1
D03_W2,1,1
D05_W2,1,1
D07_W2,1,1
E02_W2,1,1
E08_W2,1,1
F01_W2,1,1
F03_W2,1,1
F11_W2,1,1
G02_W2,1,1
G04_W2,1,1
G06_W2,1,1
G08_W2,1,1
H03_W2,1,1
H05_W2,1,1
I04_W2,1,1
I06_W2,1,1
I08_W2,1,1
I10_W2,1,1
I12_W2,1,1
J03_W2,1,1
J05_W2,1,1
J07_W2,1,1
J11_W2,1,1
J13_W2,1,1
K04_W2,1,1
K06_W2,1,1
K08_W2,1,1
K10_W2,1,1
K12_W2,1,1
L05_W2,1,1
L11_W2,1,1
