Camera	Start	End	Problem1_from	Problem1_to	Notes
A06	NA	NA			
A08	5/24/19	10/13/19			
A10	7/13/19	10/13/19			
B05	5/25/19	10/13/19			
B07	5/25/19	10/13/19			
B09	5/24/19	10/13/19			
C06	5/25/19	9/11/19			elephant
C08	5/24/19	10/8/19			
D03	5/25/19	10/8/19			
D05	5/25/19	10/8/19			
D07	5/24/19	10/13/19			
D09	NA	NA			
E02	6/3/19	10/8/19			
E04	5/25/19	10/8/19			
E06	5/25/19	9/27/19			batteries
E08	NA	NA			not_working
E10	5/28/19	10/5/19			
E12	NA	NA			
F01	6/5/19	10/6/19			
F03	5/27/19	10/12/19			
F05	NA	NA			not_working
F07	5/27/19	10/4/19			
F09	NA	NA			
F11	5/26/19	10/5/19			
G02	6/5/19	10/5/19			
G04	5/27/19	9/29/19			batteries
G06	5/27/19	10/12/19			
G08	5/29/19	10/4/19			
G10	NA	NA			
G12	5/28/19	10/5/19			
H03	6/10/18	3/16/19			season1_and_2
H05	NA	NA			
H07	5/29/19	7/29/19			
H09	NA	NA			
H11	NA	NA			
H13	NA	NA			
I04	7/18/19	8/14/19			
I06	5/29/19	10/4/19			
I08	5/29/19	10/4/19			
I10	5/28/19	10/5/19			
I12	5/26/19	10/5/19			
I14	NA	NA			
J03	7/18/19	10/6/19			
J05	6/3/19	10/6/19			
J07	7/18/19	10/12/19			
J09	NA	NA			
J11	7/13/19	10/5/19			
J13	5/28/19	10/5/19			
K04	7/19/19	10/6/19			
K06	6/3/19	10/12/19			
K08	6/3/19	10/12/19			
K10	6/3/19	10/12/19			
K12	5/26/19	10/5/19			
L05	8/23/19	10/6/19			
L07	NA	NA			
L09	NA	NA			
L11	5/26/19	10/5/19			
L13	NA	NA			
M08	5/26/19	9/10/19	6/26/19	7/15/19	batteries
M10	5/31/19	10/5/19			
