"","row","column","cor","p"
"1","Longitude.UTM","Latitude.UTM",-0.208097045569962,0.110594705504947
"2","Longitude.UTM","cover.ground",-0.237762787635521,0.0673561264857661
"3","Latitude.UTM","cover.ground",0.194691586782952,0.136051886489727
"4","Longitude.UTM","termite.count.100m",-0.112601655157977,0.391671666760936
"5","Latitude.UTM","termite.count.100m",0.0960237597197615,0.465488391960243
"6","cover.ground","termite.count.100m",-0.262817977030245,0.0424815218034746
"7","Longitude.UTM","termite.count.50m",-0.268656878158817,0.0379348979429719
"8","Latitude.UTM","termite.count.50m",0.227027429374265,0.081087415956635
"9","cover.ground","termite.count.50m",-0.276936994338842,0.0321846793323668
"10","termite.count.100m","termite.count.50m",0.687418534205226,1.30852573221318e-09
"11","Longitude.UTM","termite.large.count.100m",-0.213855782473494,0.100856442707611
"12","Latitude.UTM","termite.large.count.100m",0.0584729158673224,0.657200580522639
"13","cover.ground","termite.large.count.100m",-0.201071965890357,0.12343518660765
"14","termite.count.100m","termite.large.count.100m",0.945082534906653,0
"15","termite.count.50m","termite.large.count.100m",0.607794969128826,2.60353517411716e-07
"16","Longitude.UTM","termite.large.count.50m",-0.423492855704503,0.000747541819229536
"17","Latitude.UTM","termite.large.count.50m",0.186471192863073,0.153706250170681
"18","cover.ground","termite.large.count.50m",-0.217107111734923,0.0956600145512618
"19","termite.count.100m","termite.large.count.50m",0.65611861373199,1.26404211542308e-08
"20","termite.count.50m","termite.large.count.50m",0.870909457490988,0
"21","termite.large.count.100m","termite.large.count.50m",0.725680609753967,5.40272271365438e-11
"22","Longitude.UTM","habitat.number",0.0705250008176836,0.592331704035558
"23","Latitude.UTM","habitat.number",-0.584554864741694,9.39151970191787e-07
"24","cover.ground","habitat.number",-0.0833948376630248,0.52641377902627
"25","termite.count.100m","habitat.number",-0.0881874429972268,0.502835725879236
"26","termite.count.50m","habitat.number",-0.183364660170811,0.160801643505566
"27","termite.large.count.100m","habitat.number",-0.0996283448545442,0.448827512349845
"28","termite.large.count.50m","habitat.number",-0.183075631234797,0.16147384524615
"29","Longitude.UTM","fire.interval",-0.0411785228826774,0.754743999635438
"30","Latitude.UTM","fire.interval",-0.423412210430905,0.000749470884055192
"31","cover.ground","fire.interval",-0.297887789543312,0.0207974690103154
"32","termite.count.100m","fire.interval",-0.0535620775272988,0.684408737439623
"33","termite.count.50m","fire.interval",0.0611056243811154,0.642791658761612
"34","termite.large.count.100m","fire.interval",-0.0978514030163427,0.456999262727732
"35","termite.large.count.50m","fire.interval",0.00750495806825142,0.954616059614481
"36","habitat.number","fire.interval",0.155040595513594,0.236870670704318
"37","Longitude.UTM","poaching.all",-0.0909015822146685,0.489728416610931
"38","Latitude.UTM","poaching.all",-0.0747664773269047,0.570203726333498
"39","cover.ground","poaching.all",0.0180525295647018,0.891106802239405
"40","termite.count.100m","poaching.all",-0.140016905109632,0.285963568933861
"41","termite.count.50m","poaching.all",-0.0432463821157574,0.742842226191735
"42","termite.large.count.100m","poaching.all",-0.209068572156884,0.108902974454739
"43","termite.large.count.50m","poaching.all",-0.101900587196727,0.438496696791314
"44","habitat.number","poaching.all",0.159090909090909,0.224694078812738
"45","fire.interval","poaching.all",0.336511215231519,0.00856549970870901
"46","Longitude.UTM","poaching.high",-0.118454096448156,0.367365418155626
"47","Latitude.UTM","poaching.high",-0.293675952891694,0.0227609685808843
"48","cover.ground","poaching.high",0.143485659186682,0.274075047817192
"49","termite.count.100m","poaching.high",-0.222594776805881,0.0873655650001639
"50","termite.count.50m","poaching.high",-0.128289501447696,0.328635310235728
"51","termite.large.count.100m","poaching.high",-0.183596404822223,0.160264158317291
"52","termite.large.count.50m","poaching.high",-0.0870993536965622,0.508140637405083
"53","habitat.number","poaching.high",0.269679944985297,0.0371813451419525
"54","fire.interval","poaching.high",0.345102498753741,0.00692504152295381
"55","poaching.all","poaching.high",0.741619848709566,1.21787024909281e-11
"56","Longitude.UTM","boundary.distance",0.725344034572664,5.5691451450457e-11
"57","Latitude.UTM","boundary.distance",0.485752093526119,8.34490229106866e-05
"58","cover.ground","boundary.distance",-0.0795732544053889,0.545600775303647
"59","termite.count.100m","boundary.distance",-0.0739160726868479,0.57460943507409
"60","termite.count.50m","boundary.distance",-0.123691050579591,0.346410582397499
"61","termite.large.count.100m","boundary.distance",-0.19606927680348,0.13324874834104
"62","termite.large.count.50m","boundary.distance",-0.296877424501604,0.0212548734868203
"63","habitat.number","boundary.distance",-0.332321151051733,0.00948162007659503
"64","fire.interval","boundary.distance",-0.307359912097167,0.0169008739454255
"65","poaching.all","boundary.distance",-0.143789092004805,0.273050967529564
"66","poaching.high","boundary.distance",-0.34998573231565,0.00612095625439535
"67","Longitude.UTM","road.distance",-0.108298663558564,0.410134075354468
"68","Latitude.UTM","road.distance",-0.105720566638681,0.421432757773625
"69","cover.ground","road.distance",-0.122014004142242,0.35303879184451
"70","termite.count.100m","road.distance",0.0121713854316844,0.926460270296174
"71","termite.count.50m","road.distance",0.0902859327077948,0.492685760252962
"72","termite.large.count.100m","road.distance",-0.0419836509191305,0.750103086444743
"73","termite.large.count.50m","road.distance",0.00455864051082891,0.972423870572041
"74","habitat.number","road.distance",0.126776356615395,0.334419655950425
"75","fire.interval","road.distance",0.454777722276964,0.00026175362555092
"76","poaching.all","road.distance",0.154733207061826,0.237812972142617
