"","X","Camera","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","Sunrise","Sunset","Time.Numeric","Sunrise.Numeric","Sunset.Numeric","TimePeriod","Month","Season"
"2",108,"A06","Genet","7/11/16 22:16:00","7/11/16","22:16:43",0,0,0,0,"Merged_no_ghost/A06/Genet","2016 07 11 22 16 43.JPG","06:15:54","17:19:41",22.2786111111111,6.265,17.3280555555556,"Night",7,"Dry"
"4",91,"A06","Bushbaby","7/15/16 22:08:00","7/15/16","22:08:54",0,0,0,0,"Merged_no_ghost/A06/Bushbaby","2016 07 15 22 08 54.JPG","06:15:25","17:21:05",22.1483333333333,6.25694444444444,17.3513888888889,"Night",7,"Dry"
"14",103,"A06","Civet","7/21/16 01:13:00","7/21/16","01:13:01",0,0,0,0,"Merged_no_ghost/A06/Civet","2016 07 21 01 13 01.JPG","06:14:10","17:23:11",1.21694444444444,6.23611111111111,17.3863888888889,"Night",7,"Dry"
"15",135,"A06","Impala","7/21/16 22:38:00","7/21/16","22:38:10",316329,5272,87.9,3.7,"Merged_no_ghost/A06/Impala","2016 07 21 22 38 10.JPG","06:14:10","17:23:11",22.6361111111111,6.23611111111111,17.3863888888889,"Night",7,"Dry"
"19",110,"A06","Genet","7/22/16 23:05:00","7/22/16","23:05:15",953312,15889,264.8,11,"Merged_no_ghost/A06/Genet","2016 07 22 23 05 15.JPG","06:13:53","17:23:32",23.0875,6.23138888888889,17.3922222222222,"Night",7,"Dry"
"20",111,"A06","Genet","7/26/16 02:20:00","7/26/16","02:20:19",270903,4515,75.2,3.1,"Merged_no_ghost/A06/Genet","2016 07 26 02 20 19.JPG","06:12:38","17:24:54",2.33861111111111,6.21055555555556,17.415,"Night",7,"Dry"
"25",191,"A06","Oribi","7/30/16 03:45:00","7/30/16","03:45:22",157922,2632,43.9,1.8,"Merged_no_ghost/A06/Oribi","2016 07 30 03 45 22.JPG","06:11:06","17:26:13",3.75611111111111,6.185,17.4369444444444,"Night",7,"Dry"
"27",112,"A06","Genet","8/2/16 03:22:00","8/2/16","03:22:18",608518,10142,169,7,"Merged_no_ghost/A06/Genet","2016 08 02 03 22 18.JPG","06:09:46","17:27:10",3.37166666666667,6.16277777777778,17.4527777777778,"Night",8,"Dry"
"28",113,"A06","Genet","8/2/16 03:22:00","8/2/16","03:22:18",608518,10142,169,7,"Merged_no_ghost/A06/Genet","2016 08 02 03 22 19.JPG","06:09:46","17:27:10",3.37166666666667,6.16277777777778,17.4527777777778,"Night",8,"Dry"
"29",223,"A06","Porcupine","8/4/16 00:29:00","8/4/16","00:29:24",0,0,0,0,"Merged_no_ghost/A06/Porcupine","2016 08 04 00 29 24.JPG","06:08:49","17:27:47",0.49,6.14694444444445,17.4630555555556,"Night",8,"Dry"
