"","X","Camera","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","Sunrise","Sunset","Time.Numeric","Sunrise.Numeric","Sunset.Numeric","TimePeriod","Month","Season"
"253",336,"A06","Waterbuck","11/1/16 18:23:00","11/1/16","18:23:59",76689,1278,21.3,0.9,"Merged_no_ghost/A06/Waterbuck","2016 11 01 18 23 59.JPG","05:01:31","17:50:00",18.3997222222222,5.02527777777778,17.8333333333333,"Night",11,"Wet"
"254",337,"A06","Waterbuck","11/1/16 18:23:00","11/1/16","18:23:59",76689,1278,21.3,0.9,"Merged_no_ghost/A06/Waterbuck","2016 11 01 18 24 00.JPG","05:01:31","17:50:00",18.3997222222222,5.02527777777778,17.8333333333333,"Night",11,"Wet"
"256",129,"A06","Genet","11/3/16 00:19:00","11/3/16","00:19:31",352717,5879,98,4.1,"Merged_no_ghost/A06/Genet","2016 11 03 00 19 31.JPG","05:00:34","17:50:56",0.325277777777778,5.00944444444444,17.8488888888889,"Night",11,"Wet"
"259",130,"A06","Genet","11/4/16 21:59:00","11/4/16","21:59:57",164425,2740,45.7,1.9,"Merged_no_ghost/A06/Genet","2016 11 04 21 59 57.JPG","05:00:07","17:51:24",21.9991666666667,5.00194444444444,17.8566666666667,"Night",11,"Wet"
"260",131,"A06","Genet","11/4/16 23:24:00","11/4/16","23:24:45",5087,85,1.4,0.1,"Merged_no_ghost/A06/Genet","2016 11 04 23 24 45.JPG","05:00:07","17:51:24",23.4125,5.00194444444444,17.8566666666667,"Night",11,"Wet"
"263",341,"A06","Waterbuck","11/5/16 19:50:00","11/5/16","19:50:40",34543,576,9.6,0.4,"Merged_no_ghost/A06/Waterbuck","2016 11 05 19 50 40.JPG","04:59:41","17:51:53",19.8444444444444,4.99472222222222,17.8647222222222,"Night",11,"Wet"
"268",107,"A06","Civet","11/7/16 18:40:00","11/7/16","18:40:32",5307847,88464,1474.4,61.4,"Merged_no_ghost/A06/Civet","2016 11 07 18 40 32.JPG","04:58:53","17:52:53",18.6755555555556,4.98138888888889,17.8813888888889,"Night",11,"Wet"
"269",221,"A06","Oribi","11/7/16 21:02:00","11/7/16","21:02:07",1332739,22212,370.2,15.4,"Merged_no_ghost/A06/Oribi","2016 11 07 21 02 07.JPG","04:58:53","17:52:53",21.0352777777778,4.98138888888889,17.8813888888889,"Night",11,"Wet"
"270",222,"A06","Oribi","11/7/16 21:02:00","11/7/16","21:02:07",1332739,22212,370.2,15.4,"Merged_no_ghost/A06/Oribi","2016 11 07 21 02 08.JPG","04:58:53","17:52:53",21.0352777777778,4.98138888888889,17.8813888888889,"Night",11,"Wet"
"281",24,"A06","Impala","11/10/16 23:08:00","11/10/16","23:08:19",0,0,0,0,"Complete/A06/Impala","11100011.JPG","04:57:50","17:54:27",23.1386111111111,4.96388888888889,17.9075,"Night",11,"Wet"
"282",25,"A06","Impala","11/11/16 00:55:00","11/11/16","00:55:26",6016,100,1.7,0.1,"Complete/A06/Impala","11110015.JPG","04:57:31","17:55:00",0.923888888888889,4.95861111111111,17.9166666666667,"Night",11,"Wet"
"283",14,"A06","Genet","11/11/16 04:12:00","11/11/16","04:12:34",0,0,0,0,"Complete/A06/Genet","11110021.JPG","04:57:31","17:55:00",4.20944444444444,4.95861111111111,17.9166666666667,"Night",11,"Wet"
"284",15,"A06","Genet","11/12/16 01:51:00","11/12/16","01:51:51",77956,1299,21.6,0.9,"Complete/A06/Genet","11120023.JPG","04:57:14","17:55:32",1.86416666666667,4.95388888888889,17.9255555555556,"Night",11,"Wet"
"285",71,"A06","Waterbuck","11/13/16 01:00:00","11/13/16","01:00:26",0,0,0,0,"Complete/A06/Waterbuck","11130025.JPG","04:56:58","17:56:06",1.00722222222222,4.94944444444444,17.935,"Night",11,"Wet"
"288",11,"A06","Bushpig","11/13/16 18:41:00","11/13/16","18:41:37",0,0,0,0,"Complete/A06/Bushpig","11130031.JPG","04:56:58","17:56:06",18.6936111111111,4.94944444444444,17.935,"Night",11,"Wet"
"292",27,"A06","Impala","11/14/16 21:17:00","11/14/16","21:17:38",13043,217,3.6,0.2,"Complete/A06/Impala","11140047.JPG","04:56:43","17:56:39",21.2938888888889,4.94527777777778,17.9441666666667,"Night",11,"Wet"
"297",48,"A06","Reedbuck","11/16/16 23:22:00","11/16/16","23:22:39",26907,448,7.5,0.3,"Complete/A06/Reedbuck","11160091.JPG","04:56:17","17:57:48",23.3775,4.93805555555556,17.9633333333333,"Night",11,"Wet"
"301",30,"A06","Impala","11/20/16 18:23:00","11/20/16","18:23:40",186827,3114,51.9,2.2,"Complete/A06/Impala","11200103.JPG","04:55:41","18:00:10",18.3944444444444,4.92805555555556,18.0027777777778,"Night",11,"Wet"
"302",16,"A06","Genet","11/21/16 23:00:00","11/21/16","23:00:49",853737,14229,237.2,9.9,"Complete/A06/Genet","11210107.JPG","04:55:35","18:00:46",23.0136111111111,4.92638888888889,18.0127777777778,"Night",11,"Wet"
"303",17,"A06","Genet","11/22/16 01:58:00","11/22/16","01:58:47",10676,178,3,0.1,"Complete/A06/Genet","11220109.JPG","04:55:30","18:01:23",1.97972222222222,4.925,18.0230555555556,"Night",11,"Wet"
"304",6,"A06","Bushbaby","11/24/16 02:56:00","11/24/16","02:56:29",0,0,0,0,"Complete/A06/Bushbaby","11240113.JPG","04:55:25","18:02:36",2.94138888888889,4.92361111111111,18.0433333333333,"Night",11,"Wet"
"317",23,"A06","Hare","12/1/16 01:08:00","12/1/16","01:08:09",0,0,0,0,"Complete/A06/Hare","12010165.JPG","04:55:49","18:06:59",1.13583333333333,4.93027777777778,18.1163888888889,"Night",12,"Wet"
