Date,Sunrise,Sunset
1/1/16,05:08:02,18:22:58
1/2/16,05:08:39,18:23:18
1/3/16,05:09:16,18:23:37
1/4/16,05:09:53,18:23:55
1/5/16,05:10:31,18:24:11
1/6/16,05:11:09,18:24:26
1/7/16,05:11:47,18:24:41
1/8/16,05:12:26,18:24:54
1/9/16,05:13:05,18:25:06
1/10/16,05:13:44,18:25:16
1/11/16,05:14:23,18:25:26
1/12/16,05:15:02,18:25:34
1/13/16,05:15:41,18:25:41
1/14/16,05:16:20,18:25:47
1/15/16,05:16:59,18:25:51
1/16/16,05:17:39,18:25:54
1/17/16,05:18:18,18:25:56
1/18/16,05:18:57,18:25:57
1/19/16,05:19:35,18:25:56
1/20/16,05:20:14,18:25:54
1/21/16,05:20:53,18:25:51
1/22/16,05:21:31,18:25:46
1/23/16,05:22:09,18:25:41
1/24/16,05:22:47,18:25:34
1/25/16,05:23:24,18:25:25
1/26/16,05:24:01,18:25:16
1/27/16,05:24:38,18:25:05
1/28/16,05:25:14,18:24:53
1/29/16,05:25:50,18:24:40
1/30/16,05:26:26,18:24:25
1/31/16,05:27:01,18:24:09
2/1/16,05:27:36,18:23:52
2/2/16,05:28:10,18:23:34
2/3/16,05:28:44,18:23:15
2/4/16,05:29:17,18:22:54
2/5/16,05:29:50,18:22:32
2/6/16,05:30:23,18:22:10
2/7/16,05:30:55,18:21:46
2/8/16,05:31:26,18:21:20
2/9/16,05:31:57,18:20:54
2/10/16,05:32:27,18:20:27
2/11/16,05:32:57,18:19:59
2/12/16,05:33:27,18:19:30
2/13/16,05:33:55,18:18:59
2/14/16,05:34:24,18:18:28
2/15/16,05:34:51,18:17:56
2/16/16,05:35:19,18:17:22
2/17/16,05:35:45,18:16:48
2/18/16,05:36:11,18:16:13
2/19/16,05:36:37,18:15:37
2/20/16,05:37:02,18:15:01
2/21/16,05:37:27,18:14:23
2/22/16,05:37:51,18:13:45
2/23/16,05:38:14,18:13:05
2/24/16,05:38:37,18:12:25
2/25/16,05:39:00,18:11:45
2/26/16,05:39:22,18:11:03
2/27/16,05:39:44,18:10:21
2/28/16,05:40:05,18:09:39
2/29/16,05:40:26,18:08:55
3/1/16,05:40:46,18:08:12
3/2/16,05:41:06,18:07:27
3/3/16,05:41:26,18:06:42
3/4/16,05:41:45,18:05:56
3/5/16,05:42:04,18:05:10
3/6/16,05:42:22,18:04:24
3/7/16,05:42:40,18:03:37
3/8/16,05:42:58,18:02:50
3/9/16,05:43:16,18:02:02
3/10/16,05:43:33,18:01:14
3/11/16,05:43:49,18:00:25
3/12/16,05:44:06,17:59:36
3/13/16,05:44:22,17:58:47
3/14/16,05:44:38,17:57:58
3/15/16,05:44:54,17:57:08
3/16/16,05:45:10,17:56:19
3/17/16,05:45:25,17:55:29
3/18/16,05:45:40,17:54:39
3/19/16,05:45:55,17:53:48
3/20/16,05:46:10,17:52:58
3/21/16,05:46:25,17:52:07
3/22/16,05:46:39,17:51:17
3/23/16,05:46:54,17:50:26
3/24/16,05:47:08,17:49:36
3/25/16,05:47:22,17:48:45
3/26/16,05:47:37,17:47:55
3/27/16,05:47:51,17:47:05
3/28/16,05:48:05,17:46:14
3/29/16,05:48:19,17:45:24
3/30/16,05:48:33,17:44:34
3/31/16,05:48:47,17:43:44
4/1/16,05:49:01,17:42:54
4/2/16,05:49:15,17:42:05
4/3/16,05:49:30,17:41:16
4/4/16,05:49:44,17:40:27
4/5/16,05:49:58,17:39:38
4/6/16,05:50:13,17:38:50
4/7/16,05:50:27,17:38:02
4/8/16,05:50:42,17:37:14
4/9/16,05:50:57,17:36:27
4/10/16,05:51:11,17:35:40
4/11/16,05:51:26,17:34:53
4/12/16,05:51:42,17:34:07
4/13/16,05:51:57,17:33:22
4/14/16,05:52:12,17:32:37
4/15/16,05:52:28,17:31:52
4/16/16,05:52:44,17:31:08
4/17/16,05:53:00,17:30:25
4/18/16,05:53:16,17:29:42
4/19/16,05:53:33,17:28:59
4/20/16,05:53:50,17:28:18
4/21/16,05:54:06,17:27:37
4/22/16,05:54:24,17:26:56
4/23/16,05:54:41,17:26:17
4/24/16,05:54:59,17:25:38
4/25/16,05:55:16,17:24:59
4/26/16,05:55:35,17:24:22
4/27/16,05:55:53,17:23:45
4/28/16,05:56:11,17:23:09
4/29/16,05:56:30,17:22:33
4/30/16,05:56:49,17:21:59
5/1/16,05:57:09,17:21:25
5/2/16,05:57:28,17:20:53
5/3/16,05:57:48,17:20:21
5/4/16,05:58:08,17:19:50
5/5/16,05:58:28,17:19:19
5/6/16,05:58:49,17:18:50
5/7/16,05:59:10,17:18:22
5/8/16,05:59:31,17:17:54
5/9/16,05:59:52,17:17:28
5/10/16,06:00:13,17:17:02
5/11/16,06:00:35,17:16:37
5/12/16,06:00:56,17:16:14
5/13/16,06:01:18,17:15:51
5/14/16,06:01:40,17:15:29
5/15/16,06:02:02,17:15:08
5/16/16,06:02:25,17:14:49
5/17/16,06:02:47,17:14:30
5/18/16,06:03:10,17:14:12
5/19/16,06:03:32,17:13:55
5/20/16,06:03:55,17:13:39
5/21/16,06:04:18,17:13:25
5/22/16,06:04:41,17:13:11
5/23/16,06:05:03,17:12:58
5/24/16,06:05:26,17:12:47
5/25/16,06:05:49,17:12:36
5/26/16,06:06:12,17:12:26
5/27/16,06:06:34,17:12:18
5/28/16,06:06:57,17:12:10
5/29/16,06:07:19,17:12:03
5/30/16,06:07:42,17:11:58
5/31/16,06:08:04,17:11:53
6/1/16,06:08:26,17:11:50
6/2/16,06:08:48,17:11:47
6/3/16,06:09:09,17:11:45
6/4/16,06:09:31,17:11:44
6/5/16,06:09:52,17:11:45
6/6/16,06:10:12,17:11:46
6/7/16,06:10:33,17:11:48
6/8/16,06:10:53,17:11:51
6/9/16,06:11:12,17:11:55
6/10/16,06:11:32,17:11:59
6/11/16,06:11:51,17:12:05
6/12/16,06:12:09,17:12:11
6/13/16,06:12:27,17:12:18
6/14/16,06:12:44,17:12:26
6/15/16,06:13:01,17:12:35
6/16/16,06:13:17,17:12:45
6/17/16,06:13:33,17:12:55
6/18/16,06:13:48,17:13:06
6/19/16,06:14:02,17:13:18
6/20/16,06:14:16,17:13:30
6/21/16,06:14:29,17:13:43
6/22/16,06:14:41,17:13:57
6/23/16,06:14:53,17:14:11
6/24/16,06:15:04,17:14:26
6/25/16,06:15:14,17:14:41
6/26/16,06:15:23,17:14:57
6/27/16,06:15:32,17:15:14
6/28/16,06:15:39,17:15:30
6/29/16,06:15:46,17:15:48
6/30/16,06:15:52,17:16:05
7/1/16,06:15:57,17:16:24
7/2/16,06:16:01,17:16:42
7/3/16,06:16:04,17:17:01
7/4/16,06:16:06,17:17:20
7/5/16,06:16:07,17:17:40
7/6/16,06:16:08,17:17:59
7/7/16,06:16:07,17:18:19
7/8/16,06:16:05,17:18:40
7/9/16,06:16:03,17:19:00
7/10/16,06:15:59,17:19:21
7/11/16,06:15:54,17:19:41
7/12/16,06:15:48,17:20:02
7/13/16,06:15:42,17:20:23
7/14/16,06:15:34,17:20:44
7/15/16,06:15:25,17:21:05
7/16/16,06:15:15,17:21:26
7/17/16,06:15:04,17:21:47
7/18/16,06:14:52,17:22:08
7/19/16,06:14:39,17:22:29
7/20/16,06:14:25,17:22:50
7/21/16,06:14:10,17:23:11
7/22/16,06:13:53,17:23:32
7/23/16,06:13:36,17:23:52
7/24/16,06:13:18,17:24:13
7/25/16,06:12:58,17:24:33
7/26/16,06:12:38,17:24:54
7/27/16,06:12:16,17:25:14
7/28/16,06:11:54,17:25:34
7/29/16,06:11:30,17:25:53
7/30/16,06:11:06,17:26:13
7/31/16,06:10:40,17:26:32
8/1/16,06:10:14,17:26:51
8/2/16,06:09:46,17:27:10
8/3/16,06:09:18,17:27:29
8/4/16,06:08:49,17:27:47
8/5/16,06:08:18,17:28:05
8/6/16,06:07:47,17:28:23
8/7/16,06:07:15,17:28:40
8/8/16,06:06:42,17:28:58
8/9/16,06:06:08,17:29:15
8/10/16,06:05:33,17:29:31
8/11/16,06:04:57,17:29:48
8/12/16,06:04:21,17:30:04
8/13/16,06:03:43,17:30:20
8/14/16,06:03:05,17:30:35
8/15/16,06:02:26,17:30:51
8/16/16,06:01:46,17:31:06
8/17/16,06:01:06,17:31:21
8/18/16,06:00:25,17:31:35
