"species","n_events","n_stations"
"Aardvark","113","24"
"Baboon","7955","60"
"Buffalo","140","34"
"Bushbaby","46","17"
"Bushbuck","7011","60"
"Bushpig","770","58"
"Civet","1095","57"
"Duiker_common","126","16"
"Duiker_red","320","16"
"Eland","12","6"
"Elephant","1041","60"
"Genet","2239","59"
"Guineafowl_crested","7","3"
"Guineafowl_helmeted","281","50"
"Hare","262","26"
"Hartebeest","105","17"
"Hippo","3","3"
"Honey_badger","157","38"
"Hornbill_ground","73","21"
"Human","21","15"
"Impala","3367","54"
"Kudu","482","49"
"Lion","25","10"
"Mongoose_banded","51","24"
"Mongoose_bushy_tailed","99","15"
"Mongoose_dwarf","23","4"
"Mongoose_large_grey","46","18"
"Mongoose_marsh","200","41"
"Mongoose_slender","116","23"
"Mongoose_white_tailed","63","33"
"Nyala","1107","45"
"Oribi","2124","54"
"Pangolin","10","7"
"Porcupine","1045","50"
"Reedbuck","517","46"
"Sable_antelope","197","32"
"Samango","62","12"
"Serval","39","12"
"Vervet","662","41"
"Warthog","9875","60"
"Waterbuck","9070","60"
"Wildebeest","148","13"
