"Camera","Species","n_events"
"A06","Baboon",44
"A06","Buffalo",1
"A06","Bushbaby",2
"A06","Bushbuck",9
"A06","Bushpig",6
"A06","Civet",4
"A06","Elephant",2
"A06","Genet",30
"A06","Guineafowl_helmeted",2
"A06","Hare",1
"A06","Honey_badger",1
"A06","Impala",62
"A06","Kudu",5
"A06","Mongoose_white_tailed",1
"A06","Oribi",41
"A06","Porcupine",1
"A06","Reedbuck",20
"A06","Vervet",5
"A06","Warthog",55
"A06","Waterbuck",50
"A06","Wildebeest",8
"A08","Baboon",172
"A08","Bushbuck",32
"A08","Bushpig",9
"A08","Elephant",9
"A08","Genet",89
"A08","Guineafowl_helmeted",1
"A08","Hare",1
"A08","Honey_badger",1
"A08","Human",1
"A08","Impala",30
"A08","Kudu",6
"A08","Mongoose_banded",1
"A08","Mongoose_white_tailed",2
"A08","Oribi",7
"A08","Pangolin",3
"A08","Porcupine",2
"A08","Reedbuck",4
"A08","Sable_antelope",1
"A08","Warthog",57
"A08","Waterbuck",95
"A10","Baboon",153
"A10","Buffalo",1
"A10","Bushbuck",73
"A10","Bushpig",16
"A10","Civet",3
"A10","Duiker_red",1
"A10","Elephant",20
"A10","Genet",26
"A10","Guineafowl_crested",4
"A10","Guineafowl_helmeted",2
"A10","Kudu",1
"A10","Mongoose_banded",2
"A10","Nyala",59
"A10","Porcupine",14
"A10","Reedbuck",4
"A10","Samango",1
"A10","Vervet",26
"A10","Warthog",24
"A10","Waterbuck",15
"B05","Aardvark",13
"B05","Baboon",47
"B05","Buffalo",10
"B05","Bushbuck",16
"B05","Bushpig",8
"B05","Civet",9
"B05","Elephant",6
"B05","Genet",11
"B05","Hare",9
"B05","Hartebeest",23
"B05","Impala",62
"B05","Kudu",14
"B05","Mongoose_marsh",1
"B05","Mongoose_white_tailed",1
"B05","Nyala",1
"B05","Oribi",81
"B05","Porcupine",4
"B05","Reedbuck",32
"B05","Sable_antelope",25
"B05","Serval",1
"B05","Vervet",17
"B05","Warthog",129
"B05","Waterbuck",87
"B05","Wildebeest",12
"B07","Aardvark",1
"B07","Baboon",73
"B07","Bushbuck",49
"B07","Bushpig",9
"B07","Civet",19
"B07","Duiker_common",12
"B07","Duiker_red",1
"B07","Elephant",3
"B07","Genet",11
"B07","Guineafowl_helmeted",1
"B07","Hare",13
"B07","Hartebeest",9
"B07","Hornbill_ground",12
"B07","Impala",102
"B07","Kudu",12
"B07","Mongoose_marsh",1
"B07","Mongoose_white_tailed",4
"B07","Nyala",16
"B07","Oribi",54
"B07","Reedbuck",9
"B07","Sable_antelope",2
"B07","Vervet",4
"B07","Warthog",136
"B07","Waterbuck",80
"B07","Wildebeest",97
"B09","Baboon",139
"B09","Buffalo",2
"B09","Bushbuck",23
"B09","Bushpig",6
"B09","Civet",3
"B09","Elephant",7
"B09","Genet",74
"B09","Guineafowl_helmeted",7
"B09","Hare",1
"B09","Hartebeest",9
"B09","Impala",53
"B09","Kudu",4
"B09","Mongoose_slender",1
"B09","Nyala",11
"B09","Oribi",12
"B09","Porcupine",15
"B09","Reedbuck",2
"B09","Sable_antelope",3
"B09","Samango",2
"B09","Vervet",10
"B09","Warthog",80
"B09","Waterbuck",52
"B09","Wildebeest",1
"C06","Aardvark",8
"C06","Baboon",95
"C06","Buffalo",1
"C06","Bushbuck",159
"C06","Bushpig",12
"C06","Civet",7
"C06","Duiker_common",60
"C06","Duiker_red",1
"C06","Eland",1
"C06","Elephant",7
"C06","Genet",31
"C06","Guineafowl_helmeted",5
"C06","Hare",3
"C06","Hartebeest",1
"C06","Impala",30
"C06","Kudu",9
"C06","Mongoose_banded",1
"C06","Mongoose_large_grey",1
"C06","Mongoose_marsh",6
"C06","Mongoose_white_tailed",2
"C06","Nyala",7
"C06","Oribi",290
"C06","Porcupine",52
"C06","Reedbuck",20
"C06","Sable_antelope",3
"C06","Samango",2
"C06","Warthog",153
"C06","Waterbuck",20
"C08","Baboon",172
"C08","Bushbaby",4
"C08","Bushbuck",100
"C08","Bushpig",24
"C08","Civet",16
"C08","Duiker_common",16
"C08","Elephant",8
"C08","Genet",71
"C08","Guineafowl_helmeted",4
"C08","Hare",3
"C08","Hartebeest",11
"C08","Honey_badger",7
"C08","Impala",84
"C08","Kudu",6
