"","SppCode1.x","SppCode2","Direction_dry","SIF_dry","sd_dry","CI_lower_dry","CI_upper_dry","SIF.dry.ln","Direction_wet4","SIF_wet4","sd_wet4","CI_lower_wet4","CI_upper_wet4","SIF.wet4.ln","Direction","SIF_wet3","sd_wet3","CI_lower_wet3","CI_upper_wet3","SIF.wet3.ln","SppCode.x","GenusLatin.x","SpeciesLatin.x","CommName.x","Diet.x","Weight.x","Sociality.x","Family.x","Order.x","Activity_pattern.x","Sociality.1.x","Mass_category.x","Trophic_level.x","SppCode.y","GenusLatin.y","SpeciesLatin.y","CommName.y","Diet.y","Weight.y","Sociality.y","Family.y","Order.y","Activity_pattern.y","Sociality.1.y","Mass_category.y","Trophic_level.y","activity.match","sociality.match","masscategory.match","trophiclevel.match","order.match","family.match","activity.combined","sociality.combined","masscategory.combined","trophiclevel.combined","order.combined","family.combined","higher.season","season.diff"
"1","ALBU","AEME","None",1.250037689,0.174103801,0.860314393,1.569456516,0.223173702059671,"None",1.129378163,0.158031929,0.809537453,1.438037891,0.121667183024518,"None",1.273974511,0.264555018,0.765678773,1.815971629,0.242141549885463,"ALBU","Alcelaphus","buselaphus","Hartebeest","Herbivore",160937.86,"group","Bovidae","Artiodactyla","diurnal","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","same","same","same","diurnal_diurnal","group_group","Large_Very_large","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","dry","NS"
"2","ATPA","AEME","None",1.061771124,0.083096628,0.903580172,1.235124903,0.0599383854689473,"None",0.80000284,0.165734534,0.470515699,1.116584876,-0.223140001320511,"None",0.876977254,0.3386874,0.2639945,1.558568044,-0.131274223092254,"ATPA","Atilax","paludinosus","Mongoose_marsh","Omnivore",3600.16,"solitary","Herpestidae","Carnivora","crepuscular","solitary","Small",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","crepuscular_diurnal","group_solitary","Large_Small","1_1","Artiodactyla_Carnivora","Bovidae_Herpestidae","dry","NS"
"3","BDCR","AEME","Negative",0.535584416,0.168146433,0.223824169,0.87006547,-0.624396761928979,"None",0.838065644,0.223924036,0.395526263,1.26025503,-0.176658847439133,"None",0.742924362,0.339688547,0.140146292,1.416429701,-0.297161040253969,"BDCR","Bdeogale","crassicauda","Mongoose_bushy_tailed","Carnivore",1722.13,"solitary","Herpestidae","Carnivora","nocturnal","solitary","Small",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","diurnal_nocturnal","group_solitary","Large_Small","1_1","Artiodactyla_Carnivora","Bovidae_Herpestidae","wet","NS"
"4","CEAL","AEME","None",1.106681421,0.188409341,0.696588872,1.441880589,0.10136582640033,"None",1.23127702,0.261145846,0.63089463,1.674143601,0.208051858441035,"None",1.381021418,0.400075992,0.541453005,2.131842267,0.322823383358303,"CEAL","Cercopithecus","albogularis","Samango","Omnivore",16,"group","Cercopithecidae","Primates","diurnal","group","Medium",-999,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","different","different","different","diurnal_diurnal","group_group","Large_Medium","-999_1","Artiodactyla_Primates","Bovidae_Cercopithecidae","wet","NS"
"5","CENA","AEME","None",1.031806143,0.176147003,0.659397376,1.352039325,0.031310803483882,"None",0.674050053,0.22588281,0.251627822,1.115438072,-0.394450908215885,"None",0.767529413,0.308443435,0.221743227,1.398621954,-0.264578477128061,"CENA","Cephalophus","natalensis","Duiker_red","Herbivore",12724.51,"solitary","Bovidae","Artiodactyla","diurnal","solitary","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","different","different","same","same","same","diurnal_diurnal","group_solitary","Large_Medium","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","dry","NS"
"6","CHPY","AEME","None",1.077641271,0.09181819,0.90164047,1.267215,0.0747746443784022,"None",1.071038433,0.106223505,0.865120759,1.289157598,0.0686286759758166,"None",0.876318503,0.230214617,0.439572996,1.340671307,-0.132025666228265,"CHPY","Chlorocebus","pygerythrus","Vervet","Omnivore",3695.99,"group","Cercopithecidae","Primates","diurnal","group","Medium",-999,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","different","different","different","diurnal_diurnal","group_group","Large_Medium","-999_1","Artiodactyla_Primates","Bovidae_Cercopithecidae","dry","NS"
"7","CICI","AEME","None",1.034955401,0.034938017,0.978002965,1.116717584,0.0343583349676402,"None",1.066770469,0.075312002,0.927294867,1.227866441,0.0646358310903041,"None",1.255133776,0.169592162,0.955524674,1.627550472,0.227242161325276,"CICI","Civettictis","civetta","Civet","Omnivore",12075.58,"solitary","Viverridae","Carnivora","nocturnal","solitary","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","diurnal_nocturnal","group_solitary","Large_Medium","1_1","Artiodactyla_Carnivora","Bovidae_Viverridae","wet","NS"
"8","COTA","AEME","None",0.945297693,0.25107783,0.414899588,1.377089718,-0.0562553820488574,"None",1.320334113,0.209742312,0.85465,1.707973633,0.277884820478943,"None",1.198035166,0.339317073,0.528659516,1.863933514,0.180682853185645,"COTA","Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","different","same","same","same","crepuscular_diurnal","group_group","Large_Very_large","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","wet","NS"
"9","GASA","AEME","None",1.09610751,0.155932587,0.768518111,1.388378087,0.091765276780707,"None",0.740307332,0.21162643,0.33319118,1.148446712,-0.300689865489194,"None",0.692572449,0.347933855,0.119949585,1.413105298,-0.367342426898296,"GASA","Galerella","sanguinea","Mongoose_slender","Omnivore",543.83,"solitary","Herpestidae","Carnivora","diurnal","solitary","Small",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","different","different","same","different","different","diurnal_diurnal","group_solitary","Large_Small","1_1","Artiodactyla_Carnivora","Bovidae_Herpestidae","dry","NS"
"10","GEGE","AEME","None",1.010579114,0.0299399,0.95846775,1.079498677,0.0105235467315709,"None",0.978529902,0.077266965,0.824774627,1.132829229,-0.0217039335940169,"None",0.964325584,0.185820911,0.601531109,1.337327966,-0.0363262986552421,"GEGE","Genetta","genetta","Genet","Omnivore",1756.17,"solitary","Viverridae","Carnivora","nocturnal","solitary","Small",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","diurnal_nocturnal","group_solitary","Large_Small","1_1","Artiodactyla_Carnivora","Bovidae_Viverridae","dry","NS"
