SppCode1,SppCode2,Pansu_included,Pianka_dietary_overlap,Pianka_significant,Bray_Curtis_dissimilarities
ALBU,AEME,Y,0.158,N,0.926
COTA,AEME,Y,0.159,N,0.936
COTA,ALBU,Y,0.667,Y,0.736
HINI,AEME,Y,0.084,N,0.953
HINI,ALBU,Y,0.566,Y,0.753
HINI,COTA,Y,0.371,Y,0.796
KOEL,AEME,Y,0.708,Y,0.887
KOEL,ALBU,Y,0.507,Y,0.856
KOEL,COTA,Y,0.596,Y,0.841
KOEL,HINI,Y,0.335,Y,0.883
LOAF,AEME,Y,0.144,N,0.949
LOAF,ALBU,Y,0.197,N,0.918
LOAF,COTA,Y,0.061,N,0.953
LOAF,HINI,Y,0.16,N,0.93
LOAF,KOEL,Y,0.2,N,0.945
OUOU,AEME,Y,0.776,Y,0.842
OUOU,ALBU,Y,0.304,N,0.872
OUOU,COTA,Y,0.467,N,0.841
OUOU,HINI,Y,0.112,N,0.929
OUOU,KOEL,Y,0.858,Y,0.834
OUOU,LOAF,Y,0.105,N,0.962
PACY,AEME,Y,0.193,N,0.953
PACY,ALBU,Y,0.057,N,0.974
PACY,COTA,Y,0.013,N,0.988
PACY,HINI,Y,0.05,N,0.979
PACY,KOEL,Y,0.125,N,0.97
PACY,LOAF,Y,0.394,Y,0.93
PACY,OUOU,Y,0.184,N,0.946
PHAF,AEME,Y,0.157,N,0.947
PHAF,ALBU,Y,0.605,Y,0.789
PHAF,COTA,Y,0.697,Y,0.756
PHAF,HINI,Y,0.721,Y,0.766
PHAF,KOEL,Y,0.558,Y,0.877
PHAF,LOAF,Y,0.107,N,0.962
PHAF,OUOU,Y,0.374,N,0.869
PHAF,PACY,Y,0.047,N,0.981
RERE,AEME,Y,0.684,Y,0.862
RERE,ALBU,Y,0.39,N,0.837
RERE,COTA,Y,0.628,Y,0.782
RERE,HINI,Y,0.223,N,0.877
RERE,KOEL,Y,0.887,Y,0.818
RERE,LOAF,Y,0.069,N,0.96
RERE,OUOU,Y,0.922,Y,0.76
RERE,PACY,Y,0.078,N,0.974
RERE,PHAF,Y,0.512,Y,0.841
SYCA,AEME,Y,0.082,N,0.946
SYCA,ALBU,Y,0.193,N,0.864
SYCA,COTA,Y,0.101,N,0.897
SYCA,HINI,Y,0.273,N,0.82
SYCA,KOEL,Y,0.159,N,0.916
SYCA,LOAF,Y,0.091,N,0.935
SYCA,OUOU,Y,0.104,N,0.938
SYCA,PACY,Y,0.017,N,0.986
SYCA,PHAF,Y,0.194,N,0.912
