StudySite,SppCode1,SppCode2,Spp1Det,Spp2Det,Operation
A06,ALBU,AEME,0,10,86
A06,TRAN,AEME,0,10,86
A06,LEMI,AEME,0,10,86
A06,TAOR,AEME,0,10,86
A06,ORAF,AEME,0,10,86
A06,COTA,AEME,0,10,86
A06,CICI,AEME,2,10,86
A06,ATPA,AEME,0,10,86
A06,POLA,AEME,3,10,86
A06,PHAF,AEME,18,10,86
A06,RERE,AEME,6,10,86
A06,MATE,AEME,0,10,86
A06,GASA,AEME,0,10,86
A06,MECA,AEME,0,10,86
A06,OTCR,AEME,1,10,86
A06,HYAF,AEME,1,10,86
A06,SYGR,AEME,0,10,86
A06,PALE,AEME,0,10,86
A06,SYCA,AEME,0,10,86
A06,TRSY,AEME,1,10,86
A06,KOEL,AEME,12,10,86
A06,MUMU,AEME,0,10,86
A06,LESE,AEME,0,10,86
A06,GEGE,AEME,8,10,86
A06,HEIC,AEME,0,10,86
A06,BDCR,AEME,0,10,86
A06,CENA,AEME,0,10,86
A06,CEAL,AEME,0,10,86
A06,TRST,AEME,2,10,86
A06,HEPA,AEME,0,10,86
A06,OUOU,AEME,11,10,86
A06,ICAL,AEME,0,10,86
A06,CHPY,AEME,1,10,86
A06,HIAM,AEME,0,10,86
A06,LOAF,AEME,0,10,86
A06,HINI,AEME,0,10,86
A06,PACY,AEME,13,10,86
A06,KOEL,ALBU,12,0,86
A06,CICI,ALBU,2,0,86
A06,LESE,ALBU,0,0,86
A06,MATE,ALBU,0,0,86
A06,PHAF,ALBU,18,0,86
A06,HYAF,ALBU,1,0,86
A06,PACY,ALBU,13,0,86
A06,HINI,ALBU,0,0,86
A06,BDCR,ALBU,0,0,86
A06,SYCA,ALBU,0,0,86
A06,TAOR,ALBU,0,0,86
A06,HEPA,ALBU,0,0,86
A06,COTA,ALBU,0,0,86
A06,LOAF,ALBU,0,0,86
A06,MECA,ALBU,0,0,86
A06,ORAF,ALBU,0,0,86
A06,MUMU,ALBU,0,0,86
A06,GASA,ALBU,0,0,86
A06,TRSY,ALBU,1,0,86
A06,PALE,ALBU,0,0,86
A06,CENA,ALBU,0,0,86
A06,TRAN,ALBU,0,0,86
A06,OUOU,ALBU,11,0,86
A06,SYGR,ALBU,0,0,86
A06,HIAM,ALBU,0,0,86
A06,HEIC,ALBU,0,0,86
A06,CEAL,ALBU,0,0,86
A06,CHPY,ALBU,1,0,86
A06,OTCR,ALBU,1,0,86
A06,ATPA,ALBU,0,0,86
A06,ICAL,ALBU,0,0,86
