"StudySite","SppCode1","SppCode2","Spp1Det","Spp2Det","Operation"
"A06","ALBU","AEME",0,10,86
"A06","SYCA","AEME",0,10,86
"A06","PHAF","AEME",18,10,86
"A06","SYGR","AEME",0,10,86
"A06","OUOU","AEME",11,10,86
"A06","TAOR","AEME",0,10,86
"A06","POLA","AEME",3,10,86
"A06","HINI","AEME",0,10,86
"A06","COTA","AEME",0,10,86
"A06","KOEL","AEME",12,10,86
"A06","TRST","AEME",2,10,86
"A06","HIAM","AEME",0,10,86
"A06","TRAN","AEME",0,10,86
"A06","TRSY","AEME",1,10,86
"A06","CENA","AEME",0,10,86
"A06","RERE","AEME",6,10,86
"A08","POLA","AEME",5,15,86
"A08","HINI","AEME",1,15,86
"A08","COTA","AEME",0,15,86
"A08","TRSY","AEME",6,15,86
"A08","CENA","AEME",0,15,86
"A08","SYGR","AEME",0,15,86
"A08","TRAN","AEME",0,15,86
"A08","PHAF","AEME",12,15,86
"A08","OUOU","AEME",0,15,86
"A08","TRST","AEME",2,15,86
"A08","KOEL","AEME",34,15,86
"A08","TAOR","AEME",0,15,86
"A08","HIAM","AEME",0,15,86
"A08","RERE","AEME",1,15,86
"A08","SYCA","AEME",0,15,86
"A08","ALBU","AEME",0,15,86
"A08_2","KOEL","AEME",26,6,92
"A08_2","RERE","AEME",6,6,92
"A08_2","TAOR","AEME",0,6,92
"A08_2","CENA","AEME",0,6,92
"A08_2","SYCA","AEME",0,6,92
"A08_2","POLA","AEME",7,6,92
"A08_2","OUOU","AEME",3,6,92
"A08_2","ALBU","AEME",0,6,92
"A08_2","TRST","AEME",2,6,92
"A08_2","SYGR","AEME",0,6,92
"A08_2","HIAM","AEME",0,6,92
"A08_2","PHAF","AEME",10,6,92
"A08_2","TRAN","AEME",3,6,92
"A08_2","COTA","AEME",3,6,92
"A08_2","HINI","AEME",0,6,92
"A08_2","TRSY","AEME",4,6,92
"A10","COTA","AEME",0,0,86
"A10","TRST","AEME",0,0,86
"A10","SYCA","AEME",0,0,86
"A10","HIAM","AEME",0,0,86
"A10","PHAF","AEME",11,0,86
"A10","HINI","AEME",0,0,86
"A10","ALBU","AEME",0,0,86
"A10","TAOR","AEME",0,0,86
"A10","TRSY","AEME",28,0,86
"A10","KOEL","AEME",7,0,86
"A10","SYGR","AEME",0,0,86
"A10","RERE","AEME",2,0,86
"A10","CENA","AEME",0,0,86
"A10","TRAN","AEME",12,0,86
"A10","POLA","AEME",7,0,86
"A10","OUOU","AEME",0,0,86
"A10_2","HIAM","AEME",0,5,92
"A10_2","KOEL","AEME",65,5,92
"A10_2","TRAN","AEME",39,5,92
"A10_2","OUOU","AEME",0,5,92
"A10_2","HINI","AEME",2,5,92
"A10_2","SYGR","AEME",0,5,92
"A10_2","ALBU","AEME",0,5,92
"A10_2","SYCA","AEME",0,5,92
"A10_2","TRSY","AEME",21,5,92
"A10_2","CENA","AEME",0,5,92
"A10_2","PHAF","AEME",14,5,92
"A10_2","COTA","AEME",0,5,92
"A10_2","RERE","AEME",0,5,92
"A10_2","TRST","AEME",1,5,92
"A10_2","POLA","AEME",6,5,92
"A10_2","TAOR","AEME",0,5,92
"B05","COTA","AEME",2,15,88
"B05","KOEL","AEME",23,15,88
"B05","HINI","AEME",1,15,88
"B05","PHAF","AEME",26,15,88
"B05","POLA","AEME",2,15,88
"B05","CENA","AEME",0,15,88
"B05","RERE","AEME",1,15,88
"B05","TRAN","AEME",0,15,88
"B05","ALBU","AEME",0,15,88
"B05","HIAM","AEME",0,15,88
"B05","SYCA","AEME",0,15,88
"B05","TAOR","AEME",0,15,88
"B05","OUOU","AEME",12,15,88
"B05","SYGR","AEME",0,15,88
"B05","TRST","AEME",4,15,88
"B05","TRSY","AEME",6,15,88
"B07","CENA","AEME",1,33,88
"B07","HIAM","AEME",0,33,88
"B07","TAOR","AEME",0,33,88
"B07","PHAF","AEME",36,33,88
"B07","SYGR","AEME",6,33,88
"B07","ALBU","AEME",2,33,88
"B07","COTA","AEME",14,33,88
"B07","KOEL","AEME",6,33,88
"B07","TRST","AEME",3,33,88
"B07","HINI","AEME",0,33,88
"B07","TRAN","AEME",4,33,88
"B07","POLA","AEME",1,33,88
"B07","SYCA","AEME",0,33,88
"B07","OUOU","AEME",8,33,88
"B07","TRSY","AEME",16,33,88
"B07","RERE","AEME",2,33,88
"B07_2","ALBU","AEME",0,6,92
"B07_2","POLA","AEME",0,6,92
"B07_2","SYCA","AEME",0,6,92
"B07_2","SYGR","AEME",0,6,92
"B07_2","OUOU","AEME",6,6,92
"B07_2","TRSY","AEME",8,6,92
"B07_2","CENA","AEME",0,6,92
"B07_2","TRST","AEME",3,6,92
"B07_2","RERE","AEME",2,6,92
