"StudySite","SppCode1","SppCode2","Spp1Det","Spp2Det","Operation"
"A08","SYCA","AEME",0,1,31
"A08","LESE","AEME",0,1,31
"A08","PALE","AEME",0,1,31
"A08","SYGR","AEME",0,1,31
"A08","CHPY","AEME",0,1,31
"A08","GASA","AEME",0,1,31
"A08","ATPA","AEME",0,1,31
"A08","TAOR","AEME",0,1,31
"A08","HYAF","AEME",0,1,31
"A08","TRSY","AEME",1,1,31
"A08","MUMU","AEME",0,1,31
"A08","HEIC","AEME",0,1,31
"A08","ALBU","AEME",0,1,31
"A08","GEGE","AEME",0,1,31
"A08","OTCR","AEME",0,1,31
"A08","CENA","AEME",0,1,31
"A08","HINI","AEME",0,1,31
"A08","ICAL","AEME",0,1,31
"A08","ORAF","AEME",0,1,31
"A08","HEPA","AEME",0,1,31
"A08","LEMI","AEME",0,1,31
"A08","OUOU","AEME",1,1,31
"A08","MATE","AEME",0,1,31
"A08","RERE","AEME",0,1,31
"A08","TRAN","AEME",0,1,31
"A08","CICI","AEME",0,1,31
"A08","KOEL","AEME",2,1,31
"A08","BDCR","AEME",0,1,31
"A08","CEAL","AEME",0,1,31
"A08","LOAF","AEME",0,1,31
"A08","HIAM","AEME",0,1,31
"A08","PACY","AEME",6,1,31
"A08","COTA","AEME",0,1,31
"A08","PHAF","AEME",6,1,31
"A08","POLA","AEME",1,1,31
"A08","MECA","AEME",0,1,31
"A08","TRST","AEME",0,1,31
"B05","LOAF","AEME",1,3,48
"B05","ALBU","AEME",5,3,48
"B05","HEPA","AEME",0,3,48
"B05","HYAF","AEME",0,3,48
"B05","SYGR","AEME",0,3,48
"B05","LEMI","AEME",0,3,48
"B05","CENA","AEME",0,3,48
"B05","GASA","AEME",0,3,48
"B05","OUOU","AEME",8,3,48
"B05","HEIC","AEME",0,3,48
"B05","PHAF","AEME",14,3,48
"B05","PALE","AEME",0,3,48
"B05","SYCA","AEME",1,3,48
"B05","BDCR","AEME",0,3,48
"B05","KOEL","AEME",1,3,48
"B05","POLA","AEME",1,3,48
"B05","MATE","AEME",0,3,48
"B05","LESE","AEME",0,3,48
"B05","OTCR","AEME",0,3,48
"B05","RERE","AEME",1,3,48
"B05","TAOR","AEME",0,3,48
"B05","MECA","AEME",0,3,48
"B05","COTA","AEME",2,3,48
"B05","HIAM","AEME",0,3,48
"B05","MUMU","AEME",0,3,48
"B05","CICI","AEME",0,3,48
"B05","ATPA","AEME",0,3,48
"B05","GEGE","AEME",0,3,48
"B05","PACY","AEME",2,3,48
"B05","CHPY","AEME",0,3,48
"B05","ICAL","AEME",0,3,48
"B05","TRAN","AEME",1,3,48
"B05","ORAF","AEME",0,3,48
"B05","HINI","AEME",9,3,48
"B05","TRSY","AEME",1,3,48
"B05","TRST","AEME",2,3,48
"B05","CEAL","AEME",0,3,48
"B07","PALE","AEME",0,0,90
"B07","HEPA","AEME",0,0,90
"B07","RERE","AEME",1,0,90
"B07","POLA","AEME",0,0,90
"B07","KOEL","AEME",4,0,90
"B07","BDCR","AEME",0,0,90
"B07","ORAF","AEME",0,0,90
"B07","TRSY","AEME",0,0,90
"B07","LEMI","AEME",0,0,90
"B07","OUOU","AEME",1,0,90
"B07","SYGR","AEME",0,0,90
"B07","SYCA","AEME",0,0,90
"B07","CENA","AEME",0,0,90
"B07","CEAL","AEME",0,0,90
"B07","PHAF","AEME",1,0,90
"B07","LOAF","AEME",0,0,90
"B07","GASA","AEME",0,0,90
"B07","ALBU","AEME",1,0,90
"B07","TAOR","AEME",0,0,90
"B07","CICI","AEME",0,0,90
"B07","HYAF","AEME",0,0,90
"B07","MECA","AEME",0,0,90
"B07","TRST","AEME",0,0,90
"B07","HINI","AEME",0,0,90
"B07","PACY","AEME",0,0,90
"B07","HIAM","AEME",0,0,90
"B07","CHPY","AEME",0,0,90
"B07","MATE","AEME",0,0,90
"B07","HEIC","AEME",0,0,90
"B07","ATPA","AEME",0,0,90
"B07","OTCR","AEME",0,0,90
"B07","COTA","AEME",1,0,90
"B07","ICAL","AEME",0,0,90
"B07","TRAN","AEME",0,0,90
"B07","LESE","AEME",0,0,90
"B07","MUMU","AEME",0,0,90
"B07","GEGE","AEME",0,0,90
"C08","MECA","AEME",0,10,90
"C08","ATPA","AEME",0,10,90
"C08","PHAF","AEME",19,10,90
"C08","CENA","AEME",0,10,90
"C08","RERE","AEME",0,10,90
"C08","LESE","AEME",0,10,90
"C08","HEIC","AEME",0,10,90
"C08","COTA","AEME",0,10,90
"C08","SYCA","AEME",0,10,90
"C08","ICAL","AEME",0,10,90
"C08","LEMI","AEME",0,10,90
"C08","TRSY","AEME",8,10,90
"C08","CHPY","AEME",0,10,90
"C08","TRAN","AEME",11,10,90
"C08","PACY","AEME",21,10,90
"C08","ALBU","AEME",1,10,90
"C08","GASA","AEME",0,10,90
"C08","OUOU","AEME",5,10,90
"C08","HEPA","AEME",0,10,90
"C08","OTCR","AEME",0,10,90
"C08","HYAF","AEME",4,10,90
"C08","SYGR","AEME",1,10,90
"C08","LOAF","AEME",3,10,90
"C08","CEAL","AEME",1,10,90
"C08","POLA","AEME",10,10,90
"C08","KOEL","AEME",14,10,90
"C08","MATE","AEME",0,10,90
"C08","HINI","AEME",0,10,90
"C08","TAOR","AEME",0,10,90
"C08","BDCR","AEME",0,10,90
"C08","ORAF","AEME",0,10,90
"C08","CICI","AEME",1,10,90
"C08","GEGE","AEME",0,10,90
"C08","PALE","AEME",0,10,90
"C08","TRST","AEME",0,10,90
"C08","MUMU","AEME",0,10,90
"C08","HIAM","AEME",0,10,90
"D05","GEGE","AEME",0,3,20
"D05","TRST","AEME",0,3,20
"D05","PACY","AEME",3,3,20
"D05","RERE","AEME",0,3,20
"D05","TRSY","AEME",0,3,20
"D05","LEMI","AEME",0,3,20
"D05","SYCA","AEME",0,3,20
"D05","ICAL","AEME",0,3,20
"D05","CHPY","AEME",0,3,20
"D05","HINI","AEME",0,3,20
"D05","PHAF","AEME",5,3,20
"D05","GASA","AEME",0,3,20
"D05","COTA","AEME",0,3,20
"D05","HEIC","AEME",0,3,20
"D05","BDCR","AEME",0,3,20
"D05","OUOU","AEME",0,3,20
"D05","HEPA","AEME",0,3,20
"D05","SYGR","AEME",0,3,20
"D05","KOEL","AEME",8,3,20
"D05","HYAF","AEME",0,3,20
"D05","CEAL","AEME",0,3,20
"D05","PALE","AEME",0,3,20
"D05","MATE","AEME",0,3,20
"D05","CENA","AEME",0,3,20
"D05","ORAF","AEME",0,3,20
"D05","LOAF","AEME",0,3,20
"D05","LESE","AEME",0,3,20
"D05","TRAN","AEME",6,3,20
"D05","CICI","AEME",0,3,20
"D05","ATPA","AEME",0,3,20
"D05","MUMU","AEME",0,3,20
"D05","HIAM","AEME",0,3,20
"D05","ALBU","AEME",0,3,20
"D05","MECA","AEME",0,3,20
"D05","POLA","AEME",0,3,20
"D05","TAOR","AEME",0,3,20
"D05","OTCR","AEME",0,3,20
"D07","CHPY","AEME",0,29,90
"D07","COTA","AEME",3,29,90
"D07","MATE","AEME",0,29,90
"D07","MUMU","AEME",0,29,90
"D07","HIAM","AEME",0,29,90
"D07","LOAF","AEME",9,29,90
"D07","PHAF","AEME",71,29,90
"D07","LEMI","AEME",0,29,90
"D07","HINI","AEME",5,29,90
"D07","SYGR","AEME",0,29,90
"D07","GASA","AEME",0,29,90
"D07","HYAF","AEME",0,29,90
"D07","TAOR","AEME",0,29,90
"D07","KOEL","AEME",49,29,90
"D07","CENA","AEME",0,29,90
"D07","TRAN","AEME",17,29,90
"D07","HEIC","AEME",0,29,90
"D07","MECA","AEME",1,29,90
"D07","CEAL","AEME",0,29,90
"D07","HEPA","AEME",0,29,90
"D07","CICI","AEME",0,29,90
"D07","ALBU","AEME",0,29,90
"D07","PACY","AEME",20,29,90
"D07","LESE","AEME",0,29,90
"D07","GEGE","AEME",0,29,90
"D07","SYCA","AEME",0,29,90
"D07","ORAF","AEME",0,29,90
"D07","TRST","AEME",3,29,90
"D07","TRSY","AEME",38,29,90
"D07","OUOU","AEME",9,29,90
"D07","POLA","AEME",0,29,90
"D07","RERE","AEME",7,29,90
"D07","ATPA","AEME",0,29,90
"D07","PALE","AEME",0,29,90
"D07","BDCR","AEME",0,29,90
"D07","ICAL","AEME",0,29,90
"D07","OTCR","AEME",0,29,90
"E02","PHAF","AEME",13,15,51
"E02","HEPA","AEME",0,15,51
"E02","LEMI","AEME",0,15,51
"E02","ICAL","AEME",0,15,51
"E02","PACY","AEME",10,15,51
"E02","LESE","AEME",0,15,51
"E02","ATPA","AEME",0,15,51
"E02","COTA","AEME",0,15,51
"E02","TRSY","AEME",15,15,51
"E02","SYCA","AEME",3,15,51
"E02","KOEL","AEME",38,15,51
"E02","OUOU","AEME",25,15,51
"E02","MECA","AEME",0,15,51
"E02","TAOR","AEME",0,15,51
"E02","OTCR","AEME",0,15,51
"E02","TRST","AEME",0,15,51
"E02","CICI","AEME",0,15,51
"E02","RERE","AEME",17,15,51
"E02","MATE","AEME",0,15,51
"E02","SYGR","AEME",0,15,51
"E02","GEGE","AEME",0,15,51
"E02","HYAF","AEME",0,15,51
"E02","PALE","AEME",0,15,51
"E02","CEAL","AEME",0,15,51
"E02","HINI","AEME",0,15,51
"E02","GASA","AEME",0,15,51
"E02","HIAM","AEME",0,15,51
"E02","MUMU","AEME",0,15,51
"E02","CENA","AEME",0,15,51
"E02","ALBU","AEME",0,15,51
"E02","BDCR","AEME",0,15,51
"E02","LOAF","AEME",6,15,51
"E02","CHPY","AEME",0,15,51
"E02","POLA","AEME",1,15,51
"E02","HEIC","AEME",0,15,51
"E02","TRAN","AEME",0,15,51
"E02","ORAF","AEME",0,15,51
"E04","CICI","AEME",7,39,90
"E04","HIAM","AEME",0,39,90
"E04","GASA","AEME",0,39,90
"E04","PHAF","AEME",48,39,90
"E04","MECA","AEME",0,39,90
"E04","ATPA","AEME",0,39,90
"E04","ORAF","AEME",0,39,90
"E04","HYAF","AEME",2,39,90
"E04","BDCR","AEME",0,39,90
"E04","LOAF","AEME",6,39,90
"E04","GEGE","AEME",0,39,90
"E04","CENA","AEME",0,39,90
"E04","OUOU","AEME",5,39,90
"E04","TRSY","AEME",21,39,90
"E04","LEMI","AEME",0,39,90
"E04","POLA","AEME",6,39,90
"E04","SYGR","AEME",0,39,90
"E04","ICAL","AEME",0,39,90
"E04","PALE","AEME",0,39,90
"E04","HEPA","AEME",0,39,90
"E04","HEIC","AEME",0,39,90
"E04","ALBU","AEME",0,39,90
"E04","TRAN","AEME",1,39,90
"E04","OTCR","AEME",0,39,90
"E04","SYCA","AEME",0,39,90
"E04","MUMU","AEME",0,39,90
"E04","HINI","AEME",0,39,90
"E04","TAOR","AEME",0,39,90
"E04","LESE","AEME",0,39,90
"E04","TRST","AEME",1,39,90
"E04","KOEL","AEME",33,39,90
"E04","RERE","AEME",1,39,90
"E04","COTA","AEME",0,39,90
"E04","MATE","AEME",0,39,90
"E04","PACY","AEME",26,39,90
"E04","CHPY","AEME",13,39,90
"E04","CEAL","AEME",0,39,90
"E06","OUOU","AEME",0,0,28
"E06","LESE","AEME",0,0,28
"E06","COTA","AEME",0,0,28
"E06","ALBU","AEME",0,0,28
"E06","BDCR","AEME",0,0,28
"E06","ICAL","AEME",0,0,28
"E06","SYCA","AEME",0,0,28
"E06","TAOR","AEME",0,0,28
"E06","CHPY","AEME",0,0,28
"E06","CICI","AEME",0,0,28
"E06","HEPA","AEME",0,0,28
"E06","HINI","AEME",0,0,28
"E06","SYGR","AEME",0,0,28
