"StudySite","SppCode1","SppCode2","Spp1Det","Spp2Det","Operation"
"A06","ALBU","AEME",0,4,31
"A06","SYCA","AEME",0,4,31
"A06","PHAF","AEME",9,4,31
"A06","SYGR","AEME",0,4,31
"A06","OUOU","AEME",4,4,31
"A06","TAOR","AEME",0,4,31
"A06","POLA","AEME",0,4,31
"A06","HINI","AEME",0,4,31
"A06","COTA","AEME",0,4,31
"A06","KOEL","AEME",1,4,31
"A06","TRST","AEME",0,4,31
"A06","HIAM","AEME",0,4,31
"A06","TRAN","AEME",0,4,31
"A06","TRSY","AEME",3,4,31
"A06","CENA","AEME",0,4,31
"A06","RERE","AEME",1,4,31
"A08","POLA","AEME",1,2,61
"A08","HINI","AEME",0,2,61
"A08","COTA","AEME",0,2,61
"A08","TRSY","AEME",6,2,61
"A08","CENA","AEME",0,2,61
"A08","SYGR","AEME",0,2,61
"A08","TRAN","AEME",0,2,61
"A08","PHAF","AEME",10,2,61
"A08","OUOU","AEME",6,2,61
"A08","TRST","AEME",0,2,61
"A08","KOEL","AEME",6,2,61
"A08","TAOR","AEME",0,2,61
"A08","HIAM","AEME",0,2,61
"A08","RERE","AEME",0,2,61
"A08","SYCA","AEME",0,2,61
"A08","ALBU","AEME",0,2,61
"A08_2","KOEL","AEME",9,2,69
"A08_2","RERE","AEME",3,2,69
"A08_2","TAOR","AEME",0,2,69
"A08_2","CENA","AEME",0,2,69
"A08_2","SYCA","AEME",0,2,69
"A08_2","POLA","AEME",0,2,69
"A08_2","OUOU","AEME",3,2,69
"A08_2","ALBU","AEME",0,2,69
"A08_2","TRST","AEME",0,2,69
"A08_2","SYGR","AEME",0,2,69
"A08_2","HIAM","AEME",0,2,69
"A08_2","PHAF","AEME",17,2,69
"A08_2","TRAN","AEME",0,2,69
"A08_2","COTA","AEME",1,2,69
"A08_2","HINI","AEME",0,2,69
"A08_2","TRSY","AEME",8,2,69
"A10","COTA","AEME",0,0,20
"A10","TRST","AEME",0,0,20
"A10","SYCA","AEME",1,0,20
"A10","HIAM","AEME",0,0,20
"A10","PHAF","AEME",4,0,20
"A10","HINI","AEME",0,0,20
"A10","ALBU","AEME",0,0,20
"A10","TAOR","AEME",0,0,20
"A10","TRSY","AEME",3,0,20
"A10","KOEL","AEME",2,0,20
"A10","SYGR","AEME",0,0,20
"A10","RERE","AEME",0,0,20
"A10","CENA","AEME",0,0,20
"A10","TRAN","AEME",8,0,20
"A10","POLA","AEME",0,0,20
"A10","OUOU","AEME",0,0,20
"B05","COTA","AEME",5,9,79
"B05","KOEL","AEME",8,9,79
"B05","HINI","AEME",11,9,79
"B05","PHAF","AEME",30,9,79
"B05","POLA","AEME",2,9,79
"B05","CENA","AEME",0,9,79
"B05","RERE","AEME",9,9,79
"B05","TRAN","AEME",1,9,79
"B05","ALBU","AEME",6,9,79
"B05","HIAM","AEME",0,9,79
"B05","SYCA","AEME",4,9,79
"B05","TAOR","AEME",0,9,79
"B05","OUOU","AEME",21,9,79
"B05","SYGR","AEME",0,9,79
"B05","TRST","AEME",4,9,79
"B05","TRSY","AEME",3,9,79
"B07","CENA","AEME",0,1,121
"B07","HIAM","AEME",0,1,121
"B07","TAOR","AEME",0,1,121
"B07","PHAF","AEME",16,1,121
"B07","SYGR","AEME",0,1,121
"B07","ALBU","AEME",2,1,121
"B07","COTA","AEME",6,1,121
"B07","KOEL","AEME",16,1,121
"B07","TRST","AEME",0,1,121
"B07","HINI","AEME",0,1,121
"B07","TRAN","AEME",2,1,121
"B07","POLA","AEME",2,1,121
"B07","SYCA","AEME",0,1,121
"B07","OUOU","AEME",12,1,121
"B07","TRSY","AEME",1,1,121
"B07","RERE","AEME",1,1,121
"B07_2","ALBU","AEME",0,24,121
"B07_2","POLA","AEME",0,24,121
"B07_2","SYCA","AEME",3,24,121
"B07_2","SYGR","AEME",0,24,121
"B07_2","OUOU","AEME",6,24,121
"B07_2","TRSY","AEME",6,24,121
"B07_2","CENA","AEME",0,24,121
"B07_2","TRST","AEME",0,24,121
"B07_2","RERE","AEME",1,24,121
"B07_2","KOEL","AEME",31,24,121
"B07_2","COTA","AEME",33,24,121
"B07_2","HINI","AEME",3,24,121
"B07_2","TRAN","AEME",16,24,121
"B07_2","PHAF","AEME",48,24,121
"B07_2","TAOR","AEME",0,24,121
"B07_2","HIAM","AEME",0,24,121
"B09","ALBU","AEME",0,8,40
"B09","PHAF","AEME",3,8,40
"B09","TRST","AEME",0,8,40
