StudySite,SppCode1,SppCode2,Spp1Det,Spp2Det,Operation
A06,ALBU,AEME,0,4,31
A06,TRAN,AEME,0,4,31
A06,LEMI,AEME,1,4,31
A06,TAOR,AEME,0,4,31
A06,ORAF,AEME,0,4,31
A06,COTA,AEME,0,4,31
A06,CICI,AEME,0,4,31
A06,ATPA,AEME,0,4,31
A06,POLA,AEME,0,4,31
A06,PHAF,AEME,9,4,31
A06,RERE,AEME,1,4,31
A06,MATE,AEME,0,4,31
A06,GASA,AEME,0,4,31
A06,MECA,AEME,0,4,31
A06,OTCR,AEME,0,4,31
A06,HYAF,AEME,0,4,31
A06,SYGR,AEME,0,4,31
A06,PALE,AEME,0,4,31
A06,SYCA,AEME,0,4,31
A06,TRSY,AEME,3,4,31
A06,KOEL,AEME,1,4,31
A06,MUMU,AEME,0,4,31
A06,LESE,AEME,0,4,31
A06,GEGE,AEME,3,4,31
A06,HEIC,AEME,0,4,31
A06,BDCR,AEME,0,4,31
A06,CENA,AEME,0,4,31
A06,CEAL,AEME,0,4,31
A06,TRST,AEME,0,4,31
A06,HEPA,AEME,0,4,31
A06,OUOU,AEME,4,4,31
A06,ICAL,AEME,0,4,31
A06,CHPY,AEME,1,4,31
A06,HIAM,AEME,0,4,31
A06,LOAF,AEME,1,4,31
A06,HINI,AEME,0,4,31
A06,PACY,AEME,1,4,31
A08,SYCA,AEME,0,2,62
A08,LESE,AEME,0,2,62
A08,PALE,AEME,0,2,62
A08,SYGR,AEME,0,2,62
A08,CHPY,AEME,0,2,62
A08,GASA,AEME,0,2,62
A08,ATPA,AEME,0,2,62
A08,TAOR,AEME,0,2,62
A08,HYAF,AEME,1,2,62
A08,TRSY,AEME,6,2,62
A08,MUMU,AEME,0,2,62
A08,HEIC,AEME,0,2,62
A08,ALBU,AEME,0,2,62
A08,GEGE,AEME,2,2,62
A08,OTCR,AEME,0,2,62
A08,CENA,AEME,0,2,62
A08,HINI,AEME,0,2,62
A08,ICAL,AEME,0,2,62
A08,ORAF,AEME,0,2,62
A08,HEPA,AEME,0,2,62
A08,LEMI,AEME,0,2,62
A08,OUOU,AEME,6,2,62
A08,MATE,AEME,0,2,62
A08,RERE,AEME,0,2,62
A08,TRAN,AEME,0,2,62
A08,CICI,AEME,0,2,62
A08,KOEL,AEME,6,2,62
A08,BDCR,AEME,0,2,62
A08,CEAL,AEME,0,2,62
A08,LOAF,AEME,3,2,62
A08,HIAM,AEME,0,2,62
A08,PACY,AEME,16,2,62
A08,COTA,AEME,0,2,62
A08,PHAF,AEME,10,2,62
A08,POLA,AEME,1,2,62
A08,MECA,AEME,1,2,62
A08,TRST,AEME,0,2,62
A10,TAOR,AEME,0,0,21
A10,HYAF,AEME,0,0,21
A10,TRAN,AEME,8,0,21
A10,GASA,AEME,0,0,21
A10,HEPA,AEME,0,0,21
A10,HEIC,AEME,0,0,21
A10,OUOU,AEME,0,0,21
A10,RERE,AEME,0,0,21
A10,LOAF,AEME,0,0,21
A10,LESE,AEME,0,0,21
A10,CEAL,AEME,0,0,21
A10,TRST,AEME,0,0,21
A10,ICAL,AEME,0,0,21
A10,CENA,AEME,0,0,21
A10,MECA,AEME,0,0,21
A10,ALBU,AEME,0,0,21
A10,SYCA,AEME,1,0,21
A10,MATE,AEME,0,0,21
A10,COTA,AEME,0,0,21
A10,HINI,AEME,0,0,21
A10,TRSY,AEME,3,0,21
A10,OTCR,AEME,0,0,21
A10,PALE,AEME,0,0,21
A10,POLA,AEME,0,0,21
A10,GEGE,AEME,0,0,21
A10,ATPA,AEME,0,0,21
A10,PHAF,AEME,4,0,21
A10,ORAF,AEME,0,0,21
A10,HIAM,AEME,0,0,21
A10,CHPY,AEME,0,0,21
A10,CICI,AEME,0,0,21
A10,MUMU,AEME,0,0,21
A10,PACY,AEME,3,0,21
A10,BDCR,AEME,0,0,21
A10,LEMI,AEME,0,0,21
A10,SYGR,AEME,0,0,21
A10,KOEL,AEME,2,0,21
B05,LOAF,AEME,1,9,79
B05,ALBU,AEME,6,9,79
B05,HEPA,AEME,0,9,79
B05,HYAF,AEME,0,9,79
B05,SYGR,AEME,0,9,79
B05,LEMI,AEME,1,9,79
B05,CENA,AEME,0,9,79
B05,GASA,AEME,0,9,79
B05,OUOU,AEME,21,9,79
B05,HEIC,AEME,0,9,79
B05,PHAF,AEME,30,9,79
B05,PALE,AEME,0,9,79
B05,SYCA,AEME,4,9,79
B05,BDCR,AEME,0,9,79
B05,KOEL,AEME,8,9,79
B05,POLA,AEME,2,9,79
B05,MATE,AEME,0,9,79
B05,LESE,AEME,0,9,79
B05,OTCR,AEME,0,9,79
B05,RERE,AEME,9,9,79
B05,TAOR,AEME,0,9,79
B05,MECA,AEME,0,9,79
B05,COTA,AEME,5,9,79
B05,HIAM,AEME,0,9,79
B05,MUMU,AEME,0,9,79
B05,CICI,AEME,1,9,79
B05,ATPA,AEME,0,9,79
B05,GEGE,AEME,0,9,79
B05,PACY,AEME,3,9,79
B05,CHPY,AEME,0,9,79
B05,ICAL,AEME,0,9,79
B05,TRAN,AEME,1,9,79
B05,ORAF,AEME,2,9,79
B05,HINI,AEME,11,9,79
B05,TRSY,AEME,3,9,79
B05,TRST,AEME,4,9,79
B05,CEAL,AEME,0,9,79
B07,PALE,AEME,0,1,121
B07,HEPA,AEME,0,1,121
B07,RERE,AEME,1,1,121
B07,POLA,AEME,2,1,121
B07,KOEL,AEME,16,1,121
B07,BDCR,AEME,0,1,121
B07,ORAF,AEME,0,1,121
B07,TRSY,AEME,1,1,121
B07,LEMI,AEME,0,1,121
B07,OUOU,AEME,12,1,121
B07,SYGR,AEME,0,1,121
B07,SYCA,AEME,0,1,121
B07,CENA,AEME,0,1,121
B07,CEAL,AEME,0,1,121
B07,PHAF,AEME,16,1,121
B07,LOAF,AEME,0,1,121
B07,GASA,AEME,0,1,121
B07,ALBU,AEME,2,1,121
B07,TAOR,AEME,0,1,121
B07,CICI,AEME,0,1,121
B07,HYAF,AEME,0,1,121
B07,MECA,AEME,0,1,121
B07,TRST,AEME,0,1,121
B07,HINI,AEME,0,1,121
B07,PACY,AEME,4,1,121
B07,HIAM,AEME,0,1,121
B07,CHPY,AEME,0,1,121
B07,MATE,AEME,0,1,121
B07,HEIC,AEME,0,1,121
B07,ATPA,AEME,0,1,121
B07,OTCR,AEME,0,1,121
B07,COTA,AEME,6,1,121
B07,ICAL,AEME,0,1,121
B07,TRAN,AEME,2,1,121
B07,LESE,AEME,0,1,121
B07,MUMU,AEME,0,1,121
B07,GEGE,AEME,0,1,121
B09,PHAF,AEME,3,8,40
B09,GEGE,AEME,8,8,40
B09,BDCR,AEME,0,8,40
B09,HEPA,AEME,0,8,40
B09,CEAL,AEME,1,8,40
B09,HINI,AEME,0,8,40
B09,ORAF,AEME,0,8,40
B09,TRST,AEME,0,8,40
